name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
lgl 			1	1	2	3					12		3		80	4060	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2				flplgl	invlgl										0				glov		so218	12	so218			5	0					5							1	1	1	1	1	3	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255				8		vgl	hgl	0	0	1
vgl 			1	1	5	6					14		7		352	6616	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2				flpvgl	invvgl										0				glov		so218	12	so218			5	0					5							1		1		1	5		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255				8		mgl	tgl	0	0	1
mgl 			2	1	8	9			25		16		12		859	11077	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2				flpmgl	invmgl										0				glov		so219	12	so219			5	0					5							3		1			10					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255				8		tgl	hgl	0	0	1
tgl 			3	1	9	11			45		18		20		1635	20675	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2				flptgl	invtgl										0				glov		so220	12	so220			5	0					5							3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	255	1	1		1	255			1	1	20					255	1	1			255				8		xxx	xxx	0	0	1
hgl 			4	1	12	15			60		24		27		2964	36007	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2				flphgl	invhgl										0				glov		so220	12	so220			5	0					5							3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1		1	255	1	1			255	1	1	1	1	20					255	1	1	1	1	20				8		xxx	xxx	0	0	1
lbt 			1	1	2	3					12		3		80	4060	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2				flplbt	invlbt										0				boot		so208	12	so208			5	0					6		3	8	120			1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255				8		vbt	tbt	0	0	1
vbt 			1	1	5	6			18		14		7		334	6584	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2				flpvbt	invvbt										0				boot		so208	12	so208			5	0					6		4	10	120			1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255				8		mbt	tbt	0	0	1
mbt 			2	1	8	9			30		16		12		854	11062	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2				flpmbt	invmbt										0				boot		so209	12	so209			5	0					6		6	12	120			3		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255				8		tbt	hbt	0	0	1
tbt 			3	1	9	11			50		18		20		1630	20650	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2				flptbt	invtbt										0				boot		so210	12	so210			5	0					6		8	16	120			3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255			1	1	20					255	1	1			255				8		xxx	xxx	0	0	1
hbt 			4	1	12	15			70		24		27		2954	35939	hbt	hbt			hbt	hbt	hbt	xhb	uhb	0	16	2	2				flphbt	invhbt										0				boot		so210	12	so210			5	0					6		10	20	120			3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	1	20					255	1	1	1	1	20				8		xxx	xxx	0	0	1
lbl 			1	1	2	2					12		3		64	4048	lbl	lbl			lbl	lbl	lbl	zlb	ulc	0	16	2	1				flplbl	invlbl										0				belt		so230	12	so230			5	0		1			4							1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255				8		vbl	tbl	0	0	1
vbl 			1	1	3	3					14		7		192	6336	vbl	vbl			vbl	vbl	vbl	zvb	uvc	0	16	2	1				flpvbl	invvbl										0				belt		so206	12	so206			5	0		4			4							1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255				8		mbl	hbl	0	0	1
mbl 			2	1	5	5			25		16		12		495	9985	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1				flpmbl	invmbl										0				belt		so206	12	so206			5	0					4							1		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255				8		tbl	hbl	0	0	1
tbl 			2	1	6	6			45		18		20		963	17315	tbl	tbl			mbl	mbl	tbl	ztb	utc	0	16	2	1				flptbl	invtbl										0				belt		so206	12	so206			5	0		5			4							1					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255					255					255	1	1			255				8		xxx	xxx	0	0	1
hbl 			3	1	8	11			60		24		27		2068	29959	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1				flphbl	invhbl										0				belt		so206	12	so206			5	0		3			4							3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	2	20					255	1	1			255				8		xxx	xxx	0	0	1
bhm 			2	1	33	36			25		40		22		6323	48276	bhm	bhm			bhm	hlm	bhm	xh9	uh9	0		2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu								0				helm		so223	12	so223			5	0	2				3							1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			7	8		xxx	xxx	0	0	1
bsh 			2	1	10	30			25	20	40		19		3175	27081	bsh	bsh			bsh	buc	bsh	xsh	ush	0	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu								0				shie		so231	12	so231			5	0					1		3	6	100			1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1			8	8		xxx	xxx	0	0	1
spk 			3	1	15	25			30	10	40		11		1890	13197	spk	spk			spk	buc	spk	xpk	upk	0	7	2	3	1	2	2	flpspk	invspk	invspku	invspku								0				shie		so231	12	so231			5	0					1		5	9	100			1					255					255					255					255					255	1	2	1	3	20					255					255					1					255					255					255					255					255					255					255		1		1	1			8	8		xxx	xxx	0	0	1
xap 			1	1	45	53			20		12		34	22	13560	82061	xap	xap			cap	cap	cap	xap	uap	0		2	2	1	2	1	flpcap	invcap										0				helm		so212	12	so212			5	0					3							1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xkp 			4	1	52	62			43		18		37	25	17210	113647	xkp	xkp			skp	skp	skp	xkp	ukp	0		2	2	1	2	1	flpskp	invskp	invxkpu	invxkpu								0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xlm 			4	1	63	72			59		24		42	25	23075	171804	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0		2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu								0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xhl 			4	1	75	84			82		30		45	25	29083	233910	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0		2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu								0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255				8		xxx	xxx	0	0	1
xhm 			4	1	85	98			115		40		51	25	37846	355900	xhm	xhm			ghm	ghm	ghm	xhm	uhm	0		2	2	1	3	1	flpghm	invghm										0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8		xxx	xxx	0	0	1
xrn 			4	1	78	113			103		50		55	25	42458	448816	xrn	xrn			crn	crn	crn	xrn	urn	0		2	2	1	3	1	flpcrn	invcrn	invxrnu	invxrnu								0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xsk 			4	1	54	86			55		20		48	25	27190	241184	xsk	xsk			msk	msk	msk	xsk	usk	0		2	2	1	3	1	flpmsk	invmsk										0				helm		so223	12	so223			5	0					3							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	0	0	1
xui 			1	1	102	117			38		20		34	22	30552	165635	xui	xui			qlt	qlt	qui	xui	uui	0	1	2	3	1	2	1	flpqlt	invqlt							1	1		0				tors		so230	12	so230			5	0					2							1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xea 			2	1	111	126			43		24		36	24	34960	197896	xea	xea			lea	lea	lea	xea	uea	0	1	2	3	1	2	1	flplea	invlea					1		1	1		0				tors		so230	12	so230			5	0					2							1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xla 			3	1	122	136			50		28		37	25	39090	236758	xla	xla			hla	hla	hla	xla	ula	0	1	2	3	1	2	1	flphla	invhla			1	1	1		1	1		0				tors		so230	12	so230			5	0					2							1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xtu 			4	1	138	153			61		32		40	25	47582	305707	xtu	xtu			stu	stu	stu	xtu	utu	0	1	2	3	1	2	1	flpstu	invstu	invxtuu	invxtuu	1			1	1	1		0				tors		so230	12	so230			5	0					2							1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xng 			4	1	158	172			74		26		42	25	56600	393748	xng	xng			rng	rng	rng	xng	ung	0	1	2	3	1	3	1	flprng	invrng					1	1	1	1		0				tors		so213	12	so213			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xcl 			4	1	176	190			86		36		43	25	64242	473193	xcl	xcl			scl	scl	scl	xcl	ucl	0	1	2	3	1	3	1	flpscl	invscl			1	1	1	1	1	1		0				tors		so213	12	so213			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xhn 			4	1	198	213			92		45		45	25	75440	574094	xhn	xhn			chn	chn	chn	xhn	uhn	0	1	2	3	1	3	1	flpchn	invchn			1	1	1	1	2	2		0				tors		so213	12	so213			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xrs 			4	1	188	202	1		65		50		47	25	74719	613456	xrs	xrs			brs	brs	brs	xrs	urs	0	1	2	3	1	3	1	flpbrs	invbrs		invxrss			2		2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xpl 			4	1	225	243			97		30		49	25	93404	788235	xpl	xpl			spl	spl	spl	xpl	upl	0	1	2	3	1	3	1	flpspl	invspl			1	1	2	1	1	1		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8		xxx	xxx	0	0	1
xlt 			4	1	252	274			118		60		52	25	111395	1017928	xlt	xlt			plt	plt	plt	xlt	ult	0	1	2	3	1	3	1	flpplt	invplt			2	2	2	2	1	1		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xld 			4	1	242	258	2		103		48		55	25	111674	1103159	xld	xld			fld	fld	fld	xld	uld	0	1	2	3	1	3	1	flpfld	invfld			1	1	2	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xth 			4	1	282	303			125		55		58	25	137817	1457493	xth	xth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xul 			4	1	315	342	2		140		70		61	25	162672	1888411	xul	xul			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xar 			4	1	417	450	5		170		60		64	25	225120	2696482	xar	xar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invxaru	invxaru	1	2	2	2	2			0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xtp 			4	1	225	261	1		55		60		60	25	118407	1327498	xtp	xtp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	3	1	flpltp	invltp			2		1	1	2	2		0				tors		so236	12	so236			5	0					2							3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8		xxx	xxx	0	0	1
xuc 			2	1	41	49			38	10	68		34	22	12562	77123	xuc	xuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu								0				shie		so249	12	so249			5	0					1		8	12	100			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8		xxx	xxx	0	0	1
xml 			3	1	47	55			53	12	64		37	25	15451	103735	xml	xml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invxmlu	invxmlu								0				shie		so249	12	so249			5	0					1		7	14	100			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	5		xxx	xxx	0	0	1
