ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	
scha	scha	char												1			1							3				3	invch1	invch4	invch7				misc	0	
mcha	mcha	char												1			1							3				3	invch2	invch5	invch8				misc	0	
lcha	lcha	char												1			1							3				3	invch3	invch6	invch9				misc	0	
abow	abow	bow	amaz		1	rarm	larm	bowq							1					3	4	5	1	1			ama								weap	0	
aspe	aspe	spea	amaz	1	1	rarm	larm								1					3	4	6		1			ama								weap	0	
ajav	ajav	jave	amaz	1	1	rarm	larm			1	1	1	1		1									1			ama								misc	0	
h2h2	h2h2	h2h		1	1	rarm	larm								1					2	3	3		2	ass		ass								weap	0	
mboq	mboq	bowq			1	rarm	larm		bow		1			1	1									3											misc	0	
mxbq	mxbq	xboq			1	rarm	larm		xbow		1			1	1									3											misc	0	
asm 	asm			1	1	rarm	larm								1					2	3	3		2			ass								weap	0	
gem0	gem0	gem														1		1						3											misc	0	
gem1	gem1	gem														1		1						3											misc	0	
gem2	gem2	gem														1		1						3											misc	0	
gem3	gem3	gem	ggm3													1		1						3											misc	0	
gem4	gem4	gem	ggm4													1		1						3											misc	0	
gema	gema	gem	ggma													1		1						3											misc	0	
gemd	gemd	gem	ggmd													1		1						3											misc	0	
geme	geme	gem	ggme													1		1						3											misc	0	
gemr	gemr	gem	ggmr													1		1						3											misc	0	
gems	gems	gem	ggms													1		1						3											misc	0	
gemt	gemt	gem	ggmt													1		1						3											misc	0	
gemz	gemz	gem	ggmz													1		1						3											misc	0	
corr	corr												1			1								3												0	
map 	map														1									3											misc	0	
t1m 	t1m	map													1									3											misc	0	
t2m 	t2m	t1m													1									3											misc	0	
t3m 	t3m	t2m													1									3											misc	0	
t4m 	t4m	t3m													1									3											misc	0	
t1me	t1me	map													1									3											misc	0	
t2me	t2me	map													1									3											misc	0	
t3me	t3me	map													1									3											misc	0	
t4me	t4me	map													1									3											misc	0	
2han	2han			1	1	rarm	larm								1								1	3												0	
gen 	gen			1	1										1								1	3												0	
pas 	pas			1	1										1								1	3												0	
box 	box															1								1												0	
imma	imma												1			1								3											misc	0	
imrn	imrn												1			1								3											misc	0	
imra	imra												1			1								3											misc	0	
rera	rera												1			1								3											misc	0	
scou	scou												1			1								3											misc	0	
upma	upma												1			1								3											misc	0	
upmp	upmp												1			1								3											misc	0	
scrb	scrb												1			1								3											misc	0	
lbox	lbox												1			1								3												0	
gsm 	gsm	ggm											1			1								3												0	
gsm3	gsm3	gsm	ggm3										1			1								3												0	
gsm4	gsm4	gsm	ggm4										1			1								3												0	
gsma	gsma	gsm	ggma										1			1								3												0	
gsmd	gsmd	gsm	ggmd										1			1								3												0	
gsme	gsme	gsm	ggme										1			1								3												0	
gsmr	gsmr	gsm	ggmr										1			1								3												0	
gsms	gsms	gsm	ggms										1			1								3												0	
gsmt	gsmt	gsm	ggmt										1			1								3												0	
gsmz	gsmz	gsm	ggmz										1			1								3												0	
runs	runs												1			1								3												0	
ggm 	ggm												1			1								3												0	
ggm3	ggm3	ggm											1			1								3												0	
ggm4	ggm4	ggm											1			1								3												0	
ggma	ggma	ggm											1			1								3												0	
ggmd	ggmd	ggm											1			1								3												0	
ggme	ggme	ggm											1			1								3												0	
ggmr	ggmr	ggm											1			1								3												0	
ggms	ggms	ggm											1			1								3												0	
ggmt	ggmt	ggm											1			1								3												0	
ggmz	ggmz	ggm											1			1								3												0	
rung	rung												1			1								3												0	
gg3a	gg3a	ggma	ggm3										1			1								3												0	
gg3d	gg3d	ggmd	ggm3										1			1								3												0	
gg3e	gg3e	ggme	ggm3										1			1								3												0	
gg3r	gg3r	ggmr	ggm3										1			1								3												0	
gg3s	gg3s	ggms	ggm3										1			1								3												0	
gg3t	gg3t	ggmt	ggm3										1			1								3												0	
gg3z	gg3z	ggmz	ggm3										1			1								3												0	
gg4a	gg4a	ggma	ggm4										1			1								3												0	
gg4d	gg4d	ggmd	ggm4										1			1								3												0	
gg4e	gg4e	ggme	ggm4										1			1								3												0	
gg4r	gg4r	ggmr	ggm4										1			1								3												0	
gg4s	gg4s	ggms	ggm4										1			1								3												0	
gg4t	gg4t	ggmt	ggm4										1			1								3												0	
gg4z	gg4z	ggmz	ggm4										1			1								3												0	
r01g	r01g	rung											1			1								3												0	
r02g	r02g	rung											1			1								3												0	
r03g	r03g	rung											1			1								3												0	
r04g	r04g	rung											1			1								3												0	
r05g	r05g	rung											1			1								3												0	
r06g	r06g	rung											1			1								3												0	
r07g	r07g	rung											1			1								3												0	
r08g	r08g	rung											1			1								3												0	
r09g	r09g	rung											1			1								3												0	
r10g	r10g	rung	r1pg										1			1								3												0	
r11g	r11g	rung	r1pg										1			1								3												0	
r12g	r12g	rung	r1pg										1			1								3												0	
r13g	r13g	rung	r1pg										1			1								3												0	
r14g	r14g	rung	r1pg										1			1								3												0	
r15g	r15g	rung	r1pg										1			1								3												0	
r16g	r16g	rung	r1pg										1			1								3												0	
r17g	r17g	rung	r1pg										1			1								3												0	
r18g	r18g	rung	r1pg										1			1								3												0	
r19g	r19g	rung	r1pg										1			1								3												0	
r20g	r20g	rung	r1pg										1			1								3												0	
r21g	r21g	rung	r1pg										1			1								3												0	
r22g	r22g	rung	r1pg										1			1								3												0	
r23g	r23g	rung	r1pg										1			1								3												0	
r24g	r24g	rung	r1pg										1			1								3												0	
r25g	r25g	rung	r1pg										1			1								3												0	
r26g	r26g	rung	r1pg										1			1								3												0	
r27g	r27g	rung	r1pg										1			1								3												0	
r28g	r28g	rung	r1pg										1			1								3												0	
r29g	r29g	rung	r1pg										1			1								3												0	
r30g	r30g	rung	r1pg										1			1								3												0	
r31g	r31g	rung	r1pg										1			1								3												0	
r32g	r32g	rung	r1pg										1			1								3												0	
r33g	r33g	rung	r1pg										1			1								3												0	
r1pg	r1pg												1			1								3												0	
ubr 	ubr												1			1								3												0	
ubor	ubor												1			1								3												0	
pvpm	pvpm															1								3												0	
