code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
pr64	1			1	is82																													none	0
pr65	1			1	is62																													none	0
pr66	1			1	is60																													none	0
pr67	1			21	is83																													none	0
pr68	1		3	21	is83																													none	0
pr69	1		2	21	is83																													none	0
pr70	1		1	21	is83																													none	0
pr71	1		4	21	is83																													none	0
pr72	1			1	is88																													none	0
pr73	1			1	is89																													none	0
pr74	1	1		1	is90																													none	0
pr75	1			1	is91																													none	0
pr76	1			8	is96																													none	0
pr77	1			8	is96																													none	0
pr78	1			8	is96																													none	0
pr79	1			8	is99																													none	0
pr80	1			8	is99																													none	0
pr81	1			8	is99																													none	0
pr82	1			8	is102																													none	0
pr83	1			8	is102																													none	0
pr84	1			8	is102																													none	0
pr85	1			8	is105																													none	0
pr86	1			8	is105																													none	0
pr87	1			8	is105																													none	0
pr88	1			1	is110																													none	0
pr89	1			1	is111																													none	0
pr90	1			1	is112																													none	0
pr91	1			1	is113																													none	0
pr92	1			1	is115																													none	0
pr93	1			1	is116																													none	0
pr94	1			1	is117																													none	0
pr95	1			1	is118																													none	0
pr96	1			1	is119																													none	0
pr97	1			1	is120																													none	0
pr98	1			1	is121																													none	0
pr99	1			1	is122																													none	0
pr100	1			1	is123																													none	0
pr101	1			1	is124																													none	0
pr102	1			1	is125																													none	0
pr103	1		1	21	is126			3	is363																									none	0
pr104	1			1	is127																													none	0
pr105	1			1	is128																													none	0
pr106	1			1	is134																										chance in 128	length in frames		none	0
pr107	1			1	is135																													none	0
pr108	1			1	is136																													none	0
pr109	1			1	is137																													none	0
pr110	1			1	is138																													none	0
pr111	1			1	is139																													none	0
pr112	1			1	is140																													none	0
pr113	1			1	is141																													none	0
pr114	1			1	is150																													none	0
pr115	1			1	is153																													none	0
pr116	1			1	is154																													none	0
pr117	1			24	is155																													none	0
pr118	1			1	is156																													none	0
pr119	1			1	is157																													none	0
pr120	1			1	is158																													none	0
Expansion																																			0
pr121	1		5	21	is83																									All Druid Skills				none	0
pr122	1		6	21	is83																									All Assassin Skills				none	0
pr123	1			22	is107																													none	0
pr124	1			10	is188																													none	0
pr125	1			22	is151																													none	0
pr126	1			11	is195																									Proc Skill on Swing	Skill #	% Chance	Level	none	0
pr127	1			11	is198																									Proc Skill on Hit	Skill #	% Chance	Level	none	0
pr128	1			11	is201																									Proc Skill on Get Hit	Skill #	% Chance	Level	none	0
pr129																														Increase chance of finding Gems				none	0
pr130																																		none	0
pr131																																		none	0
pr132																																		none	0
pr133	1			14	is194																													none	0
pr134	1			15	is48			16	is49																					Fire Damage		Min	Max	none	0
pr135	1			15	is50			16	is51																					Lightning Damage		Min	Max	none	0
pr136	1			15	is52			16	is53																					Magic Damge		Min	Max	none	0
pr137	1			15	is54			16	is55			17	is56																	Cold Damage	Length (Frames)	Min	Max	none	0
pr138	1			15	is57			16	is58			17	is59																	Poison Damage	Length (Frames)	Min	Max	none	0
pr139	1			15	is159			16	is160																					Throwing Damage		Min	Max	none	0
pr140	1			15	is21			16	is22																					Normal Damage Modifier		Min	Max	none	0
pr141	1			17	is214																									AC per Player Level	ac/lvl (8ths)			none	0
pr142	1			17	is215																									AC% per Player Level	ac%/lvl (8ths)			none	0
pr143	1			17	is216																									HP per Player Level	hp/lvl (8ths)			none	0
pr144	1			17	is217																									Mana per Player Level	(8ths)			none	0
pr145	1			17	is218																									Max Damage per Player Level	(8ths)			none	0
pr146	1			17	is219																									Max Damage % per Player Level	(8ths)			none	0
pr147	1			17	is220																									Strength per Player Level	(8ths)			none	0
pr148	1			17	is221																									Dexterity per Player Level	(8ths)			none	0
pr149	1			17	is222																									Energy per Player Level	(8ths)			none	0
pr150	1			17	is223																									Vitality per Player Level	(8ths)			none	0
pr151	1			17	is224																									Attack per Player Level	att/lvl (1)			none	0
pr152	1			17	is225																									Attack% per Player Level	att%/lvl (8ths)			none	0
pr153	1			17	is226																									Max Cold Damage per Player Level	(8ths)			none	0
pr154	1			17	is227																									Max Fire Damage per Player Level	(8ths)			none	0
pr155	1			17	is228																									Max Lightning Dmg per Player Level	(8ths)			none	0
pr156	1			17	is229																									Max Poison Dmg per Player Level	(8ths)			none	0
pr157	1			17	is230																									Resist Cold% per Player Level	(8ths)			none	0
pr158	1			17	is231																									Resist Fire% per Player Level	(8ths)			none	0
pr159	1			17	is232																									Resist Lightning% per Player Level	(8ths)			none	0
pr160	1			17	is233																									Resist Poison% per Player Level	(8ths)			none	0
pr161	1			17	is234																									Absorb Cold Dmg per Player Level	(8ths)			none	0
pr162	1			17	is235																									Absorb Fire Dmg per Player Level	(8ths)			none	0
pr163	1			17	is236																									Absorb Lightning Dmg per Player Lvl	(8ths)			none	0
pr164	1			17	is237																									Absorb Poison Dmg per Player Lvl	(8ths)			none	0
pr165	1			17	is238																									Damage to Attacker per Player Lvl	(8ths)			none	0
pr166	1			17	is239																									+% Gold Dropped per Player Lvl	(8ths)			none	0
pr167	1			17	is240																									+% Magical per Player Lvl	(8ths)			none	0
pr168	1			17	is241																									+% Stamina Regeneration per Player Lvl	(8ths)			none	0
pr169	1			17	is242																									Stamina per Player Level	(8ths)			none	0
pr170	1			17	is243																									Damage to Demons % per Player Level	(8ths)			none	0
pr171	1			17	is244																									Damage to Undead % per Player Level	(8ths)			none	0
pr172	1			17	is245																									Attack Demons + per Player Level	att/lvl (1)			none	0
pr173	1			17	is246																									Attack Undead + per Player Level	att/lvl (1)			none	0
pr174	1			17	is247																									+% Chance of Crushing Blow per Player Level	(8ths)			none	0
pr175	1			17	is248																									+% Chance of Open Wounds per Player Level	(8ths)			none	0
pr176	1			17	is249																									Kick Damage per Player Level	(8ths)			none	0
pr177	1			17	is250																									+% Chance of Deadly Strike per Player Level	(8ths)			none	0
pr178																														+% Chance of finding Gems per Player Level	(8ths)			none	0
pr179	1			17	is252																									regenerates durability	speed (see note)			regenerates 1 durability point per 100/lvl seconds	0
pr180	1			17	is253																									regenerates quantity	speed (see note)			regenerates 1 quantity per 100/lvl seconds	0
pr181	1			1	is254																									Increased stack size		min count	max count	none	0
pr182																														+% Chance of finding item	item type	min chance	max chance	random chance from min to max is assigned to item	0
pr183																														Slashing Damage		min	max	random amount from min to max is assigned to item	0
pr184																														Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
pr185																														Crush Damage		min	max	random amount from min to max is assigned to item	0
pr186																														Crush Damage %		min %	max %	random amount from min to max is assigned to item	0
pr187																														Thrust Damage		min	max	random amount from min to max is assigned to item	0
pr188																														Thrust Damage %		min %	max %	random amount from min to max is assigned to item	0
pr189																														Absorb Slashing Damage		min amt	max amt	random amount from min to max is assigned to item	0
pr190																														Absorb Crushing Damage		min amt	max amt	random amount from min to max is assigned to item	0
pr191																														Absorb Thrusting Damage		min amt	max amt	random amount from min to max is assigned to item	0
pr192																														Absorb Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
pr193																														Absorb Crushing Damage %		min %	max %	random amount from min to max is assigned to item	0
pr194																														Absorb Thrusting Damage %		min %	max %	random amount from min to max is assigned to item	0
pr195	1			18	is268																									"AC / time increment (0=day, 1=dusk, 2=night, 3=dawn)"	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr196	1			18	is269																									AC% / time increment (8 periods)	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr197	1			18	is270																									HP / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr198	1			18	is271																									Mana / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr199	1			18	is272																									Max Damage / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr200	1			18	is273																									Max Damage % / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr201	1			18	is274																									Strength / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr202	1			18	is275																									Dexterity / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr203	1			18	is276																									Energy / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr204	1			18	is277																									Vitality / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr205	1			18	is278																									To hit / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr206	1			18	is279																									To Hit % / time increment	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr207	1			18	is280																									Cold Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr208	1			18	is281																									Fire Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr209	1			18	is282																									Lightning Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr210	1			18	is283																									Poison Damage Max / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr211	1			18	is284																									Resist Cold / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr212	1			18	is285																									Resist Fire / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr213	1			18	is286																									Resist Lightning / time inc	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr214	1			18	is287																									Resist Poison / time inc	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr215	1			18	is288																									Absorb Cold / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr216	1			18	is289																									Absorb Fire / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr217	1			18	is290																									Absorb Lightning / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr218	1			18	is291																									Absorb Poison / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr219	1			18	is292																									Find Gold Amt % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr220	1			18	is293																									Find Magic % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr221	1			18	is294																									% / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr222	1			18	is295																									Stamina / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr223	1			18	is296																									Damage to Demons % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr224	1			18	is297																									Damage to Undead % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr225	1			18	is298																									To Hit Demons % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr226	1			18	is299																									To Hit Undead % / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr227	1			18	is300																									% chance of Crushing Blow / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr228	1			18	is301																									+% chance of Open Wounds / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr229	1			18	is302																									Kick Damage / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr230	1			18	is303																									+% chance of Deadly Strike / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr231																														+% chance of finding Gems / time inc.	center period	min	max	"max at center period, min at opposite period, linear progression"	0
pr232	1			1	is333																									Negates % of Enemy Cold Resistance		min	max	none	0
pr233	1			1	is334																									Negates % of Enemy Fire Resistance		min	max	none	0
pr234	1			1	is335																									Negates % of Enemy Lightning Resistance		min	max	none	0
pr235	1			1	is336																									Negates % of Enemy Poison Resistance		min	max	none	0
pr236																														Damage vs. specific Monster Type	monster	min	max	none	0
pr237																														Damage % vs. specific Monster Type	monster	min	max	none	0
pr238																														To Hit vs. specific Monster Type	monster	min	max	none	0
pr239																														To Hit % vs. specific Monster Type	monster	min	max	none	0
pr240																														AC vs. specific Monster Type	monster	min	max	none	0
pr241																														AC% vs. specific Monster Type	monster	min	max	none	0
pr242	1			20																										Indestructible				none	0
pr243	1			19	is204																									Charged Skill	skill	charges	level	none	0
pr244	1			1	is329																														0
pr245	1			1	is330																														0
pr246	1			1	is331																														0
pr247	1			1	is332																														0
pr248	1			15	is48			16	is49			15	is50			16	is51			15	is54			16	is55			17	is56						0
pr249	1			1	is48			3	is50			3	is54																						0
pr250	1			1	is49			3	is51			3	is55			17	is56																		0
pr251	1			1	is0			3	is1			3	is2			3	is3																		0
pr252	1			1	is85																									additional xp gain					0
pr253	1			1	is86																									life gained after each kill					0
pr254	1			1	is87																									reduces vendor prices		min	max	none	0
pr255	1			1	is108																									slain monsters' corpses can't be used		1	1	none	0
pr256	1			24	is179																									attack% vs. monster type	mon type	min	max		0
pr257	1			24	is180																									damage% vs. monster type	mon type	min	max		0
pr258	1			11	is196																									Proc Skill on killing something	Skill #	% Chance	Level		0
pr259	1			11	is197																									Proc Skill on getting killed	Skill #	% Chance	Level		0
pr260	1			11	is199																									Proc Skill on level up	Skill #	% Chance	Level		0
pr261	1			12	is107																									Bonus to random skill	Level	min Skill #	max Skill #		0
pr262	1			17	is181																									only use on monprop	fade type				0
pr263	1			1	is92																														0
pr264	1			23																															0
pr265	1			22	is97																										Skill	min level	max level	none	0
pr266	1			24	is98																										state	1	1		0
pr267	1		3	36	is83																														0
pr268	1			11	is359																									splash	358	100	1		0
pr269	1			1	is360																														0
pr270	1			1	is361																														0
pr271	1			1	is458																														0
pr272	1		2	36	is83																														0
pr273	1		4	21	is126			3	is362																					cold skills				none	0
pr274	1		2	21	is126			3	is364																					lightning skills				none	0
pr275	1		5	21	is126			3	is365																					poison skills				none	0
pr276	1		3	21	is126			3	is366																					magic skills				none	0
pr277	1			1	is67																													none	0
pr278	1			1	is369																														0
pr279	1			1																														none	0
pr280	1			1	is428																													none	0
pr281	1			1	is370			3	is371																									none	0
pr282	1			1	is372																														0
pr283	1			1	is373																									additional xp gain					0
pr284	1			1	is374																														0
pr285	1			1	is375																														0
pr286	1			1	is376																									Fire Damage				none	0
pr287	1			1	is377																														0
pr288	1			1	is378																									Lightning Damage				none	0
pr289	1			1	is379																														0
pr290	1			1	is380																									Magic Damge				none	0
pr291	1			1	is381																														0
pr292	1			15	is382			16	is383			17	is384																	Cold Damage	Length (Frames)	Min	Max	none	0
pr293	1			15	is385			16	is386			17	is387																	Poison Damage	Length (Frames)	Min	Max	none	0
pr294	1			1	is388																														0
pr295	1			1	is389																														0
pr296	1			1	is390																														0
pr297	1			1	is391																														0
pr298	1			8	is392			8	is393																									none	0
pr299	1			1	is394			3	is406																									none	0
pr300	1			1	is395																													none	0
pr301	1			1	is396																													none	0
pr302	1			1	is397																													none	0
pr303	1			1	is398																													none	0
pr304	1			1	is399																													none	0
pr305	1			1	is400																													none	0
pr306	1			1	is401																													none	0
pr307	1			1	is402																													none	0
pr308	1			1	is403			3	is405																									none	0
pr309	1			8	is404																													none	0
pr310	1			1	is405																													none	0
pr311	1			1	is407																													none	0
pr312	1			1	is408																													none	0
pr313	1			1	is409			3	is405																									none	0
pr314	1			1	is410																													none	0
pr315	1			8	is411																													none	0
pr316	1			1	is412																													none	0
pr317	1			1	is413																													none	0
pr318	1			1	is414																									Negates % of Enemy Cold Resistance		min	max	none	0
pr319	1			1	is415																									Negates % of Enemy Fire Resistance		min	max	none	0
pr320	1			1	is416																									Negates % of Enemy Lightning Resistance		min	max	none	0
pr321	1			1	is417																									Negates % of Enemy Poison Resistance		min	max	none	0
pr322	1			1	is428			3	is429			3	is430			3	is431																	none	0
pr323	1			1	is418			3	is419			3	is420			3	is421																	none	0
pr324	1			1	is426																													none	0
pr325	1	142		11	is427																									splash	358	100	1		0
pr326	1			17	is422																									regenerates charges	speed (see note)			regenerates 1 charge per 100/lvl seconds	0
pr327	1			1	is423																									increases leap/leap attack speed		min	max		0
pr328	1			1	is368																									+ to max curses					0
pr329	1		1	36	is126																														0
pr330	1			1	is109																														0
pr331	1			1	is424																									life gained after each hit					0
pr332	1		1	36	is83																														0
pr333	1			1	is432																													none	0
pr334	1			1	is433																													none	0
pr335	1			1	is434																													none	0
pr336	1			1	is435																													none	0
pr337	1			1	is436																													none	0
pr338	1			1	is437																													none	0
pr339	1			1	is438																													none	0
pr340	1			1	is439																													none	0
pr341	1			1	is440																													none	0
pr342	1			1	is441																													none	0
pr343	1			1	is442																													none	0
pr344	1			1	is443																														0
pr345	1			1	is444																														0
pr346	1			1	is459																														0
pr347	1			1	is425																									Negates % of Enemy Phys Resistance		min	max	none	0
pr348	1			1	is445																														0
pr349	1			1	is449																													none	0
pr350	1			1	is450																													none	0
pr351	1			8	is451																													none	0
pr352	1			8	is452																													none	0
pr353	1			11	is453																													none	0
pr354	1			1	is454																													none	0
pr355	1			1	is455																													none	0
pr356	1			1	is456																													none	0
pr357	1			8	is457																													none	0
pr358	1			1	is414			1	is415			1	is416			1	is417													Negates % of Enemy Cold Resistance		min	max	none	0
pr359	1			1	is450			1	is405																									none	0
pr360	1			8	is451			8	is452																									none	0
pr361	1			1	is454			1	is455																									none	0
pr362	1			8	is451			8	is452			8	is457																					none	0
pr363	1			1	is370																													none	0
pr364	1			3	is371																													none	0
