Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
lv11	11					4	200	200	200	200	200	200	1500	1900		1				1	1	1		1	1	3	-1	-1	-1	-1	6				15				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	5	30	55	5	38	80	600	600	600	1	2	4	6	6	8	1		3	ms12	ms20	ms24	ms161																							ms12	ms20	ms24	ms161																						ms12	ms20	ms24	ms161																						ms151	ms159			30	30								4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4							30	3							1
lv12	12					5	200	200	200	200	200	200	1500	2200		1				1	1	1		1	1	3	-1	-1	-1	-1	7				16				4	-1	-1	-1	5	-1	-1	-1		255	255	255			1		2025	7	32	57	7	39	85	600	600	600	1	2	4	6	6	8	1		3	ms2	ms21	ms45	ms162																							ms2	ms21	ms45	ms162																						ms2	ms21	ms45	ms162																						ms151	ms159			30	30								4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4							30	6							1
lv13	13					6	24	24	24	24	24	24	1500	2500		1				1	1	1		1	2	3	-1	-1	-1	-1		9							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	2	27	52	2	37	78	600	600	600	1	2	2	3	2	3	1		3	ms0	ms6	ms160																								ms0	ms6	ms160																							ms0	ms6	ms160																							ms151	ms159			30	30								4	255	Cave Level 2	To The Cave Level 2	A1L14	6								25								1
lv14	14					7	24	24	24	24	24	24	1500	2624		1				1	1	1		1	2	3	-1	-1	-1	-1		10							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	4	29	54	4	38	83	600	600	600	1	2	2	3	2	3	1		3	ms12	ms20	ms44	ms170																							ms12	ms20	ms44	ms170																						ms12	ms20	ms44	ms170																						ms151	ms159			30	30								4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6								25								1
lv15	15					8	24	24	24	24	24	24	1500	2748		1				1	1	1		1	2	3	-1	-1	-1	-1		11							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		3800	5	30	55	5	39	81	600	600	600	1	2	2	3	2	3	1		3	ms12	ms20	ms24	ms161																							ms12	ms20	ms24	ms161																						ms12	ms20	ms24	ms161																						ms151	ms159			30	30								4	255	Hole Level 2	To The Hole Level 2	A1L16	6								25								1
lv16	16					9	24	24	24	24	24	24	1500	2872		1				1	1	1		1	2	3	-1	-1	-1	-1		12							-1	4	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	40	85	600	600	600	1	2	2	3	2	3	1		3	ms2	ms21	ms45	ms162																							ms2	ms21	ms45	ms162																						ms2	ms21	ms45	ms162																						ms151	ms159			30	30								4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4							25	6							1
lv17	17						40	48	40	48	40	48	-1	-1		1	1				1	1	1		3	2	-1	-1	-1	-1	18	19							6	7	-1	-1	-1	-1	-1	-1							1		2025	3	28	53	3	36	80	520	520	520							1		3	ms0	ms6																									ms0	ms6																								ms0	ms6																																					2	255	Burial Grounds	To The Burial Grounds	A1L18																	1
lv18	18					10	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	3	28	53	3	37	83	1256	1256	1056	1	1	3	4	4	5	1		3	ms0	ms6																									ms0	ms6																								ms0	ms6																								ms151	ms159			30	30							8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10					75	4	50	75					1
lv19	19					11	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	17								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	3	28	53	3	37	85	1256	1256	1056	1	1	3	4	4	5	1		3	ms0	ms6																									ms0	ms6																								ms0	ms6																								ms151	ms159			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10					75	4	50	75					1
lv20	20					12	8	8	8	8	8	8	2000	1600		1				1	1	1		1	2	2	-1	-1	-1	-1	6	21							11	12	-1	-1	-1	-1	-1	-1		255	255	255			1		100	7	32	57													1																																																																															ms151	ms159			30	30								5	255	Forgotten Tower	To The Forgotten Tower	A1L21																	1
lv21	21					13	200	200	200	200	200	200	2500	1000		1				1	1	1		1	1	4	-1	-1	-1	-1	20	22							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		100	7	32	57	7	38	75	1024	1024	1024	1	1	2	3	3	4	1		3	ms21	ms38	ms55	ms162																							ms21	ms38	ms55	ms162																						ms21	ms38	ms55	ms162																						ms151	ms159			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15								25								1
lv22	22					14	200	200	200	200	200	200	2500	1300		1				1	1	1		1	1	4	-1	-1	-1	-1	21	23							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	39	76	1024	1024	1024	1	1	2	3	3	4	1		3	ms21	ms38	ms55	ms162																							ms21	ms38	ms55	ms162																						ms21	ms38	ms55	ms162																						ms151	ms159			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15								25								1
lv23	23					15	200	200	200	200	200	200	2500	1600		1				1	1	1		1	1	4	-1	-1	-1	-1	22	24							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		100	7	32	57	7	40	77	1024	1024	1024	1	1	2	3	3	4	1		3	ms21	ms38	ms55	ms162																							ms21	ms38	ms55	ms162																						ms21	ms38	ms55	ms162																						ms151	ms159			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15								25								1
lv24	24					16	200	200	200	200	200	200	2500	1900		1				1	1	1		1	1	4	-1	-1	-1	-1	23	25							8	9	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	7	32	57	7	41	78	1024	1024	1024	1	1	2	3	3	4	1		3	ms21	ms38	ms55	ms162																							ms21	ms38	ms55	ms162																						ms21	ms38	ms55	ms162																						ms151	ms159			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15								25								1
lv25	25					17	30	30	30	30	30	30	2500	2200		1				1	1	1		1	2	4	-1	-1	-1	-1	24								8	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		100	7	32	57	7	42	79	1024	1024	1024	1	1	2	3	3	4	1		3	ms21	ms38	ms55	ms162																							ms21	ms38	ms55	ms162																						ms21	ms38	ms55	ms162																						ms151	ms159			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15								25								1
lv26	26						64	18	64	18	64	18	3000	1000		1				1	1	1			2	5	-1	-1	-1	-1		27							-1	-1	-1	-1	-1	-1	-1	-1							1		2025	8	33	58	8	40	70	600	600	600		1		1	1	2	1		3	ms13	ms45	ms171	ms387																							ms13	ms45	ms171	ms387																						ms13	ms45	ms171	ms387																																		48	6	255	Monastery Gate	To The Monastery Gate	A1L27																	1
lv27	27						56	40	56	40	56	40		-40	26	1				1	1	1			2	6	-1	-1	-1	-1	26	28							-1	-1	-1	-1	-1	-1	-1	-1					1		1		2025	9	34	59	9	40	70	600	600	600		1	1	2	2	3	1		3	ms25	ms46	ms60	ms66																							ms25	ms46	ms60	ms66																						ms25	ms46	ms60	ms66																																			7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15							7	33							1
lv28	28						200	200	200	200	200	200	-1	-1		1				1	1	1		1	1	7	-1	-1	-1	-1	27	29							-1	14	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	9	34	59	9	40	70	680	680	680	1	2	4	5	6	8	1		3	ms46	ms57	ms60	ms172	ms384																						ms46	ms57	ms60	ms172	ms384																					ms46	ms57	ms60	ms172	ms384																					ms151	ms159			30	30							8	8	255	Barracks	To The Barracks	A1L29	51	3	17						9	35	25						1
lv29	29					18	200	200	200	200	200	200	3500	1000		1				1	1	1		1	1	8	-1	-1	-1	-1	28	30							13	14	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	10	35	60	10	41	71	680	680	680	1	2	4	5	6	8	1	1	3	ms22	ms39	ms57	ms172	ms384																						ms22	ms39	ms57	ms172	ms384																					ms22	ms39	ms57	ms172	ms384																					ms151	ms159			30	30							8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3						11	50	35						1
lv30	30					19	200	200	200	200	200	200	3500	1300		1				1	1	1		1	1	8	-1	-1	-1	-1	29	31							13	14	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	10	35	60	10	41	71	680	680	680	1	2	4	5	6	8	1	1	3	ms22	ms39	ms57	ms172	ms384																						ms22	ms39	ms57	ms172	ms384																					ms22	ms39	ms57	ms172	ms384																					ms151	ms159			30	30							8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3						13	50	45						1
lv31	31					20	200	200	200	200	200	200	3500	1600		1				1	1	1		1	1	8	-1	-1	-1	-1	30	32							13	13	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	10	35	60	10	41	71	680	680	680	1	2	4	5	6	8	1	1	3	ms22	ms39	ms57	ms172	ms388																						ms22	ms39	ms57	ms172	ms388																					ms22	ms39	ms57	ms172	ms388																					ms151	ms159			30	30								8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3						15	50	55						1
lv32	32						18	20	18	20	18	20	4000	1000		1				1	1	1			2	6	-1	-1	-1	-1	31	33							14	-1	-1	-1	-1	-1	-1	-1							1		2025	10	35	60	10	41	72	720	720	720		1	1	2	2	2	1		3	ms22	ms163	ms388																								ms22	ms163	ms388																							ms22	ms163	ms388																																				7	7	Inner Cloister	To The Inner Cloister	A1L33																	1
lv33	33						28	34	28	34	28	34	-4	-34	32	1				1	1	1		1	2	9	-1	-1	-1	-1	32	34							-1	15	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	11	36	61	11	42	72	680	680	680	1	2	2	3	3	3	1		3	ms11	ms39	ms61																								ms11	ms39	ms61																							ms11	ms39	ms61																							ms151	ms159			30	30								9	255	Cathedral	To The Cathedral	A1L34	16	3	50	17					35	45	3	3					1
lv34	34					21	200	200	200	200	200	200	4500	1000		1				1	1	1		1	1	10	-1	-1	-1	-1	33	35							16	18	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	11	36	61	11	42	72	680	680	680	1	2	4	5	6	8	1		3	ms11	ms61	ms141																								ms11	ms61	ms141																							ms11	ms61	ms141																							ms151	ms159			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	A1L35	16	3	14	17					40	45	15	3					1
lv35	35					22	200	200	200	200	200	200	4500	1300		1				1	1	1		1	1	10	-1	-1	-1	-1	34	36							17	18	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	11	36	61	11	42	73	680	680	680	1	2	4	5	6	8	1		3	ms11	ms61	ms122																								ms11	ms61	ms122																							ms11	ms61	ms122																							ms151	ms159			30	30							60	10	8	Catacombs Level 2	To The Catacombs Level 2	A1L36	16	3	14	17					45	45	17	3					1
lv36	36					23	200	200	200	200	200	200	4500	1600		1				1	1	1		1	1	10	-1	-1	-1	-1	35	37							17	18	-1	-1	-1	-1	-1	-1		255	255	255	1		1		2025	12	37	62	12	43	73	680	680	680	1	2	4	5	6	8	1		3	ms7	ms10	ms135																								ms7	ms10	ms135																							ms7	ms10	ms135																							ms151	ms159			30	30							60	10	255	Catacombs Level 3	To The Catacombs Level 3	A1L37	16	3	14	17					50	45	19	3					1
lv37	37					24	22	31	22	31	22	31	4500	1900		1				1	1	1		1	2	10	-1	-1	-1	-1	36								17	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	12	37	62	12	43	73	680	680	680	1	2	4	5	6	8	1		3	ms7	ms10																									ms7	ms10																								ms7	ms10																								ms151	ms159			30	30							60	10	255	Catacombs Level 4	To The Catacombs Level 4	A1L38	16	3	14	17					55	45	1	3					1
lv38	38					25	43	48	43	48	43	48	5000	1000		1	1				1	1	1		2	11	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1	1		2025	6	31	56	6	39	76	520	520	520	1	2	3	4	5	6			3	ms1	ms54	ms59	ms170																							ms1	ms54	ms59	ms170																						ms1	ms54	ms59	ms170																																			3	255	Tristram	To Tristram	A1L39	44	45							33	1							1
lv39	39			26	40	26	80	80	80	80	80	80	5000	1148		1	1				1	1			3	2	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	28	53	78	28	64	81	800	800	800		1	3	4	6	8	1		3	ms391	ms391	ms391																								ms391	ms391	ms391																							ms391	ms391	ms391																																				34	255	Moo Moo Farm	To The Moo Moo Farm	A1L40	1	38	33	34					5	35	35	35					0
lv40	40	1	1			27	56	56	56	56	56	56	1000	1000		1					1	1	1		2	12	-1	-1	-1	-1			47	47	50				-1	-1	19	20	24	-1	-1	-1					1	1			2025		25	50																																																																																												ms268				30									12	9	Lut Gholein	To Lut Gholein	A2L1																	0
lv41	41	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9		7	8	55	55	55	55					33	34	35	36	-1	-1	-1	-1							1		2025	14	39	64	14	43	75	880	880	880	1	2	4	6	7	9	1		3	ms78	ms83	ms91	ms110	ms373																						ms78	ms83	ms91	ms110	ms373																					ms78	ms83	ms91	ms110	ms373																					ms269				20									13	255	Rocky Waste	To The Rocky Waste	A2L2	24	32	37	36					30	15	40	40					0
lv42	42	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	1	7	8	56	56	56	56					33	34	35	36	-1	-1	-1	-1							1		2025	15	40	65	15	44	76	880	880	880	1	2	4	6	7	9	1		3	ms79	ms84	ms111	ms394																							ms79	ms84	ms111	ms394																						ms79	ms84	ms111	ms394																						ms269				20									13	11	Dry Hills	To The Dry Hills	A2L3	24	32	37	36					30	14	40	40					0
lv43	43	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	2	7	8					62				-1	-1	-1	-1	47	-1	-1	-1					1		1		2025	16	41	66	16	45	76	880	880	880	1	2	4	6	7	9	1		3	ms208	ms68	ms87	ms92	ms111																						ms208	ms68	ms87	ms92	ms111																					ms17	ms68	ms87	ms92	ms111																					ms269				20									13	13	Far Oasis	To The Far Oasis	A2L4	24	32	37	36					30	13	40	40					0
lv44	44	1	1			27	80	80	80	80	80	80	-1	-1		1					1	1	1		3	16	9	3	7	8			65						-1	-1	50	-1	-1	-1	-1	-1							1		3800	17	42	67	17	46	77	880	880	880	1	2	4	6	7	9	1		3	ms9	ms30	ms80	ms85	ms395																						ms9	ms30	ms80	ms85	ms395																					ms9	ms30	ms80	ms85	ms395																					ms269				20									13	14	Lost City	To The Lost City	A2L5	24	32	37	36					30	12	40	40					0
lv45	45	1	1			27	32	32	32	32	32	32	-1	-1		1					1	1	1		3	16	-1	-1	-1	8		58							-1	37	-1	-1	-1	-1	-1	-1					1		1		2025	18	43	68	18	46	77	880	880	880	1	2	4	6	7	9	1		3	ms74	ms74	ms75	ms75	ms98	ms102																					ms74	ms74	ms75	ms75	ms98	ms102																				ms74	ms74	ms75	ms75	ms98	ms102																				ms269				20									13	255	Valley of Snakes	To The Valley of Snakes	A2L6	24	32	37	36					30	11	40	40					0
lv46	46	1	1	13	13	28	80	80	80	80	80	80	2500	1000		1			1		1	1	1		3	16	9	4	7	8		66	67	68	69	70	71	72	-1	38	39	40	41	42	43	44					1	1	1		3800	16	41	66	16	48	79	880	880	880			3	4	7	9	1		3	ms26	ms70	ms86	ms94	ms376																						ms26	ms70	ms86	ms94	ms376																					ms26	ms70	ms86	ms94	ms376																					ms269				20									14	17	Canyon of the Magi	To The Canyon of the Magi	A2L7	24	32	37	36					30	10	40	40					0
lv47	47	1	1			29	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	13	-1	-1	-1	-1	40	40	48						22	21	23	-1	-1	-1	-1	-1	8	255	255	255			1		100	13	38	63	13	43	74	680	680	680		1	3	4	6	8	1		3	ms3	ms29	ms96	ms173																							ms3	ms29	ms96	ms173																						ms3	ms29	ms96	ms173																						ms151	ms159	ms269		30	100	20							15	255	Sewers Level 1	To The Sewers Level 1	A2L8	32	26	5						10	10	10						0
lv48	48	1	1			30	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	13	-1	-1	-1	-1	47		49						22	-1	23	-1	-1	-1	-1	-1	8	255	255	255			1		2025	13	38	63	13	43	74	680	680	680		1	3	4	6	8	1		3	ms3	ms29	ms96	ms173																							ms3	ms29	ms96	ms173																						ms3	ms29	ms96	ms173																						ms151	ms159	ms269		30	100	20							15	10	Sewers Level 2	To The Sewers Level 2	A2L9	32	26	5						12	12	12						0
lv49	49	1	1			31	200	200	200	200	200	200	1500	1600		1				1	1	1		1	1	13	-1	-1	-1	-1	48								22	-1	-1	-1	-1	-1	-1	-1	8	255	255	255			1		2025	14	39	64	14	44	75	680	680	680		1	3	4	6	8	1		3	ms3	ms83	ms96	ms385																							ms3	ms83	ms96	ms385																						ms3	ms83	ms96	ms385																						ms151	ms159	ms269		30	100	20							15	255	Sewers Level 3	To The Sewers Level 3	A2L10	32	26	5						15	15	15						0
lv50	50	1	1	11	11	32	16	19	16	19	16	19	2000	1000		1				1	1	1		1	2	14	-1	-1	-1	-1	40		51	51					25	-1	28	29	-1	-1	-1	-1	128	255	255	255					2025		25	50																																																																																												ms151	ms159	ms269		30	30	20						8	16	255	Harem Level 1	To The Harem Level 1	A2L11	56								15								0
lv51	51	1	1	11	11	33	100	100	100	100	100	100	2000	1119		1				1	1	1		1	1	14	-1	-1	-1	-1	50	50	52	52					26	27	28	29	-1	-1	-1	-1		255	255	255			1		2025	13	38	63	13	47	78	2200	2200	2200							1		3	ms31	ms48	ms174	ms186	ms382																						ms31	ms48	ms174	ms186	ms382																					ms31	ms48	ms174	ms186	ms382																					ms151	ms159	ms269		30	30	20						8	17	255	Harem Level 2	To The Harem Level 2	A2L12	56	55							15	33							0
lv52	52	1	1	11	11	34	100	100	100	100	100	100	2000	1319		1				1	1	1		1	1	15	-1	-1	-1	-1	51	51	53	53					26	27	32	32	-1	-1	-1	-1		255	255	255			1		2025	13	38	63	13	47	78	2200	2200	2200		1	3	4	5	7	1	1	3	ms31	ms48	ms174	ms186	ms386																						ms31	ms48	ms174	ms186	ms386																					ms31	ms48	ms174	ms186	ms386																					ms151	ms159	ms269		30	30	20						60	18	15	Palace Cellar Level 1	To The Palace Cellar Level 1	A2L13	57	58							20	10							0
lv53	53	1	1	11	11	35	100	100	100	100	100	100	2000	1519		1				1	1	1		1	1	15	-1	-1	-1	-1	52	52	54	54					30	31	32	32	-1	-1	-1	-1		255	255	255	1		1		2025	13	38	63	13	47	78	2200	2200	2200		1	3	4	5	7	1	1	3	ms31	ms48	ms174	ms186	ms277																						ms31	ms48	ms174	ms186	ms277																					ms31	ms48	ms174	ms186	ms277																					ms151	ms159	ms269		30	30	20						60	18	255	Palace Cellar Level 2	To The Palace Cellar Level 2	A2L14	57	58							20	10							0
lv54	54	1	1	11	11	36	100	100	100	100	100	100	2000	1719		1				1	1	1		1	1	15	-1	-1	-1	-1	53	53							30	31	-1	-1	-1	-1	-1	-1		255	255	255	1	1	1		2025	13	38	63	13	48	78	2200	2200	2200		1	3	4	5	7	1	1	3	ms31	ms48	ms174	ms186	ms390																						ms31	ms48	ms174	ms186	ms390																					ms31	ms48	ms174	ms186	ms390																					ms151	ms159	ms269		30	30	20						60	18	255	Palace Cellar Level 3	To The Palace Cellar Level 3	A2L15	57	58							20	10							0
lv55	55	1	1			37	200	200	200	200	200	200	3000	1000		1				1	1	1		1	1	17	-1	-1	-1	-1	41				59				45	-1	-1	-1	46	-1	-1	-1		255	255	255			1		1000	12	37	62	12	44	85	2200	2200	2200		1	3	4	6	8	1		3	ms4	ms91	ms389																								ms4	ms91	ms389																							ms4	ms91	ms389																							ms151	ms159	ms269		30	30	20						60	19	255	Stony Tomb Level 1	To The Stony Tomb Level 1	A2L16	19	29	24						10	20	35						0
