GroupName	Offset	ID0	DENSITY0	PROB0	ID1	DENSITY1	PROB1	ID2	DENSITY2	PROB2	ID3	DENSITY3	PROB3	ID4	DENSITY4	PROB4	ID5	DENSITY5	PROB5	ID6	DENSITY6	PROB6	ID7	DENSITY7	PROB7	SHRINES	WELLS
og56	56	109		25	167		25	299		25	300		25													1	
og57	57	154	30	10	270	30	10	176	30	80																	
og58	58	116		20	280		20	281		20	279		20	282		20											
og59	59	203	30	20	204	30	20	205	30	20																	
og60	60	181	30	20	183	30	20	208	30	20																	
og61	61	199		20	200		20	201		20	206		20	202		20											
og62	62	325		16	197		16	191		16	278		16	120		16	184		16							1	
og63	63																										
og64	64	181	30	20	183	30	20	185	30	20	187	30	20	186	30	20											
og65	65	244	30	20	246	30	20	225	30	20	326	30	10	327	30	20											
og66	66	325		50	361		50																			1	
og67	67	326	30	12	225	16	24	360	30	20	362	30	20	271	30	24											
og68	68	333	30	20	334	30	20	335	30	20	336	30	20														
og69	69				169	30	20	185	30	20	271	30	20	326	30	10											
og70	70	208	30	20	209	30	20	271	30	20	225	30	20														
og71	71																									1	
og72	72																										
og73	73	289	30	100																							
og74	74	329	30	20	330	30	20	331	30	20	332	30	20														
og75	75	319		25	320		25	303		25	133		25													1	
og76	76	343		50	344		50																				
og77	77	380	30	25	369	50	25	383	30	25	384	30	25														
og78	78	89	30	100																							
og79	79																										
og80	80																										
og81	81																										
og82	82																										
og83	83																										
og84	84																										
og85	85																										
og86	86																										
og87	87																										
og88	88																										
og89	89																										
og90	90																										
og91	91																										
og92	92																										
og93	93																										
og94	94																										
og95	95																										
og96	96																										
og97	97																										
og98	98	401	30	50	402	30	50																				
og99	99	414	30	20	439	30	20	421	30	20	427	30	20														
og100	100	413	30	20	420	30	20	424	30	20	425	30	20	477	30	20											
og101	101	430	30	20	431	30	20	454	30	20	540	30	20	438	30	20											
og102	102	448	30	20	417	30	20	446	30	20	447	30	20	450	30	20											
og103	103	418	30	50	419	30	50																				
og104	104	422	30	50	423	30	50																				
og105	105	426	30	50	419	30	50																				
og106	106	443	30	20	444	30	20	445	30	20																	
og107	107	463	30	20	466	30	20																				
og108	108	464	30	50	465	30	50																				
og109	109	467	30	20	468	30	20	469	30	20	470	30	20	471	30	20											
og110	110	479	30	25	472	30	75																				
og111	111	501	30	20	502	30	20	500	30	20	432	30	20	433	30	20											
og112	112	428	30	20	495	30	20	497	30	20																	
og113	113	491	30	50	492	30	50																				
og114	114	493	30	100																							
og115	115	504	30	25	505	30	25	506	30	25	507	30	25														
og116	116	509	30	75	520	30	25																				
og117	117	513	30	100																							
og118	118	516	30	20	517	30	20	518	30	20	413	30	20	418	30	20											
og119	119	483	30	50	484	30	50																				
og120	120	485	30	20	486	30	20	487	30	20	524	30	15	525	30	15	526	30	10								
og121	121	488	30	25	499	30	25	503	30	25																	
og122	122	498	30	50																							
og123	123	519	30	50																							
og124	124	521	30	50	522	30	50																				
og125	125	444	30	20	445	30	20	443	30	20	424	30	20	425	30	20											
og126	126	529	30	20	530	30	20	531	30	20	532	30	20	533	30	20											
og127	127	534	30	20	535	30	50																				
og128	128	541	30	35	544	30	35																				
og129	129	540	30	20	545	30	20	518	30	20	556	30	20	554	30	15											
og130	130																										
og131	131																										
og132	132																										
og133	133	466	100	100																							
og134	134	540	30	20	545	30	20	518	30	20	556	30	20														
