AI	*aip1	*aip2	*aip3	*aip4	*aip5	*aip6	*aip7	*aip8	*eol
ma74	flee range	engage range	curse timer	curse?	shoot?	bonespirit?	approach?	approach dist	0
ma75	attack?	approach?	melee stall	regular stall					0
ma76	num to spawn	spawn delay							0
ma77	distance	num to shoot	delay						0
ma78	min dist	max dist	delay	delay2					0
ma79	min dist	max dist	delay	delay2					0
ma80	range	num times	delay						0
ma81									0
ma82	num to spawn	activation dist	delay						0
ma83	num to spawn	activation dist	delay						0
ma84									0
ma85	engage?	heal at range?	heal/hydra timer	hydra at range?	ltng at range?	disengage?	ltng engaged?	range	0
ma86									0
ma87									0
ma88									0
ma89	inferno ranged?	inferno melee?	swing melee?	approach?	circle melee?	inferno timer			0
ma90									0
ma91									0
ma92	range	num times	delay						0
ma93	num sk1	sk1 stall	sk1 long delay	num sk2	sk2 stall	sk2 long delay			0
ma94	short delay	num shots	long delay	range	spread				0
ma95	approach?	throw?	group dist	walk away?	stall time	throw dist			0
ma96	stay in range	run away?							0
ma97									0
ma98									0
ma99									0
ma100									0
ma101									0
ma102									0
ma103									0
ma104									0
ma105	max target dist	max boss dist	attack chance	skill decrement				summoning skill/min to use skill/max to use skill	0
ma106	approach dist/melee bonus/progressive bonus	random pick/ignore range/boss leash	attack chance					summoning skill	0
ma107									0
ma108									0
ma109									0
ma110									0
ma111									0
ma112									0
ma113	stall time								0
ma114	attack?	melee stall	charge range	charge?	follow?	walk forward?	ranged stall	reanimate	0
ma115	call imp dist	attack?	stamp in melee?	melee stall	stomp ranged?	charge?	charge vel		0
ma116	attack?	melee stall	approach?	ranged stall	att1/att2?				0
ma117	blow up delay	stall time	approach?						0
ma118	attack?	approach?	curse?	curse range	melee stall	ranged stall	curse level		0
ma119	attack?	approach?	walk away?	comfort dist	shoot?	stall	amp dam tgt hp%	weaken my hp%	0
ma120	rally spell timer	heal?	whip?	comfort dist	comfort zone	attack?	att1/att2?		0
ma121	num to spawn	stall time	spawn delay	activation range	max in area				0
ma122	refer to source								0
ma123	attack?								0
ma124	attack?	approach?	arctic blast?	stall time					0
ma125	attack?	approach?	frenzy/att1?	stall time					0
ma126	attack?	delay	range	random range	shots per skill				0
ma127									0
ma128									0
ma129									0
ma130	attack?	approach?	shoot range	shoot?					0
ma131									0
ma132									0
ma133									0
ma134									0
ma135									0
ma136									0
ma137									0
ma138									0
ma139									0
ma140									0
ma141									0
ma142	charge?	charge dist	attack?	shoot?	stall time	charge color	shoot dist	shoot timer	0
ma143	approach dist/melee bonus/progressive bonus	random pick/ignore range	attack chance					summoning skill	0
ma144	attack?	engage?	nova at range?	nova in melee?	post nova doldrums	num swings			0
ma145									0
ma146									0
ma147									0
