class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
iv10		321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv11		321	220	442	10	4	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
iv12		320	-28	432	10	15	16	304	-14	421	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	20	75	9	118	54	109	136	192	67	149	56	82	251	306	9	118	54	109	135	189	5	59	54	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	136	192	155	180	52	25	251	306	125	177	54	52	20	74	125	178	54	53
iv14	320	640	-30	430	10	8	335	623	189	419	29	29	337	392		110	55	110	450	506	49	131	56	82	566	621		110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
iv15	320	640	-30	430	10	8	335	623	189	419	29	29	337	392		110	55	110	450	506	49	131	56	82	566	621		110	55	110	451	507	-23	31	56	54	522	547	7	32	25	25	411	436	147	172	25	25	521	546	147	172	25	25	450	506	147	172	56	25	567	621	128	182	54	54	338	392	126	180	54	54
iv16	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv17	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv18	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv19	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv20	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv21	80	401	60	502	10	10	96	385	103	392	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv22	80	401	60	279	10	4	100	385	101	208	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv23	80	401	280	502	10	4	100	385	315	428	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv24	80	401	280	502	6	4	154	324	333	446	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv25	80	401	280	502	4	4	184	298	200	314	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv26	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv27	80	401	280	502	10	4	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv28	80	400	42	502	10	15	96	384	46	481	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
iv29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	69	178	54	109	216	272	127	209	56	82	331	386	69	178	54	109	215	269	65	119	54	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	216	272	215	240	52	25	331	386	185	237	54	52	100	154	185	238	54	53
iv30	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
iv31	400	720	32	492	10	8	415	703	249	479	29	29	417	472	57	167	55	110	530	586	108	190	56	82	646	701	57	167	55	110	531	587	35	91	56	56	602	627	67	92	25	25	491	516	207	232	25	25	601	626	207	232	25	25	530	586	207	232	56	25	647	701	188	242	54	54	418	472	186	240	54	54
