skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd30	3	4	1	3		48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	clc2											1				1					2	StrSkill4	StrSkill23	ln34+skill('sk10'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																					40	Sksyn	skillname30	2		63	skillname10	Damplev	par8																											0
sd31	1	6	1	1		50	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		par1+blvl/4																	40	Sksyn	skillname31	2		63	skillname11	Colddplev	par6		63	skillname21	Colddplev	par8		63	skillname21	FrezLenplev	par7																	0
sd32	2	6	1	2		52	skillname32	skillsd32	skillld32	skillan32	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		toht		5	StrPowerStrikeLevel		1+lvl/2		2	StrSkill4	StrSkill23	par2*(lvl-1)+20*skill('sk28'.blvl)		13			par1*(lvl-1)+skill('sk28'.blvl)*par8		18	StrExtraValk																			40	Sksyn	skillname32	2		63	skillname28	Hpplev	par8		63	skillname28	Physdplev	15		63	skillname33	Ltngprcplev	1		67	skillname23	AttRateplev	40		25	StrValkPowerStrikeSyn				25	skillname9				0
sd33	2	3	3	2		54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	7	StrSkill24		dm12																																																																																		0
sd34	3	6	2	3		56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																1					10					7	StrSkill11		min(ln34,12)																																					40	Sksyn	skillname34	2		63	skillname14	Ltngdplev	par8		63	skillname24	Ltngdplev	par8																						0
sd35	3	6	3	3		58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	ln12																																					40	Sksyn	skillname35	2		63	skillname14	Ltngdplev	par8		63	skillname20	Ltngdplev	par8																						0
sd36	1	1	2	1			skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																11					10					9					8															1																				40	Sksyn	skillname36	2		63	skillname47	Firedplev	par8		63	Combustion	Firedplev	par8																						0
sd37	1	1	3	1		2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	6	StrAttackRating		toht		7	StrSkill23		ln12																																																																													0
sd38	2	1	2	2		4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		min(24,ln12)		10																																								40	Sksyn	skillname38	2		63	skillname43	Ltngdplev	par8		63	skillname49	Ltngdplev	par8																						0
sd39	3	1	2	3		6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname39	2		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8																						0
sd40	3	1	3	3		8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill62		(ln56*(100+(skill('sk50'.blvl)+skill('sk60'.blvl))*par8))/100		12	StrSkill20		ln34+skill('sk60'.blvl)*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname40	2		67	skillname50	Secplev2	(par7+12)/25		63	skillname50	FrezLenplev	par8		67	skillname60	Secplev2	(par7+12)/25		63	skillname60	FrezLenplev	par8												0
sd41	1	1	1	1		10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																	40	Sksyn	skillname41	2		63	skillname51	Firedplev	par8		63	skillname46	Firedplev	par8																						0
sd42	2	1	1	2		12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	1					19	StrSkill18		min(ln12/2,14)		3	StrEnemyLtngRes	StrSkill23	-((par5+((lvl<22)?lvl:(22+(lvl-22)/2)))		12	StrSkill20		125+5*skill('sk63'.blvl)												3	StrSkill33	StrSkill23	par4																	40	Sksyn	skillname42	2		57	StrLtngMasterySynergy		par5																											0
sd43	2	1	3	2		14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																													40	Sksyn	skillname43	2		63	skillname38	Ltngdplev	par8		63	skillname48	Ltngdplev	par8																						0
sd44	3	2	1	3		16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					11					10																																								40	Sksyn	skillname44	2		63	skillname39	Colddplev	par8		63	skillname50	Colddplev	par8																						0
sd45	3	2	2	3		18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		63	skillname39	Colddplev	par8							63	skillname55	Colddplev	par8																	0
sd46	1	2	1	1		20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													ml67			1					27					23	StrSkill82																																							40	Sksyn	skillname46	2		63	skillname37	Firedplev	par8		63	skillname51	Firedplev	par7																						0
sd47	1	3	2	1		22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													ml62			1					11					10					9					8																														40	Sksyn	skillname47	2		63	skillname36	Firedplev	par8		63	Combustion	Firedplev	par8																						0
sd48	2	3	1	2		24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																																													40	Sksyn	skillname48	2		63	skillname38	Ltngdplev	par8		63	skillname43	Ltngdplev	par8																						0
sd49	2	3	2	2		26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		63	skillname38	Ltngdplev	par8		63	skillname53	Ltngdplev	par8																						0
sd50	3	3	3	3		28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					11					10					3	StrSkill31	StrSkill23	ln12		12	StrSkill20		ln34+(skill('sk0'.blvl)+skill('sk60'.blvl))*par7																											40	Sksyn	skillname50	2		63	ColdEnchant	Colddplev	par8		67	skillname60	Colddplev	par8																						0
sd51	1	3	1	1		30	skillname51	skillsd51	skillld51	skillan51	StrSkill3	9													ml68			1					29					27					30	StrSkill82																																		40	Sksyn	skillname51	2		63	skillname37	Firedplev	par8		63	skillname41	Firedplev	par7																						0
sd52	1	4	3	1		32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		ln12																																40	Sksyn	skillname52	2		63	skillname37	Firedplev	par8																											0
sd53	2	5	2	2		34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					10					7	StrSkill11		min(ln34/5,14)																																					40	Sksyn	skillname53	2		63	skillname38	Ltngdplev	par8		63	skillname49	Ltngdplev	par8																						0
sd54	2	4	3	2		36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																														7	StrPercentDamage		-(par2-blvl)																																																				0
sd55	3	4	2	3		38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		(ln34*(100+skill('sk59'.blvl)*par7))/100		10																				19	StrSkill18		ln12																	40	Sksyn	skillname55	2		63	IceBarrage	Colddplev	par8		63	skillname59	Colddplev	par8		63	skillname59	FrezLenplev	par7																	0
sd56	1	5	1	1		40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													ml240			1					22					10					9																																			40	Sksyn	skillname56	2		63	skillname47	Damplev	par8		63	skillname51	Damplev	par8		63	skillname41	Damplev	par8																	0
sd57	2	5	1	2		42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					10					12	StrSkill20		ln12		12	StrDelay		par3-(blvl*25)/20																																40	Sksyn	skillname57	2		63	skillname49	Ltngdplev	par8		63	skillname48	Ltngdplev	par8																						0
sd58	2	6	3	2		44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	1					3	StrSkill40	StrSkill23	min(edmn,80)		12	StrSkill20		ln12																																					40	Sksyn	skillname58	2		18	skillname43																													0
sd59	3	5	1	3		46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													ml158			1					23	StrSkill20				10					19	StrSkill18		par1																																40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname55	Colddplev	par8																						0
sd60	3	5	3	3		48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					10					12	StrSkill20		ln34+skill('sk50'.blvl)*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname60	2		63	ColdEnchant	Colddplev	par8		67	skillname50	Colddplev	par8																						0
sd61	1	6	2	1		50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrFirePierce	StrSkill23	min(lvl,40)		2	StrSkill5	StrSkill23	ln12																																																																													0
sd62	1	6	3	1		52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	skillname62	2		63	skillname36	Firedplev	par8		63	LesserHydra	Firedplev	par8																						0
sd63	2	6	2	2		54	skillname63	skillxsd63	skillxld63	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	ln12																																																																																		0
sd64	3	6	1	3		56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname64	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8																						0
sd65	3	6	2	3		58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	2	StrColdPierce	StrSkill23	min(ln12,65)		2	StrSkill6	StrSkill23	ln34																																																																													0
sd66	1	1	2	1			skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3																	2	StrPhysDmgResist	StrSkill23	-((par5+par6*blvl)+skill('sk374'.blvl))		18	StrAmpDmgPhysRes														40	Sksyn	skillname66	2		63	CurseMastery	StrRedPhysDmgResplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd67	2	1	2	2		2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					10					7	StrSkill28		min(ln12,24)																																					40	Sksyn	skillname67	2		63	skillname68	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname93	Magdplev	par8																	0
sd68	2	2	3	2		4	skillname68	skillsd68	skillld68	skillan68	StrSkill3																	1					3	StrSkill40	StrSkill41	ln12+(skill('sk78'.blvl)+skill('sk88'.blvl))*par8																																										40	Sksyn	skillname68	2		67	skillname78	Damabsplev	par8		67	skillname88	Damabsplev	par8																						0
sd69	3	1	1	3		6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	70	StrSkill95	StrSkill4	lvl*par2		70	StrSkill95	StrSkill42	lvl*par1		70	StrSkill95	StrSkill70	min(lvl,40)		32	StrSkill96	StrElemDmg	lvl*par2		70	StrSkill96	StrSkill42	lvl*par1		70	StrSkill96	StrSkill70	min(lvl,25)																																																									0
sd70	3	1	3	3		8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					36	StrSkill94	StrSkill44	min((lvl<4)?lvl:(2+lvl/3),8)		13			(lvl<4)?0:(par2*(lvl-3))	skill('sk69'.lvl)*skill('sk69'.par1)	5	StrSkill21		5+(lvl+skill('sk69'.lvl))*par5		5	StrSkill22		5+(lvl+skill('sk69'.lvl))*par4		2	StrSkill4	StrSkill23	(lvl<4)?0:((lvl-3)*par3)		34																				40	Sksyn	skillname70	2		63	skillname80	Damplev	par8		63	skillname69	Damplev	par8		18	skillname69																			0
sd71	1	2	3	1		10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		par1+lvl/3		6	StrAttackRating		-(ln56+skill('sk374'.blvl)*par8)																																40	Sksyn	skillname71	2		67	CurseMastery	StrRedARplev	par8																											0
sd72	1	4	2	1		12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3		3	StrSkill38	StrSkill23	-(ln56+skill('sk374'.blvl)/2)																																40	Sksyn	skillname72	2		63	CurseMastery	StrRedDmgplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd73	2	1	1	2		14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		14					3	StrPierces	StrPercPoisRes	-min(ln12,20)																																40	Sksyn	skillname73	2		63	Desecrate	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
sd74	2	2	1	2		16	skillname74	skillsd74	skillld74	skillan74	StrSkill3	5																1					37	StrSkill18		(par3+skill('sk74'.lvl)*par4>42)?42:(par3+skill('sk74'.lvl)*par4)		10					9															38	StrSkill4	StrSkill46	par1	par2	1															40	Sksyn	skillname74	2		63	skillname66	Damplev	par8		63	Desecrate	Damplev	par8		63	skillname95	Damplev	par8																	0
sd75	3	2	2	3		18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					3	Cgslow	StrSkill23	dm34		4	StrSkill30		lvl*par8		39					13			(par7*lvl+skill('sk79'.ln12))+skill('sk85'.blvl)*skill('sk85'.par8)							5	StrSkill21		100+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(40+skill('sk79'.ln56))+lvl*par8												40	Sksyn	skillname75	2		18	skillname79									67	skillname90	Defplev	skill('sk90'.par8)		63	skillname85	Damplev	par6		63	skillname90	Damplev	par6		63	skillname94	Damplev	par6		0
sd76	1	3	1	1		20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3		12	StrSkill20		ln34		7	StrSkill55		ln56+skill('sk374'.blvl)*par8																																40	Sksyn	skillname76	2		63	CurseMastery	StrIncDmgRet	par8		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd77	1	3	3	1		22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1																														19	StrSkill18		par1		12	StrSkill20		par2		2	StrMoveSpeed	StrSkill23	-((par3+par4*blvl)+skill('sk374'.blvl))		18	StrTerrorMoveSpdDesc				40	Sksyn	skillname77	2		63	CurseMastery	StrRedMoveSpdplev	1																											0
sd78	2	3	3	2		24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	1					12	StrSkill20		par2		13			par1*(lvl-1)+(skill('sk68'.blvl)+skill('sk88'.blvl))*par8																																					40	Sksyn	skillname78	2		63	skillname68	Hpplev	par8		63	skillname88	Hpplev	par8																						0
sd79	3	3	1	3		46	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	2	StrSkill89	StrSkill23	dm34		4	StrSkill30		ln56		2	StrSkill42	StrSkill23	lvl*par1																	5	StrGolems		1+blvl/5		18	StrExtraGolems																																																	0
sd80	3	3	3	3		28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					13				skill('sk69'.lvl)*skill('sk69'.par1)	43	StrSkill5		((miss('ml210'.edns)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is329'.accr))*256)/100+256))/256	((miss('ml210'.edxs)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is329'.accr))*256)/100+256))/256	43	StrSkill6		((miss('ml209'.edns)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is331'.accr))*256)/100+256))/256	((miss('ml209'.edxs)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is331'.accr))*256)/100+256))/256	43	StrSkill7		((miss('ml211'.edns)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is330'.accr))*256)/100+256))/256	((miss('ml211'.edxs)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is330'.accr))*256)/100+256))/256	43	StrSkill8	StrNecroMagePsn	((miss('ml208'.edns)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is332'.accr))*256)/100+256))/16	((miss('ml208'.edxs)*((((skill('sk69'.lvl)*skill('sk69'.par2)+skill('sk70'.blvl)*par8)+stat('is332'.accr))*256)/100+256))/16	36	StrSkill43a	StrSkill44a	min((blvl<4)?blvl:(2+blvl/3),8)																	40	Sksyn	skillname80	2		63	skillname70	ElemDampLev	par8		18	skillname69																								0
sd81	1	4	3	1		30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3																	2	StrSkill106	StrSkill23	(par5+par6*blvl)+skill('sk374'.blvl)		18	StrConfuseAttSpd														40	Sksyn	skillname81	2		63	CurseMastery	StrAttSpdplev	1																											0
sd82	1	3	2	1		32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		(par1+lvl/3)+skill('sk374'.blvl)/3																	2	StrLifeSteal	StrSkill23	(par5+par6*blvl)+skill('sk374'.blvl)/2		18	StrLifeTapInc														40	Sksyn	skillname82	2		63	CurseMastery	StrIncLLplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
sd83	2	3	1	2		34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		63	skillname73	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
sd84	2	4	2	2		36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					11					10					5	StrSkillBoneSpears		((1+((lvl<15)?0:1))+((lvl<25)?0:1))+stat('is443'.accr)												18	StrAddBoneSpear																			40	Sksyn	skillname84	2		63	skillname67	Magdplev	par8		63	skillname93	Magdplev	par8		63	skillname68	Magdplev	par7																	0
sd85	3	4	2	3		38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					39					6	StrLGOH		ln12		13			par7*lvl+skill('sk79'.ln12)												5	StrSkill21		120+skill('sk90'.lvl)*skill('sk90'.par8)		5	StrSkill22		(60+skill('sk79'.ln56))+skill('sk75'.blvl)*skill('sk75'.par8)												40	Sksyn	skillname85	2		18	skillname79				67	skillname75	AttRateplev	skill('sk75'.par8)		67	skillname90	Defplev	skill('sk90'.par8)		63	skillname75	Damplev	15		63	skillname90	Damplev	15		63	skillname94	Damplev	15		0
sd86	1	5	3	1		40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		par1+lvl/3		5	StrSkill25		-(ln56+skill('sk374'.blvl)*par8)																																40	Sksyn	skillname86	2		67	CurseMastery	StrRedEneDefplev	par8																											0
