description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm53	1								3	"gfb,qty=3"							gsb																																																																																							0
cm54	1								3	"gsb,qty=3"							glb																																																																																							0
cm55	1								2	"glbs,qty=3"	"key,qty=1"						gpbs																																																																																							0
cm56	1								4	"glb,qty=3"	"key,qty=1"						gpb																																																																																							0
cm57	1								3	"gcy,qty=3"							gfy																																																																																							0
cm58	1								3	"gfy,qty=3"							gsy																																																																																							0
cm59	1								3	"gsy,qty=3"							gly																																																																																							0
cm60	1								2	"glys,qty=3"	"key,qty=1"						gpys																																																																																							0
cm61	1								4	"gly,qty=3"	"key,qty=1"						gpy																																																																																							0
cm62	1								3	"gcg,qty=3"							gfg																																																																																							0
cm63	1								3	"gfg,qty=3"							gsg																																																																																							0
cm64	1								3	"gsg,qty=3"							glg																																																																																							0
cm65	1								2	"glgs,qty=3"	"key,qty=1"						gpgs																																																																																							0
cm66	1								4	"glg,qty=3"	"key,qty=1"						gpg																																																																																							0
cm67	1								3	"gcw,qty=3"							gfw																																																																																							0
cm68	1								3	"gfw,qty=3"							gsw																																																																																							0
cm69	1								3	"gsw,qty=3"							glw																																																																																							0
cm70	1								2	"glws,qty=3"	"key,qty=1"						gpws																																																																																							0
cm71	1								4	"glw,qty=3"	"key,qty=1"						gpw																																																																																							0
cm72	1								3	"skc,qty=3"							skf																																																																																							0
cm73	1								3	"skf,qty=3"							sku																																																																																							0
cm74	1								3	"sku,qty=3"							skl																																																																																							0
cm75	1								2	"skls,qty=3"	"key,qty=1"						skzs																																																																																							0
cm76	1								4	"skl,qty=3"	"key,qty=1"						skz																																																																																							0
cm77	1			100					4	"r01,qty=3"	"key,qty=1"						r02																																																																																							0
cm78	1			100					4	"r02,qty=3"	"key,qty=1"						r03																																																																																							0
cm79	1			100					4	"r03,qty=3"	"key,qty=1"						r04																																																																																							0
cm80	1			100					4	"r04,qty=3"	"key,qty=1"						r05																																																																																							0
cm81	1			100					4	"r05,qty=3"	"key,qty=1"						r06																																																																																							0
cm82	1			100					4	"r06,qty=3"	"key,qty=1"						r07																																																																																							0
cm83	1			100					4	"r07,qty=3"	"key,qty=1"						r08																																																																																							0
cm84	1			100					4	"r08,qty=3"	"key,qty=1"						r09																																																																																							0
cm85	1			100					4	"r09,qty=3"	"key,qty=1"						r10																																																																																							0
cm86	1			100					2	"r01s,qty=3"	"key,qty=1"						r02s																																																																																							0
cm87	1			100					2	"r02s,qty=3"	"key,qty=1"						r03s																																																																																							0
cm88	1			100					2	"r03s,qty=3"	"key,qty=1"						r04s																																																																																							0
cm89	1			100					2	"r04s,qty=3"	"key,qty=1"						r05s																																																																																							0
cm90	1			100					2	"r05s,qty=3"	"key,qty=1"						r06s																																																																																							0
cm91	1			100					2	"r06s,qty=3"	"key,qty=1"						r07s																																																																																							0
cm92	1			100					2	"r07s,qty=3"	"key,qty=1"						r08s																																																																																							0
cm93	1			100					2	"r08s,qty=3"	"key,qty=1"						r09s																																																																																							0
cm94	1			100					2	"r09s,qty=3"	"key,qty=1"						r10s																																																																																							0
cm95	1			200					4	"helm,mag,noe"	jew	"r06g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	20	pr5			25	50																																																																					0
cm96	1			200					4	"helm,mag,eth"	jew	"r06g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	20	pr5			25	50	pr264	100		1	1																																																																0
cm97	1			100					4	"boot,mag,noe"	jew	"r08g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	10	pr2			25	60																																																																					0
cm98	1			100					4	"boot,mag,eth"	jew	"r08g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	10	pr2			25	60	pr264	100		1	1																																																																0
cm99	1			100					4	"glov,mag,noe"	jew	"r09g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr93			10	20	pr60			1	1																																																																					0
cm100	1			100					4	"glov,mag,eth"	jew	"r09g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr93			10	20	pr60			1	1	pr264	100		1	1																																																																0
cm101	1			100					4	"belt,mag,noe"	jew	"r07g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	10	pr30			5	10																																																																					0
cm102	1			100					4	"belt,mag,eth"	jew	"r07g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr79			10	10	pr30			5	10	pr264	100		1	1																																																																0
cm103	1			100					4	"shld,mag,noe"	jew	"r05g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr83			20	30	pr16			10	20																																																																					0
cm104	1			100					4	"shld,mag,eth"	jew	"r05g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr83			20	30	pr16			10	20	pr264	100		1	1																																																																0
cm105	1			100					4	"tors,mag,noe"	jew	"r04g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr5			25	50	pr79			20	40																																																																					0
cm106	1			100					4	"tors,mag,eth"	jew	"r04g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr5			25	50	pr79			20	40	pr264	100		1	1																																																																0
cm107	1			100					4	"amul,mag"	jew	"r10g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr15			150	250	pr79			10	10																																																																					0
cm108	1			100					4	"ring,mag"	jew	"r11g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr28			1	4	pr8			5	10																																																																					0
cm109	1			100					4	"weap,mag,noe"	jew	"r03g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr93			10	20	pr29			55	80																																																																					0
cm110	1			100					4	"weap,mag,eth"	jew	"r03g,qty=1"	"gg4s,qty=1"				"usetype,crf"		50	50	pr128		44	5	4	pr93			10	20	pr29			55	80	pr264	100		1	1																																																																0
cm111	1			200					4	"helm,mag,noe"	jew	"r08g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr113			10	20																																																																					0
cm112	1			200					4	"helm,mag,eth"	jew	"r08g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr113			10	20	pr264	100		1	1																																																																0
cm113	1			100					4	"boot,mag,noe"	jew	"r05g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr53			15	30																																																																					0
cm114	1			100					4	"boot,mag,eth"	jew	"r05g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr53			15	30	pr264	100		1	1																																																																0
cm115	1			100					4	"glov,mag,noe"	jew	"r04g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr108			5	10																																																																					0
cm116	1			100					4	"glov,mag,eth"	jew	"r04g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			2	4	pr13			10	20	pr108			5	10	pr264	100		1	1																																																																0
cm117	1			100					4	"belt,mag,noe"	jew	"r07g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr107			10	20																																																																					0
cm118	1			100					4	"belt,mag,eth"	jew	"r07g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr107			10	20	pr264	100		1	1																																																																0
cm119	1			100					4	"shld,mag,noe"	jew	"r06g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr16			10	20																																																																					0
cm120	1			100					4	"shld,mag,eth"	jew	"r06g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr16			10	20	pr264	100		1	1																																																																0
cm121	1			100					4	"tors,mag,noe"	jew	"r10g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			20	40	pr253			3	6																																																																					0
cm122	1			100					4	"tors,mag,eth"	jew	"r10g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			20	40	pr253			3	6	pr264	100		1	1																																																																0
cm123	1			100					4	"amul,mag"	jew	"r11g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr253			2	4	pr13			10	20	pr76			10	10																																																																					0
cm124	1			100					4	"ring,mag"	jew	"r12g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			1	3	pr13			10	20	pr7			5	10																																																																					0
cm125	1			100					4	"weap,mag,noe"	jew	"r09g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr29			55	80																																																																					0
cm126	1			100					4	"weap,mag,eth"	jew	"r09g,qty=1"	"gg4r,qty=1"				"usetype,crf"		50	50	pr66			3	6	pr13			10	20	pr29			55	80	pr264	100		1	1																																																																0
cm127	1			200					4	"helm,mag,noe"	jew	"r04g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr86			10	20	pr11			10	20	pr65			2	5																																																																					0
cm128	1			200					4	"helm,mag,eth"	jew	"r04g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr86			10	20	pr11			10	20	pr65			2	5	pr264	100		1	1																																																																0
cm129	1			100					4	"boot,mag,noe"	jew	"r10g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr12			5	10																																																																					0
cm130	1			100					4	"boot,mag,eth"	jew	"r10g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr12			5	10	pr264	100		1	1																																																																0
cm131	1			100					4	"glov,mag,noe"	jew	"r09g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr86			10	10	pr11			10	20	pr110			1	3																																																																					0
cm132	1			100					4	"glov,mag,eth"	jew	"r09g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr86			10	10	pr11			10	20	pr110			1	3	pr264	100		1	1																																																																0
cm133	1			100					4	"belt,mag,noe"	jew	"r06g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr85			10	10																																																																					0
cm134	1			100					4	"belt,mag,eth"	jew	"r06g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr85			10	10	pr264	100		1	1																																																																0
cm135	1			100					4	"shld,mag,noe"	jew	"r05g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr85			20	30	pr11			10	20	pr16			10	20																																																																					0
cm136	1			100					4	"shld,mag,eth"	jew	"r05g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr85			20	30	pr11			10	20	pr16			10	20	pr264	100		1	1																																																																0
cm137	1			100					4	"tors,mag,noe"	jew	"r07g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr85			20	30	pr11			10	20	pr110			2	6																																																																					0
cm138	1			100					4	"tors,mag,eth"	jew	"r07g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr85			20	30	pr11			10	20	pr110			2	6	pr264	100		1	1																																																																0
cm139	1			100					4	"amul,mag"	jew	"r08g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr62			4	10	pr11			10	20	pr85			5	10																																																																					0
cm140	1			100					4	"ring,mag"	jew	"r11g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr110			1	2	pr11			10	20	pr10			5	10																																																																					0
cm141	1			100					4	"weap,mag,noe"	jew	"r03g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr104			1	1	pr11			10	20	pr85			10	20																																																																					0
cm142	1			100					4	"weap,mag,eth"	jew	"r03g,qty=1"	"gg4a,qty=1"				"usetype,crf"		50	50	pr104			1	1	pr11			10	20	pr85			10	20	pr264	100		1	1																																																																0
cm143	1			200					4	"helm,mag,noe"	jew	"r06g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	10	pr33			10	20	pr5			20	60																																																																					0
cm144	1			200					4	"helm,mag,eth"	jew	"r06g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	10	pr33			10	20	pr5			20	60	pr264	100		1	1																																																																0
cm145	1			100					4	"boot,mag,noe"	jew	"r09g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr31			10	20	pr5			20	60																																																																0
cm146	1			100					4	"boot,mag,eth"	jew	"r09g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr31			10	20	pr5			20	60	pr264	100		1	1																																																											0
cm147	1			100					4	"glov,mag,noe"	jew	"r08g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr35			10	20	pr5			20	60																																																																0
cm148	1			100					4	"glov,mag,eth"	jew	"r08g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr35			10	20	pr5			20	60	pr264	100		1	1																																																											0
cm149	1			100					4	"belt,mag,noe"	jew	"r07g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr39			10	20	pr5			20	60																																																																0
cm150	1			100					4	"belt,mag,eth"	jew	"r07g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr39			10	20	pr5			20	60	pr264	100		1	1																																																											0
cm151	1			100					4	"shld,mag,noe"	jew	"r04g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	20	pr5			20	60																																																																										0
cm152	1			100					4	"shld,mag,eth"	jew	"r04g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	20	pr5			20	60	pr264	100		1	1																																																																					0
cm153	1			100					4	"tors,mag,noe"	jew	"r05g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	15	pr95			1	1	pr5			20	60																																																																					0
cm154	1			100					4	"tors,mag,eth"	jew	"r05g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr4			5	15	pr95			1	1	pr5			20	60	pr264	100		1	1																																																																0
cm155	1			100					4	"amul,mag"	jew	"r10g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr16			10	10																																																																					0
cm156	1			100					4	"ring,mag"	jew	"r11g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			1	4	pr6			2	5	pr9			5	10																																																																					0
cm157	1			100					4	"miss,mag,noe"	jew	"r12g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			2	5	pr6			2	5	pr29			70	140	pr56			10	20																																																																0
cm158	1			100					4	"miss,mag,noe"	jew	"r12g,qty=1"	"gg4e,qty=1"				"usetype,crf"		50	50	pr3			2	5	pr6			2	5	pr29			70	140	pr56			10	20	pr264	100		1	1																																																											0
cm159	1			100					4	"r10,qty=3"	"key,qty=1"						r11																																																																																							0
cm160	1			100					4	"r11,qty=3"	"key,qty=1"						r12																																																																																							0
cm161	1			100					4	"r12,qty=3"	"key,qty=1"						r13																																																																																							0
cm162	1			100					4	"r13,qty=3"	"key,qty=1"						r14																																																																																							0
cm163	1			100					4	"r14,qty=3"	"key,qty=1"						r15																																																																																							0
cm164	1			100					4	"r15,qty=3"	"key,qty=1"						r16																																																																																							0
cm165	1			100					4	"r16,qty=3"	"key,qty=1"						r17																																																																																							0
cm166	1			100					4	"r17,qty=3"	"key,qty=1"						r18																																																																																							0
cm167	1			100					4	"r18,qty=3"	"key,qty=1"						r19																																																																																							0
cm168	1			100					4	"r19,qty=3"	"key,qty=1"						r20																																																																																							0
cm169	1			100					4	"r20,qty=3"	"key,qty=1"						r21																																																																																							0
cm170	1			100					3	"r21,qty=2"	"key,qty=1"						r22																																																																																							0
cm171	1			100					3	"r22,qty=2"	"key,qty=1"						r23																																																																																							0
cm172	1			100					3	"r23,qty=2"	"key,qty=1"						r24																																																																																							0
cm173	1			100					3	"r24,qty=2"	"key,qty=1"						r25																																																																																							0
cm174	1			100					3	"r25,qty=2"	"key,qty=1"						r26																																																																																							0
cm175	1			100					3	"r26,qty=2"	"key,qty=1"						r27																																																																																							0
cm176	1			100					3	"r27,qty=2"	"key,qty=1"						r28																																																																																							0
cm177	1			100					3	"r28,qty=2"	"key,qty=1"						r29																																																																																							0
cm178	1			100					3	"r29,qty=2"	"key,qty=1"						r30																																																																																							0
cm179	1			100					3	"r30,qty=2"	"key,qty=1"						r31																																																																																							0
cm180	1			100					3	"r31,qty=2"	"key,qty=1"						r32																																																																																							0
cm181	1			100					3	"r32,qty=2"	"key,qty=1"						r33																																																																																							0
cm182	1			100					2	"r10s,qty=3"	"key,qty=1"						r11s																																																																																							0
cm183	1			100					2	"r11s,qty=3"	"key,qty=1"						r12s																																																																																							0
cm184	1			100					2	"r12s,qty=3"	"key,qty=1"						r13s																																																																																							0
cm185	1			100					2	"r13s,qty=3"	"key,qty=1"						r14s																																																																																							0
cm186	1			100					2	"r14s,qty=3"	"key,qty=1"						r15s																																																																																							0
cm187	1			100					2	"r15s,qty=3"	"key,qty=1"						r16s																																																																																							0
cm188	1			100					2	"r16s,qty=3"	"key,qty=1"						r17s																																																																																							0
cm189	1			100					2	"r17s,qty=3"	"key,qty=1"						r18s																																																																																							0
cm190	1			100					2	"r18s,qty=3"	"key,qty=1"						r19s																																																																																							0
cm191	1			100					2	"r19s,qty=3"	"key,qty=1"						r20s																																																																																							0
cm192	1			100					2	"r20s,qty=3"	"key,qty=1"						r21s																																																																																							0
cm193	1			100					2	"r21s,qty=2"	"key,qty=1"						r22s																																																																																							0
cm194	1			100					2	"r22s,qty=2"	"key,qty=1"						r23s																																																																																							0
cm195	1			100					2	"r23s,qty=2"	"key,qty=1"						r24s																																																																																							0
cm196	1			100					2	"r24s,qty=2"	"key,qty=1"						r25s																																																																																							0
cm197	1			100					2	"r25s,qty=2"	"key,qty=1"						r26s																																																																																							0
cm198	1			100					2	"r26s,qty=2"	"key,qty=1"						r27s																																																																																							0
cm199	1			100					2	"r27s,qty=2"	"key,qty=1"						r28s																																																																																							0
cm200	1			100					2	"r28s,qty=2"	"key,qty=1"						r29s																																																																																							0
cm201	1			100					2	"r29s,qty=2"	"key,qty=1"						r30s																																																																																							0
cm202	1			100					2	"r30s,qty=2"	"key,qty=1"						r31s																																																																																							0
cm203	1			100					2	"r31s,qty=2"	"key,qty=1"						r32s																																																																																							0
cm204	1			100					2	"r32s,qty=2"	"key,qty=1"						r33s																																																																																							0
cm205	1			100					4	"tors,nor,nos"	"r07g,qty=1"	"r10g,qty=1"	"gg4t,qty=1"				useitem				pr133			1	6																																																																															0
cm206	1			100					4	"weap,nor,nos"	"r08g,qty=1"	"r11g,qty=1"	"gg4a,qty=1"				useitem				pr133			1	6																																																																															0
cm207	1			100					4	"helm,nor,nos"	"r08g,qty=1"	"r10g,qty=1"	"gg4s,qty=1"				useitem				pr133			1	6																																																																															0
cm208	1			100					4	"shld,nor,nos"	"r07g,qty=1"	"r11g,qty=1"	"gg4r,qty=1"				useitem				pr133			1	6																																																																															0
cm209	1			100					3	"weap,low"	"r02g,qty=1"	"gem0,qty=1"					"usetype,nor"																																																																																							0
cm210	1			100					3	"armo,low"	"r01g,qty=1"	"gem0,qty=1"					"usetype,nor"																																																																																							0
cm211	1			100					4	"weap,bas,uni"	"r08g,qty=1"	"r12g,qty=1"	"gg4e,qty=1"				"useitem,mod,exc"																																																																																							0
cm212	1			100					4	"armo,bas,uni"	"r07g,qty=1"	"r13g,qty=1"	"gg4d,qty=1"				"useitem,mod,exc"																																																																																							0
cm213	1			100					4	"weap,exc,uni"	"r17g,qty=1"	"r21g,qty=1"	"gg4e,qty=1"				"useitem,mod,eli"																																																																																							0
