Sound	Index	FileName	Volume	Group Size	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Reverb	Falloff	Cache	Async Only	Priority	Stream	Stereo	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3
so14	14	cursor\questdone.wav	255	0	0	0	0	0	0	0	12	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so15	15	cursor\repair.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so16	16	cursor\hostile.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so17	17	cursor\intro\amazon select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so18	18	cursor\intro\amazon deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so19	19	cursor\intro\barbarian select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so20	20	cursor\intro\barbarian deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so21	21	cursor\intro\necromancer select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so22	22	cursor\intro\necromancer deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so23	23	cursor\intro\paladin select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so24	24	cursor\intro\paladin deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so25	25	cursor\intro\sorceress select.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so26	26	cursor\intro\sorceress deselect.wav	255	0	0	0	0	0	1	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so27	27	quest\anyasteam.wav	255	0	0	0	0	0	0	0	0	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so28	28	quest\anyaicevent.wav	255	0	1	8	16	0	0	0	-1	0	1	0	0	255	0	0	0	0	0	-1	-1	-1
so29	29	quest\ball1.wav	255	0	1	8	12	0	0	0	24	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so30	30	quest\ancientstatue.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so31	31	quest\pieceflash1.wav	80	2	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so32	32	quest\pieceflash2.wav	80	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so33	33	none.wav	0	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so34	34	object\hellforgeplace.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so35	35	object\hellforgesmash.wav	255	0	0	0	0	0	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so36	36	quest\soulrise1.wav	224	3	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so37	37	quest\soulrise2.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so38	38	quest\soulrise3.wav	224	0	0	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so39	39	quest\staffloop.wav	255	0	1	3	6	1	0	0	0	0	1	0	0	100	0	0	1	0	0	25280	-1	-1
so40	40	quest\spotlight.wav	255	0	0	0	0	1	0	0	0	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
so41	41	quest\nihlathakdeath.wav	255	0	0	0	0	0	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
so42	42	skill\paladin\holybolt1.wav	224	3	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	26537	-1	-1
so43	43	skill\paladin\holybolt2.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	27948	-1	-1
so44	44	skill\paladin\holybolt3.wav	224	0	1	0	6	0	0	0	12	1	1	0	0	50	0	0	1	0	0	25046	-1	-1
so45	45	monster\scimitar\loop.wav	255	0	1	6	6	1	0	0	-1	0	1	0	0	100	0	0	1	0	0	-1	-1	-1
so46	46	quest\flash1.wav	255	3	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so47	47	quest\flash2.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so48	48	quest\flash3.wav	255	0	0	0	0	1	0	0	0	1	1	0	0	100	0	0	1	0	0	-1	-1	-1
so49	49	quest\ball1.wav	255	3	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so50	50	quest\ball2.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so51	51	quest\ball3.wav	255	0	1	4	12	0	0	0	24	1	1	0	0	50	0	0	1	0	0	-1	-1	-1
so52	52	ambient\scene\catacombs.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so53	53	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so54	54	ambient\scene\cave.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so55	55	ambient\scene\crypt.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so56	56	ambient\scene\desertday.wav	150	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so57	57	ambient\scene\desertnight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so58	58	ambient\scene\harem.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so59	59	ambient\scene\jungleday.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so60	60	ambient\scene\junglenight.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so61	61	ambient\scene\lava.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so62	62	ambient\scene\hell1.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so63	63	ambient\scene\creepywind.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so64	64	ambient\scene\rain2.wav	200	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so65	65	ambient\scene\sewer.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so66	66	ambient\scene\cathedral.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so67	67	ambient\scene\tomb.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so68	68	ambient\scene\town3day.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so69	69	ambient\scene\town3night.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so70	70	ambient\scene\wilderness day 2.wav	255	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so71	71	ambient\scene\wilderness night.wav	220	0	1	12	12	0	0	0	0	0	1	0	0	100	0	0	0	0	0	-1	-1	-1
so72	72	ambient\event\wind6.wav	255	4	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so73	73	ambient\event\wind7.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so74	74	ambient\event\wind8.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so75	75	ambient\event\wind9.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so76	76	none.wav	0	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so77	77	ambient\event\wind1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so78	78	ambient\event\wind2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so79	79	ambient\event\wind3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so80	80	ambient\event\wind4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so81	81	ambient\event\wind5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so82	82	ambient\event\scream1.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so83	83	ambient\event\scream2.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so84	84	ambient\event\scream3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so85	85	ambient\event\scream4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so86	86	ambient\event\scream5.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so87	87	ambient\event\drip1.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so88	88	ambient\event\drip2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so89	89	ambient\event\drip3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so90	90	ambient\event\drip4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so91	91	ambient\event\drip5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so92	92	ambient\event\drip6.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so93	93	ambient\event\drip7.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so94	94	ambient\event\drip8.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so95	95	ambient\event\thump6.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so96	96	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so97	97	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so98	98	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so99	99	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so100	100	ambient\event\desertinsect6.wav	32	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so101	101	ambient\event\desertinsect5.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so102	102	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so103	103	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so104	104	ambient\event\desertinsect2.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so105	105	ambient\event\desertbirdie1.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so106	106	ambient\event\desertinsect1.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so107	107	ambient\event\desertinsect4.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so108	108	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so109	109	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so110	110	ambient\event\thump6.wav	180	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so111	111	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so112	112	ambient\event\thump3.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so113	113	ambient\event\thump4.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so114	114	ambient\event\thump5.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so115	115	ambient\event\thump1.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so116	116	ambient\event\scream7.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so117	117	ambient\event\scream4.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so118	118	ambient\event\junglebirdie9.wav	180	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so119	119	ambient\event\jungleevent2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so120	120	ambient\event\junglebirdie10.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so121	121	ambient\event\jungleevent4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so122	122	ambient\event\junglebirdie3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so123	123	ambient\event\junglebeastie1.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so124	124	ambient\event\junglebeastie2.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so125	125	ambient\event\junglebeastie3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so126	126	ambient\event\junglebeastie4.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so127	127	ambient\event\junglebirdie1.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so128	128	ambient\event\desertinsect3.wav	120	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so129	129	ambient\event\desertinsect4.wav	80	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so130	130	ambient\event\junglebirdie2.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so131	131	ambient\event\jungleevent1.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so132	132	ambient\event\jungleevent3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so133	133	ambient\event\junglebirdie4.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so134	134	ambient\event\singlecricket.wav	60	5	1	2	6	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so135	135	ambient\event\junglebirdie12.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so136	136	ambient\event\junglebirdie15.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so137	137	ambient\event\junglebirdie16.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so138	138	ambient\event\moan1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so139	139	ambient\event\moan2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so140	140	ambient\event\moan3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so141	141	ambient\event\moan4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so142	142	ambient\event\moan5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so143	143	ambient\event\scream1.wav	255	8	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so144	144	ambient\event\scream2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so145	145	ambient\event\scream3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so146	146	ambient\event\scream4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so147	147	ambient\event\lava1.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so148	148	ambient\event\lava2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so149	149	ambient\event\lava3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so150	150	ambient\event\lava4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so151	151	ambient\event\cavedrip8.wav	255	6	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so152	152	ambient\event\cavedrip7.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so153	153	ambient\event\cavedrip3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so154	154	ambient\event\cavedrip4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so155	155	ambient\event\cavedrip5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so156	156	ambient\event\cavedrip6.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so157	157	ambient\event\raven1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so158	158	ambient\event\raven2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so159	159	ambient\event\raven3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so160	160	ambient\event\raven4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so161	161	ambient\event\raven5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so162	162	ambient\event\breath1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so163	163	ambient\event\breath2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so164	164	ambient\event\breath3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so165	165	ambient\event\breath4.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so166	166	ambient\event\breath5.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so167	167	ambient\event\moan1.wav	255	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so168	168	ambient\event\moan2.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so169	169	ambient\event\moan3.wav	255	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so170	170	ambient\event\thump6.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so171	171	ambient\event\thump2.wav	180	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so172	172	ambient\event\desertinsectloop1.wav	90	5	1	2	6	0	0	50	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so173	173	ambient\event\town2birdie2.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so174	174	ambient\event\town2birdie3.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so175	175	ambient\event\town2birdie4.wav	200	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so176	176	ambient\event\desertinsectloop2.wav	200	0	0	2	6	0	0	100	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so177	177	ambient\event\singlecricket.wav	60	5	1	2	6	0	0	125	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so178	178	ambient\event\birdienight5.wav	15	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so179	179	ambient\event\birdie_night_14.wav	30	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so180	180	ambient\event\desertinsect3.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so181	181	ambient\event\desertinsect7.wav	120	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so182	182	ambient\event\frog1.wav	160	4	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so183	183	ambient\event\frog2.wav	160	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so184	184	ambient\event\frog3.wav	160	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so185	185	ambient\event\frog4.wav	160	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so186	186	none.wav	0	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so187	187	ambient\event\frog1.wav	180	5	1	12	25	0	0	50	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so188	188	ambient\event\frog2.wav	180	0	1	12	25	0	0	50	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so189	189	ambient\event\frog3.wav	180	0	1	12	25	0	0	100	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so190	190	ambient\event\frog4.wav	180	0	1	12	25	0	0	75	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so191	191	ambient\event\frog5.wav	50	0	1	12	25	0	0	50	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so192	192	ambient\event\birdie05.wav	32	5	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so193	193	ambient\event\birdie06.wav	16	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so194	194	ambient\event\birdie08.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so195	195	ambient\event\birdie11.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so196	196	ambient\event\birdie12.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so197	197	ambient\event\singlecricket.wav	60	5	1	12	12	0	0	150	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so198	198	ambient\event\birdienight1.wav	24	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so199	199	ambient\event\birdienight2.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so200	200	ambient\event\birdienight4.wav	32	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so201	201	ambient\event\birdienight5.wav	16	0	0	0	0	0	0	0	0	1	2	0	1	20	0	0	1	0	0	-1	-1	-1
so202	202	ambient\event\thunder_norm_1.wav	180	3	0	0	0	0	0	0	0	1	3	0	1	100	0	0	0	0	0	-1	-1	-1
so203	203	ambient\event\thunder_norm_2.wav	180	0	0	0	0	0	0	0	0	1	3	0	1	100	0	0	0	0	0	-1	-1	-1
so204	204	ambient\event\thunder_norm_5.wav	180	0	0	0	0	0	0	0	0	1	3	0	1	100	0	0	0	0	0	-1	-1	-1
so205	205	item\amulet.wav	220	0	0	0	0	0	1	0	0	1	1	0	0	100	0	0	0	0	0	-1	-1	-1
so206	206	item\belt.wav	220	0	0	0	0	0	1	0	0	1	1	0	0	100	0	0	0	0	0	-1	-1	-1
so207	207	item\book.wav	220	0	0	0	0	0	1	0	0	1	1	0	0	100	0	0	0	0	0	-1	-1	-1
so208	208	item\boots.wav	220	0	0	0	0	0	1	0	0	1	1	0	0	100	0	0	0	0	0	-1	-1	-1
