Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	sk10	14	70	4	3	10	sk104	1	10		3	7																									2	2	2	
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	sk10	14	104	4	14	10	sk104	1	10		11	7																									2	2	2	
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	sk10	14	136	4	24		sk104	1	10		18																										2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	sk10	14	70	4	3	10	sk108	1	10		3	7																									2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	sk10	14	104	4	14	10	sk108	1	10		11	7																									2	2	2	
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	sk10	14	136	4	24		sk108	1	10		18																										2	2	2	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	sk10	14	120	4	13	10	sk103	1	10		5	10																									2	2	2	
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	sk10	14	152	4	23	10	sk103	1	10		15																										2	2	2	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	sk10	14	120	4	13	10	sk104	1	10		6	10																									2	2	2	
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	sk10	14	152	4	23		sk104	1	10		16																										2	2	2	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	sk10	14	120	4	13	10	sk108	1	10		7	8																									2	2	2	
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	sk10	14	152	4	23		sk108	1	10		15	8																									2	2	2	
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	sk10	14	104	4	22	10	sk103	1	10		16																										2	2	2	
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	sk10	14	104	4	22		sk104	1	10		16																										2	2	2	
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	sk10	14	104	4	22		sk108	1	10		16																										2	2	2	
Eastern Sorceror	Fire-Normal		15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	fire	10	sk41	7	60		6	10	sk47	7	30		4	10																									2	2	2	1
Eastern Sorceror	Fire-Normal		15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	fire	10	sk41	7	60		13	10	sk47	7	30		11	10																									2	2	2	1
Eastern Sorceror	Fire-Normal		15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	10	86	8	715	30	5	24	30	4	106	6	swor	shie	fire	10	sk41	7	60		21	10	sk47	7	30		19	10																									2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	cold	10	sk55	7	60		1	5	sk60	7	50		2	10	sk45	7	240		6	10																			2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	cold	10	sk55	7	60		5	5	sk60	7	50		9	10	sk45	7	240		13	10																			2	2	2	1
Eastern Sorceror	Cold-Normal		16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	cold	10	sk55	7	60		9	5	sk60	7	50		17	10	sk45	7	240		21	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	ltng	10	sk38	7	30		4	5	sk49	7	30		3	10	sk42	7	100		3	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	ltng	10	sk38	7	30		8	5	sk49	7	30		10	10	sk42	7	100		10	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal		17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	ltng	10	sk38	7	30		12	5	sk49	7	30		18	10	sk42	7	100		18	10																			2	2	2	1
Eastern Sorceror	Fire-Nightmare		18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	fire	10	sk41	7	60		12	10	sk47	7	30		10	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare		18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	fire	10	sk41	7	60		20	10	sk47	7	30		18	10																									2	2	2	1
Eastern Sorceror	Cold-Nightmare		19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	cold	10	sk55	7	60		4	5	sk60	7	50		8	10	sk45	7	240		12	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare		19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	cold	10	sk55	7	60		8	5	sk60	7	50		16	10	sk45	7	240		20	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare		20	359	3	2	37	252	merca222	merca241	10000	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	ltng	10	sk38	7	30		7	5	sk49	7	30		9	10	sk42	7	100		9	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare		20	359	3	2	61	252	merca222	merca241	10000	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	ltng	10	sk38	7	30		11	5	sk49	7	30		17	10	sk42	7	100		17	10																			2	2	2	1
Eastern Sorceror	Fire-Hell		21	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	fire	10	sk41	7	60		19	10	sk47	7	30		17	10																									2	2	2	1
Eastern Sorceror	Cold-Hell		22	359	3	3	61	252	merca222	merca241	27000	140	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	cold	10	sk55	7	60		7	5	sk60	7	50		15	10	sk45	7	240		19	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell		23	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	27	4	100	4	swor	shie	ltng	10	sk38	7	30		10	5	sk49	7	30		16	10	sk42	7	100		16	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		5	10	sk109	1	100		3	7	sk456	1			1	32													2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		11	10	sk109	1	100		11	7	sk456	1			8	32													2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		16	5	sk109	1	100		18		sk456	1			16	32													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1500	120	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		5	10	sk99	1	100		3	7	sk457	1			1	32													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	1500	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		14	10	sk99	1	100		11	7	sk457	1			8	32													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	1500	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		22	5	sk99	1	100		18		sk457	1			16	32													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng		sk459	7	30		23	5	sk460	7	90		6	10	sk118	1	100		6	7	sk458	1			1	32													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng		sk459	7	30		23	5	sk460	7	90		16	10	sk118	1	100		15	7	sk458	1			8	32													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng		sk459	7	30		23	5	sk460	7	90		24	5	sk118	1	100		20		sk458	1			16	32													2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	9500	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		11	10	sk109	1	100		5	10	sk456	1			8	32													2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	9500	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		16	5	sk109	1	100		15		sk456	1			16	32													2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	12000	130	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		14	10	sk99	1	100		5	7	sk457	1			8	32													2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	12000	130	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		22	5	sk99	1	100		15		sk457	1			16	32													2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng		sk459	7	30		13	10	sk460	7	90		16	10	sk118	1	100		15	7	sk458	1			8	32													2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng		sk459	7	30		23	5	sk460	7	90		24	5	sk118	1	100		20		sk458	1			16	32													2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	fire		sk461	7	40		14	5	sk462	7	90		16	5	sk109	1	100		18		sk456	1			16	32													2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	79	252	merca222	merca241	27000	140	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	cold		sk463	7	30		17	5	sk464	7	90		22	5	sk99	1	100		18		sk457	1			16	32													2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	36	4	132	4	swor	shie	ltng		sk459	7	30		23	5	sk460	7	90		24	5	sk118	1	100		20		sk458	1			16	32													2	2	2	1
Barbarian	1hs-Normal		24	561	5	1	28	515	MercX101	MercX167	9000	120	288	14	180	7	101	15	63	10	150	17	1	16	20	6	56	7	swor		mght	50	sk126	5	15		4	10	sk144	5	15		3	8																												
Barbarian	1hs-Normal		24	561	5	1	42	515	MercX101	MercX167	9000	120	484	21	278	20	128	15	81	10	388	27	1	27	31	8	81	7	swor		mght	50	sk126	5	50		9	10	sk144	5	50		7	8																												
Barbarian	1hs-Normal		24	561	5	1	75	515	MercX101	MercX167	9000	120	1177	35	938	40	190	15	123	10	1279	37	1	60	64	8	139	4	swor		mght	50	sk126	5	75		20		sk144	5	75		16																													
Barbarian	1hs-Normal		25	561	5	1	28	515	MercX101	MercX167	9000	120	288	14	180	7	101	15	63	10	150	17	1	16	20	6	56	7	swor		mght	50	sk126	5	15		4	10	sk144	5	15		3	8																												
Barbarian	1hs-Normal		25	561	5	1	42	515	MercX101	MercX167	9000	120	484	21	278	20	128	15	81	10	388	27	1	27	31	8	81	7	swor		mght	50	sk126	5	50		9	10	sk144	5	50		7	8																												
Barbarian	1hs-Normal		25	561	5	1	75	515	MercX101	MercX167	9000	120	1177	35	938	40	190	15	123	10	1279	37	1	60	64	8	139	4	swor		mght	50	sk126	5	75		20		sk144	5	75		16																													
Barbarian	1hs-Nightmare		26	561	5	2	42	515	MercX101	MercX167	18000	130	436	21	250	20	125	15	76	10	349	27	4	25	29	8	78	7	swor		mght	50	sk126	5	50		8	10	sk144	5	50		6	8																												
Barbarian	1hs-Nightmare		26	561	5	2	75	515	MercX101	MercX167	18000	130	1129	35	910	40	187	15	118	10	1240	37	4	58	62	8	136	4	swor		mght	50	sk126	5	75		19		sk144	5	75		15																													
Barbarian	1hs-Nightmare		27	561	5	2	42	515	MercX101	MercX167	18000	130	436	21	250	20	125	15	76	10	349	27	4	25	29	8	78	7	swor		mght	50	sk126	5	50		8	10	sk144	5	50		6	8																												
Barbarian	1hs-Nightmare		27	561	5	2	75	515	MercX101	MercX167	18000	130	1129	35	910	40	187	15	118	10	1240	37	4	58	62	8	136	4	swor		mght	50	sk126	5	75		19		sk144	5	75		15																													
Barbarian	1hs-Hell		28	561	5	3	75	515	MercX101	MercX167	32000	140	1016	35	819	40	184	15	113	10	1116	37	6	56	60	8	133	4	swor		mght	50	sk126	5	70		18		sk144	5	70		14																													
