state	id	group	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
st68	68			1																																																											so0	so0							0
st69	69																																																														so0	so0							0
st70	70																																																														so0	so0							0
st71	71																																																														so0	so0							0
st72	72																																																														so0	so0							0
st73	73																																																														so0	so0							0
st74	74																																																														so0	so0							0
st75	75																																																														so0	so0							0
st76	76																																																														so0	so0							0
st77	77																																																														so0	so0							0
st78	78																																																														so0	so0							0
st79	79																																																														so0	so0							0
st80	80																																																														so0	so0							0
st81	81																																																														so0	so0							0
st82	82																																																		is67												so0	so0							0
st83	83																																																														so0	so0							0
st84	84																																											ol127																			so0	so0							0
st85	85			1																																																											so0	so0							0
st86	86	1		1																																																											so0	so0							0
st87	87																																											ol48							is161												so0	so0							0
st88	88	1							1							1																												ol39							is171												so0	so0					87		0
st89	89														1	1																												ol149							is171												so2486	so0							0
st90	90												1																																													100	108	150	215	255	so0	so0							0
st91	91																																																									70	100	255	255	255	so0	so0							0
st92	92																																																														so0	so0							0
st93	93				1							1																																ol166					ol165														so0	so0	2						0
st94	94																																												ol163						is169												so0	so0							0
st95	95															1																												ol161	ol162																		so0	so0							0
st96	96																														1	1			1																	15						85	73	255	255	255	so0	so0							0
st97	97			1																																																											so0	so0							0
st98	98																														1	1																				4	2										so0	so0							0
st99	99																														1	1	1		1																	10			sk124								so2388	so0							0
st100	100																																																														so0	so0							0
st101	101				1																																														is171				sk117								so0	so0							0
st102	102																																																														so0	so0							0
st103	103																																												ol183						is169												so0	so0							0
st104	104																														1	1	1		1																												so0	so0							0
st105	105																													1	1	1																															so0	so0							0
st106	106																																																														so0	so0							0
st107	107																														1	1	1	1	1																												so0	so0							0
st108	108																													1																																	so0	so0							0
st109	109																																																														so0	so0							0
st110	110																																											ol256									10										so0	so0							0
st111	111			1																																																											so0	so0							0
st112	112																																											ol219																			so0	so0							0
st113	113						1	1																1																				ol222							is171												so0	so0							0
st114	114						1	1																																				ol223																			so0	so0							0
st115	115																																											ol224																			so0	so0							0
st116	116																																																														so0	so0							0
st117	117	3													1																								1					ol260	ol264	ol277	ol281				is25	16	11										so0	so0							0
st118	118																													1	1	1			1																												so0	so0							0
st119	119				1							1																					1		1																												so0	so0	2	6					0
st120	120	3																																					1					ol265	ol269	ol282	ol286				is68	16	11										so0	so0							0
st121	121																																																			19	12										so0	so0							0
st122	122																																					1										ol230			is318	1	1										so0	so0							0
st123	123																																					1										ol233			is319	1	1										so0	so0							0
st124	124																																					1										ol236			is320	1	1										so0	so0							0
st125	125																																					1										ol239			is321	1	1										so0	so0							0
st126	126																																					1										ol244			is322	1	1										so0	so0							0
st127	127																																					1										ol249			is323	1	1										so0	so0							0
st128	128															1																												ol59	ol57						is31												so0	so0							0
st129	129													1	1																													ol60	ol57						is19												so0	so0							0
st130	130																	1																										ol61	ol58						is41												so0	so0							0
st131	131																1																											ol62	ol57						is39												so0	so0							0
st132	132																		1																									ol63	ol58						is43												so0	so0							0
st133	133																				1																							ol64	ol58						is45												so0	so0							0
st134	134																																											ol65	ol57							9	6										so0	so0							0
st135	135																																											ol66	ol58																		so0	so0							0
st136	136																			1																								ol67	ol58						is10												so0	so0							0
st137	137																																											ol68	ol57																		so0	so0							0
st138	138																																											ol273	ol273																		so0	so0							0
st139	139	3			1						1	1		1																												1										14											so2346	so2346	1	430					0
st140	140	3			1						1	1			1	1																										1										14											so2346	so2346	1	431					0
st141	141														1																													ol203	ol203																		so2370	so0							0
st142	142																																																			5											so0	so0							0
st143	143								1																						1	1			1																	13	9										so0	so0					88	147	0
st144	144								1																																											7	4										so0	so0					90	145	0
st145	145																																																														so0	so0						146	0
st146	146																																																			12	8										so0	so0							0
st147	147					1																																							ol254																		so0	so0							0
st148	148					1								1	1																														ol255						is119												so0	so0							0
st149	149					1																																							ol205																		so0	so0							0
st150	150								1																																											11											so0	so0					89		0
st151	151																																						1	1				ol207	ol209	ol211						8	5										so0	so0							0
st152	152																																																														so0	so0							0
st153	153		1													1																																				2											so2300	so0							0
st154	154																														1	1	1		1																												so0	so0							0
st155	155																																																														so0	so0							0
st156	156																							1																				ol213							is171												so0	so0							0
st157	157	2				1																																						ol257							is68												so0	so0							0
st158	158																																											ol218																			so0	so0							0
st159	159	2															1	1	1		1																							ol272							is45												so0	so0							0
st160	160			1																																																											so0	so0							0
st161	161					1																																																									so0	so0							0
st162	162					1																																																									so0	so0							0
st163	163					1																																																									so0	so0							0
st164	164																																																														so0	so0							0
st165	165																																																														so0	so0							0
st166	166																																																														so0	so0							0
st167	167																																																														so0	so0							0
st168	168																																																														so0	so0							0
st169	169																																																														so0	so0							0
st170	170			1																																																											so0	so0							0
st171	171			1																																																											so0	so0							0
st172	172																														1	1			1								1									17		ml173									so2388	so0							0
st173	173																														1	1	1		1								1									18		ml115									so2458	so0							0
st174	174																																											ol167																			so0	so0							0
st175	175																																											ol25																			so0	so0							0
st176	176	3			1							1																																					ol30														so0	so0	1	135					0
st177	177	3			1						1	1																																					ol45	ol45													so0	so0	1	212					0
st178	178																				1																																										so0	so0							0
st179	179																		1																																												so0	so0							0
st180	180																			1																																											so0	so0							0
st181	181																																																														so0	so0							0
st182	182																																																														so0	so0							0
st183	183																																																														so0	so0							0
st184	184																														1		1	1	1																												so365	so0							0
st185	185																																																														so0	so0							0
st186	186																																											ol293																			so0	so0							0
st187	187																																											ol295																			so0	so0							0
st188	188														1																																		ol38		is367					weap	cblu						so0	so0							0
st189	189														1																								1												is25	16	11										so0	so0							0
st190	190																																																														so0	so0							0
st191	191																																																														so0	so0							0
st192	192																																																														so0	so0							0
st193	193																																																														so0	so0							0
st194	194																																											ol297																			so0	so0							0
st195	195																																																														so0	so0							0
st196	196							1																																									ol298														so2457	so0							0
st197	197																																												ol163																		so0	so0							0
st198	198																																																														so0	so0							0
st199	199																																																														so0	so0							0
st200	200																																											ol203																			so0	so0							0
st201	201																																																														so0	so0							0
st202	202					1				1							1	1	1																																is41												so0	so0							0
st203	203					1				1							1	1	1																																is41												so0	so0							0
st204	204	3			1							1																																																			so0	so0	1	391					0
st205	205																																																														so0	so0							0
