Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
su53	Snapchip Shatter	ms501	53	mo0	7	18		4	4	1				23	23	23	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
su54	Anodized Elite	ms472	54	mo0	9	7		6	6	1				38	38	38	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
su55	Vinvear Molech	ms475	55	mo0	8	5	18			1				23	23	23	Act 5 Super A	Act 5 (N) Super A	Act 5 (H) Super A	0
su56	Sharp Tooth Sayer	ms481	56	mo0	6			3	3	1			1	24	24	24	Act 5 Super B	Act 5 (N) Super B	Act 5 (H) Super B	0
su57	Magma Torquer	ms496	57	mo0	5	7		5	5	1				9	9	9	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
su58	Blaze Ripper	ms533	58	mo0	17	6		4	4	1				10	10	10	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
su59	Frozenstein	ms449	59	mo0	18	25		5	6	1				19	19	19	Act 5 Super C	Act 5 (N) Super C	Act 5 (H) Super C	0
su60	Nihlathak	ms526	60	mo0						1		1		28	28	28	Nihlathak	Nihlathak (N)	Nihlathak (H)	0
su61	Baal Subject 1	ms62	61	mo0	9			5	5			1		29	29	29	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
su62	Baal Subject 2	ms105	62	mo0	23			3	3			1		21	21	21	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
su63	Baal Subject 3	ms557	63	mo0	17			5	5	1		1		36	36	36	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
su64	Baal Subject 4	ms558	64	mo0	6			8	8	1		1		20	20	20	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
su65	Baal Subject 5	ms571	65	mo0	27			5	5	1		1		20	20	20	Act 5 Champ C	Act 5 (N) Champ C	Act 5 (H) Champ C	0
su66	Wisp Boss	ms743	66	mo0	15	28	8	4	4	1		1		28	28	28	Nihlathak	Nihlathak (N)	Nihlathak (H)	0
