Name	description - not loaded	Id	Token	SpawnMax	Selectable0	Selectable1	Selectable2	Selectable3	Selectable4	Selectable5	Selectable6	Selectable7	TrapProb	SizeX	SizeY	nTgtFX	nTgtFY	nTgtBX	nTgtBY	FrameCnt0	FrameCnt1	FrameCnt2	FrameCnt3	FrameCnt4	FrameCnt5	FrameCnt6	FrameCnt7	FrameDelta0	FrameDelta1	FrameDelta2	FrameDelta3	FrameDelta4	FrameDelta5	FrameDelta6	FrameDelta7	CycleAnim0	CycleAnim1	CycleAnim2	CycleAnim3	CycleAnim4	CycleAnim5	CycleAnim6	CycleAnim7	Lit0	Lit1	Lit2	Lit3	Lit4	Lit5	Lit6	Lit7	BlocksLight0	BlocksLight1	BlocksLight2	BlocksLight3	BlocksLight4	BlocksLight5	BlocksLight6	BlocksLight7	HasCollision0	HasCollision1	HasCollision2	HasCollision3	HasCollision4	HasCollision5	HasCollision6	HasCollision7	IsAttackable0	Start0	Start1	Start2	Start3	Start4	Start5	Start6	Start7	EnvEffect	IsDoor	BlocksVis	Orientation	Trans	OrderFlag0	OrderFlag1	OrderFlag2	OrderFlag3	OrderFlag4	OrderFlag5	OrderFlag6	OrderFlag7	PreOperate	Mode0	Mode1	Mode2	Mode3	Mode4	Mode5	Mode6	Mode7	Yoffset	Xoffset	Draw	Red	Green	Blue	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SubClass	Xspace	Yspace	NameOffset	MonsterOK	OperateRange	ShrineFunction	Restore	Parm0	Parm1	Parm2	Parm3	Parm4	Parm5	Parm6	Parm7	Act	Lockable	Gore	Sync	Flicker	Damage	Beta	Overlay	CollisionSubst	Left	Top	Width	Height	OperateFn	PopulateFn	InitFn	ClientFn	RestoreVirgins	BlockMissile	DrawUnder	OpenWarp	AutoMap
Dummy	Bench	10	BE											7	1					1								256																																1	1	1	1	1	1	1	1													3											1										1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Barrel	BarrelExploding	11	BX	1	1			1	1	1	1	1		1	1					1	9	1						210	160		256	256	256	256	256										11							1	1		1	1	1	1	1	1								1			9									3										1	1	1	1								1	255	255	255		1							1	1							3		2	2	-70	1	2		1									1			1	0	100	1							7				1		1		
Dummy	RogueFountain	12	FN											3	3					9								128	256	256	256	256	256	256	256	1																																												3											1										1	255	255	255		1															1				-70		2		1									1				0	100	1															
Door	Door Gate Left	13	D1		1		1		1	1	1	1		1	3					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1					1						1						1		2		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		4	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8		5						
Door	Door Gate Right	14	D2		1		1		1	1	1	1		3	1					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1					1						1						1		1		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		4	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8								
Door	Door Wooden Left	15	D3		1		1		1	1	1	1		1	3					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1					1						1						1	1	2		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		4		1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Door	Door Wooden Right	16	D4		1		1		1	1	1	1		3	1					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1					1						1						1	1	1		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		3	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
StoneAlpha	StoneAlpha	17	S1		1		1		1	1	1	1		3	3					1	3	1						256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3									3											1	1	1								1	255	255	255		1															1				-150		2		1									1			1	0	100	1							9		6						314
StoneBeta	StoneBeta	18	S2		1		1		1	1	1	1		3	3					1	3	1						256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3									3											1	1	1								1	255	255	255		1															1				-150		2		1									1			1	0	100	1							9		6						314
StoneGamma	StoneGamma	19	S3		1		1		1	1	1	1		3	3					1	3	1						256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3									3											1	1	1								1	255	255	255		1															1				-150		2		1									1			1	0	100	1							9		6						314
StoneDelta	StoneDelta	20	S4		1		1		1	1	1	1		3	3					1	3	1						256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3									3											1	1	1								1	255	255	255		1															1				-150		2		1									1			1	0	100	1							9		6						314
StoneLambda	StoneLambda	21	S5		1		1		1	1	1	1		3	3					1	3	1						256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				3									3											1	1	1								1	255	255	255		1															1				-150		2		1									1			1	0	100	1							9		6						314
StoneTheta	StoneTheta	22	S6											3	3					1								256	256	256	256	256	256	256	256											17						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1										1	255	255	255		1															1				-150		2		1									1			1	0	100	1															314
Door	Door Courtyard Left	23	D5		1		1		1	1	1	1		1	7					1	3	1	3	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1		1									3						1	1	2		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Door	Door Courtyard Right	24	D6		1		1		1	1	1	1		7	1					1	3	1	3	1	1	1	1	256	256	256	256	256	256	256	256																		1		1			1	1	1	1		1									3						1	1	1		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Door	Door Cathedral Double	25	D7		1		1		1	1	1	1		9	1					1	4	1	4	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1		1									3						1	1	1		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1		-11		1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Gibbet	Cain's Been Captured	26	GI		1									3	3					4	28	1	1					14	90			128	128	128	128	1								5	10	5						1	1	1	1					1	1	1	1	1	1	1					28	29								2											1	1	1	1					15	-14	1	255	255	255		1															1				-150		2		1									1			1	0	100	1							10		7						
Door	Door Monastery Double Right	27	D8		1		1		1	1	1	1		7	1					1	4	1	4	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1		1									3						1	1	1		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
HoleAnim	Hole in Ground	28	HI	1	1									5	3		3			1	9	1							256																															1	1	1									8									3										1	1	1	1						1	1	1	255	255	255		1															1				-50		2		1									1			1	0	100	1							1								
Dummy	Brazier	29	BR	1										1	1					1	20	20						200	200	200	200	200	200	200	50			1							19	18						1	1	1						1	1	1	1	1	1	1	1													3											1	1	1								1	255	236	176		1							1								2				-90		2		1						5	2		7				1	100	1							11		8						
Inifuss	inifuss tree	30	IT	1	1									5	5		3			1	1	1	1	1	1	1	1	50	50	59	50	50	50	50	50																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	255		1															1				-250		6		1									1			1	0	100	1		1	-40	-40	80	80	12		9						313
Dummy	Fountain	31	BF	1										3	3					6	6							60	60	128	256	256	256	256	256	1	1															1	1	1	1	1	1	1	1	1	1	1																		3											1										1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	crucifix	32	CL											3	3					1																																1								1	1	1	1	1	1	1	1													1											1										1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	Candles1	33	A1											3	1					10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1								18	18	18						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													1											1										1	255	255	213		1															1				-70		2		1						5	2		1				1	100	1								3							
Dummy	Candles2	34	A2											1	3					10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1								18	18	18						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													2											1										1	255	255	213		1															1				-70		2		1						5	2		1				1	100	1								3							
Dummy	Standard1	35	N1											1	1					10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1																1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1										1	255	255	255		1															1				-70		2		1									1				0	100	1															
Dummy	Standard2	36	N2											1	1					10	10	10	10	10	10	10	10	128	256	256	256	256	256	256	256	1																1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1										1	255	255	255		1															1				-70		2		1									1				0	100	1															
Dummy	Torch1 Tiki	37	TO											1	1					1	10	20	20	20	20	20	10	200	200	200	256	256	256	256	256			1							19	19						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	236	176		1															1				-85		2		1									7				0	100	1							13		8						
Dummy	Torch2 Wall	38	WT											1	1					1	10	10	10	10	10	10	10	256	256	256	256	256	256	256	256		1	1						17	19	19												1	1	1	1	1	1	1	1	1	1													3										1	1	1	1								1	255	236	176		1															1				-70		2		1						5	2		1				1	100	1							11		8						
fire	RogueBonfire	39	RB											3	3					10	20	20	20	10	10	10	10	128	256	256	256	256	256	256	256	1	1	1							19	19						1	1	1	1	1	1	1	1																		1			3											1	1	1								1	255	236	176		1															1				-70		2		1						6	2		1				1	100	1										14					
Dummy	River1	40	R1																	8	8	8	8	8	8	8	8	128	256	256	256	256	256	256	256	1	1	1																									1	1	1	1	1													3	7	1									1								-9		1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	River2	41	R2																	8	8	8	8	8	8	8	8	128	256	256	256	256	256	256	256	1	1	1	1	1	1	1	1																																					3	7	1									1								-9		1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	River3	42	R3																	8	8	8	8	8	8	8	8	128	256	256	256	256	256	256	256	1	1																																											3	7	1									1								-9		1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	River4	43	R4																	8	8	8	8	8	8	8	8	128	256	256	256	256	256	256	256	1	1																																											3	7	1									1								-9		1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	River5	44	R5																	8	8	8	8	8	1	8	8	128	256	256	256	256	256	256	256	1	1																																											3	7	1									1								-9		1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
AmbientSound	ambient sound generator	45	S1																	1	1	1	1																																																						1			3											1	1	1	1								255	255	255		1															1				-70		2		1									1			1	0	100	1										1					
Crate	Crate	46	CT	1	1									1	1					1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1	1	1	1	1	1								1			8									3										1	1	1	1								1	255	255	255		1															1		2	2	-45	1	2		1									1			1	0	100	1							14	5					1		
Door	Andariel's Door	47	AD		1		1		1	1	1	1		7	1					1	4	1	4	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1		1									3						1	1	1		2	2	2	2	2	2	2	2		1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70		6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Dummy	RogueTorch	48	T1											2	1					9	9	9	9	9	9	9	9	256	256	256	256	256	256	256	256	1	1	1	1	1	1	1	1	19	19	19	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													2											1										1	255	236	176		1															1				-70		2		1						5	2		1				1	100	1															
Dummy	RogueTorch	49	T2											1	2					9	9	9	9	9	9	9	9	256	256	256	256	256	256	256	256	1	1	1	1	1	1	1	1	19	19	19	17	17	17	17	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													1											1										1	255	236	176		1															1				-70		2		1						5	2		1				1	100	1															
Casket	CasketR	50	C1	1	1									5	3		3			1	4	1	1	1	1	1	1	256	80	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	4									3										1	1	1	1						9		1	255	255	255		1															1	8			-70	1	4		1									1			1	0	100	1							1	1							
Casket	CasketL	51	C2	1	1									3	5	3				1	4	1	1	1	1	1	1	256	80	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	4									3										1	1	1	1								1	255	255	255		1															1	8			-70	1	4		1									1			1	0	100	1							1	1							
Urn	Urn #3	52	U3	1	1									1	1					1	9	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1	1	1	1	1	1								1			8									3										1	1	1	1								1	255	255	255		1															1	8	1	1	-45	1	2		1									2			1	0	100								3	1	2		1		1		
Casket	Casket	53	C4	1	1									5	3		3			1	4	1	1	1	1	1	1	256	80	256	256	256	256	256	256																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	4									3										1	1	1	1						4		1	255	255	255		1															1	8	5	5	-90	1	4		1									1			1	0	100	1							1	3							
RogueCorpse	Rogue corpse 1	54	Z1	1	1									1	1					1	1	1						128	128	128																						1	1	1	1	1	1	1	1	1																				3											1	1	1								1	255	255	255		1															1				-60	1	2		1									1		1	1	0	100	1							14	6			1		2		
RogueCorpse	Rogue corpse 2	55	Z2	1	1									1	1					1	1	1						128	128	128																						1	1	1	1	1	1	1	1	1																				3											1	1	1								1	255	255	255		1															1				-60	1	2		1									1		1	1	0	100	1							14	6			1		2		
RogueCorpse	rolling rogue corpse	56	Z5	1	1									1	1					1	7	1						192	128	128																						1	1	1	1	1	1	1	1	1										1	7									3											1	1	1								1	255	255	255		1															1				-60	1	2		1									1		1	1	0	100	1							14	6			1		2		
CorpseOnStick	rogue on a stick 1	57	Z3	1	1									1	1					1	9	1						192	128	128																						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	9									3											1	1	1								1	255	255	255		1															1				-100	1	2		1									1		1	1	0	100	1							14	7			1				
CorpseOnStick	rogue on a stick 2	58	Z4	1	1									1	1					1	9	1						192	128	128																						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	9									3											1	1	1	1							1	255	255	255		1															1				-100	1	2		1									1		1	1	0	100	1							14	7			1				
Portal	Town portal	59	TP				1							4	4						15	15	15					200	200	200	200							1							18	19														1	1	1																		3												1	1	1							1	120	120	255	1	1															2	4			-70		2								5	2		15				1	100	1		1	-40	-100	80	110	15		11						
Portal	Permanent town portal	60	PP				1							1	1						15	15	15					200	200	200	200							1							18	19														1	1	1																		3												1	1								1	255	120	120	1	1															2	4			-70		2		1						5	2		15			1	1	100	1		1	-40	-100	80	110	15		12						
Dummy	Invisible object	61	SS											5	5							1	1	1	1	1	1																																																					3											1	1	1	1	1	1	1	1				255	255	255		1															1				-70		2		1									1			1	0	100	1									13						
Door	Door Cathedral Left	62	D9		1		1		1	1	1	1		1	4					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1											1						1	1	2		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Door	Door Cathedral Right	63	DA		1		1		1	1	1	1		4	1					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1											1						1	1	1		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		1	1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Door	Door Wooden Left #2	64	DB		1		1		1	1	1	1		1	4					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1											1						1	1	2		2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1		4	-1	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					1			1	0	100	1			-20	-80	40	40	8					1			
Dummy	invisible river sound1	65	X1												32					1								256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1												3									3											1											255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	invisible river sound2	66	X2											32						1								256	256	256	256	256	256	256	256																	1	1	1	1	1	1	1	1												3									3											1											255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	ripple	67	1R											1	1					10								128	128	128	128	128	128	128	128	1																																												3	7	1	1								1										1	255	255	255		1															1				-70		2		1									3				0	100	1										2					
Dummy	ripple	68	2R											1	1					10								128	128	128	128	128	128	128	128	1																																												3	7	1	1								1										1	255	255	255		1															1				-70		2		1									3				0	100	1										2					
Dummy	ripple	69	3R											1	1					10								128	128	128	128	128	128	128	128	1																																												3	7	1	1								1										1	255	255	255		1															1				-70		2		1									3				0	100	1										2					
Dummy	ripple	70	4R											1	1					10								128	128	128	128	128	128	128	128	1																																												3	7	1	1								1										1	255	255	255		1															1				-70		2		1									3				0	100	1										2					
Dummy	forest night sound #1	71	F1											1	1					1	1	1	1																																																						1			3											1	1	1	1								255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	forest night sound #2	72	F2											1	1					1	1	1	1																																																						1			3											1	1	1	1								255	255	255		1															1				-70		2		1									1			1	0	100	1															
Dummy	yeti dung	73	YD											1	1					1																																								1																				3											1										1	255	255	255		1															1				-70		2		1									1			1	0	100	1															
TrappDoor	Trap Door	74	TD		1		1							3	3					1	1	1	1					256	256	256	256	256	256	256	256																									1	1	1	1								1	1		1						3											1		1								1	255	255	255		1															1				-70		2		1									2			1	0	100								16						2	1	223
Door	"Door by Dock, Act 2"	75	DD		1		1		1	1	1	1		1	3					1	1	1	1	1	1	1	1	256	256	256	256	256	256	256	256																	1	1		1			1	1	1	1										1	1	1	1				1		3											1	1	1	1	1	1	1				1	255	255	255		1															1				-70		6		1	-20	-80	40	40					2			1	0	100				-20	-80	40	40	8								
Dummy	sewer drip	76	SZ											5	5							1	1	1	1	1	1																																																					3											1	1	1									255	255	255		1															1				-70		2		1									15			1	0	100	1															
Shrine	healthorama	77	SH		1									3	3					1	16	1							128																17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				16									1											1	1	1								1	255	255	255		1															1	1			-70		2		1	1	84							1			1	0	100	1			1	84			2	2	1						310
Dummy	invisible town sound	78	TA																	1	1	1	1																																																									3											1	1	1									255	255	255		1															1				-70		2		1									3			1	0	100	1															
Casket	casket #3	79	C3	1	1									4	6	3				1	7	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				6									3											1	1	1						-4		1	255	255	255		1															1		6	8	-80	1	2		1									1			1	0	100	1							1	1							
Obelisk	obelisk	80	OB		1									1	1					1	24	1	1					256	256	256															17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1	1							1	255	255	255		1							1								2	2			-235		2		1									1			1	0	100	1							17	3							
Shrine	forest altar	81	AF		1									3	3					10	21	1						128	128							1								12	17	7						1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				20									3											1	1	1								1	255	255	255		1															1	1			-120		2		1	3	84							1			1	0	100	1			3	84			2	2	1						310
Dummy	bubbling pool of blood	82	B2											3	3					17								64								1																								1	1	1	1	1	1	1	1													3		1									1										1	255	255	255		1															1				-70		2		1									1				0	100	1															
Shrine	horn shrine	83	HS		1									3	3					1	21	1							128																17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				20									3											1	1	1							-20	1	255	255	255		1															1	1			-120		2		1	3	84							1			1	0	100	1			3	84			2	2	1						310
Shrine	healing well	84	HW		1									3	3					1	16	1							128																17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1				16									3											1	1	1								1	255	255	255		1															1	1			-95		2		1	1	84							1			1	0	100	1			1	84			2	2	1						310
Shrine	"bull shrine,health, tombs"	85	BC		1									3	3					1	16	1							128																17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	255		1															1	1			-85		2		1	1	85							2			1	0	100				1	85			2	2	1						310
Dummy	"stele,magic shrine, stone, desert"	86	SG		1	1								3	3					1	16	1							256																19							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	180		1															1	1			-150		2		1	3	85							2			1	0	100				3	85			2	2	1						310
Chest3	"tombchest 1, largechestL"	87	CA	2	1								15	1	3					1	4	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	255		1															1	8			-60	1	2		1	20								2	1		1	0	100				20				4	3	3		1				
Chest3	tombchest 2 largechestR	88	CB	2	1								15	3	1					1	4	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	255		1															1	8			-60	1	2		1	20								2	1		1	0	100				20				4	3	3		1				
Sarcophagus	"mummy coffinL, tomb"	89	MC		1									3	5	3				1	7	1							256																							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1								1	255	255	255		1															1		5	5	-65	1	2		1									2			1	0	100								1	1							
Obelisk	desert obelisk	90	DO		1									1	1					1	17	1						256	256	256															17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1	1							1	255	255	255		1															1	2			-220		2		1									2			1	0	100								17	2	1						
Door	tomb door left	91	TL		1		1		1	1	1	1		1	7					1	8	1	1	1	1	1	1	256	256	256	256	256	256	256	256																								1	1	1		1									8						1	1	2		2	2	2	2	2	2	2	2		1	1	1	1	1	1			-8	-11	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					2			1	0	100				-20	-80	40	40	8					1			
Door	tomb door right	92	TR		1		1		1	1	1	1		7	1					1	8	1	1	1	1	1	1	256	256	256	256	256	256	256	256																								1	1	1		1									8						1	1	1		2	2	2	2	2	2	2	2		1	1	1	1	1	1			2	18	1	255	255	255		1															1				-70	1	6		1	-20	-80	40	40					2			1	0	100				-20	-80	40	40	8					1			
Shrine	mana shrineforinnerhell	93	iz	1	1								15	3	3					11	15	1						160	160	160						1																1	1	1	1					1	1	1	1	1	1															3											1	1	1								1	255	255	255		1						1									2	1			-60		2		1	2								8			1	0	100				2				2	2	1						310
LargeUrn	Urn #4	94	U4	1	1									1	1					1	6	1	1	1	1	1	1	256	256	256	256	256	256	256	256																				1	1	1	1	1	1								1												3										1	1	1	1								1	255	255	255		1															1	8	1	1	-55	1	2		1									2			1	0	100								3	1	2		1		1		
LargeUrn	Urn #5	95	U5	1	1									1	1					1	6	1	1	1	1	1	1	256	256	256	256	256	256	256	256																				1	1	1	1	1	1								1												3			1							1	1	1	1								1	255	255	255		1															1	8	1	1	-55	1	2		1									2			1	0	100								3	1	2		1		1		
Shrine	health shrineforinnerhell	96	iy	1	1								15	3	3					11	15	1						160	160	160						1																1	1	1	1					1	1	1	1	1	1															3											1	1	1								1	255	255	255		1						1	1								2	1			-60		2		1	1	96							8			1	0	100				1	96			2	2	1						310
Shrine	innershrinehell	97	ix		1									4	4					1	13	1	1					160	256	256															17							1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1													3											1	1	1	1							1	255	255	255		1							1								2	1			-235		2		1	3								8			1	0	100				3				2	2	1						310
