Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
ms269	269	ms269			Dummy	ms269		mt0	ma1		DS	1													4	4		5	5	1				mo25	mo25		15	15	15																																				1	1	1				1								1	1																																																									2																																																																																																											0
ms270	270	ms270			RogueScout	ms270		mt4	ma60		RG	1													1	1		8	8		5	38	71	mo1	mo1	10	15	15	15																												ml120								1			1			1								1	1			1																														100	100	100	-50	-50	-50																							15	15	15	5	93	231	84				255							180	210	150				150							180	210	150				150																																																																			0
ms271	271	ms271			Dummy	ms271		mt4	ma61		RG	1													1	1		7	11		1	34	67	mo1	mo1	10	1	1	1																																				1						1					1			1	1			1						sk336	A1	1	sk359	A1	1																			100	100	100	-50	-50	-50																			4																																																																																																											0
ms272	272	ms272			Dummy	ms272		mt4	ma62		RG	1													1	1		8	8		5	38	71	mo1	mo1	10	15	15	15																												ml120								1			1			1								1	1																																	100	100	100	-50	-50	-50																			2				75	75	75	5	189	331	84				93							180	210	150				150							180	210	150				150																																																																			0
ms273	273	ms273			GargoyleTrap	ms273		mt5	ma63		GT	1													1	1					15	40	79	mo62	mo62	9	15	15	15				24	26	28	20	50	80	12	10	8	15	7																							1													1	1									sk172	mq22	1																									-50							70						100						1000						16	16	16	5	132	172	84	106										140	190	35	250										140	190	35	250																																																																						0
ms274	274	ms274	ms275	1	ReturnedMage	ms274		mt8	ma64		SK	1	1												1	2		4	4	2	8	39	71	mo108	mo108	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7		30	50	18	17	16	20	20	20	5	5	5	ml125									1						1				1			1	1									sk158	mq8	1																									-50	-40	-25						70						60	33				15	75	2				9	9	9	5	56	84	84	56										55	80	90	110										55	80	90	110										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
ms275	275	ms274	ms276	2	BoneMage	ms275		mt8	ma64		SK	1	1												1	3		4	4	2	10	41	75	mo108	mo108	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7		30	50	18	17	16	20	20	20	5	5	5	ml125									1						1				1			1	1									sk158	mq8	1																									-50	-40	-25						70						60	33				15	75	2				11	11	11	5	55	82	84	56										55	80	90	110										55	80	90	110										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
ms276	276	ms274	ms277	3	BurningDeadMage	ms276		mt8	ma64		SK	1	1												2	3		5	5	2	14	44	79	mo108	mo108	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7		30	50	18	17	16	20	20	20	5	5	5	ml125									1						1				1			1	1									sk158	mq8	1																									-50	-40	-25						70						60	33				15	75	2				15	15	15	5	57	81	84	56										55	80	90	110										55	80	90	110										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													Act 2 Cast A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) Cast A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) Cast A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
ms277	277	ms274	ms625	4	HorrorMage	ms277		mt8	ma64		SK	1	1												2	4		5	5	2	17	47	78	mo108	mo108	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7		30	50	18	17	16	20	20	20	5	5	5	ml125									1						1				1			1	1									sk158	mq8	1																									-50	-40	-25						70						60	33				15	75	2				17	17	17	5	56	81	84	55										55	80	90	110										55	80	90	110										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
ms278	278	ms278	ms279		RatManShaman	ms278		mt35	ma65	raises Ratmen	FW	1							ms141	ms396	1	1	2	7	1	1		6	6	1	11	39	72	mo55	mo55	12	15	14	13				40	45	45		1	2	15	16	18	66	66	66	50	50	50																			1	1							1		1			1	1									sk178	A1	7	sk177	A1	1	sk327	mq9	1																100	100	100	-50	-40	-33													25	25	105	25		50	2				12	12	12	5	67	109	84	77										65	105	100	260										65	105	100	260																																																				Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C				1				0
ms279	279	ms278	ms280	1	FetishShaman	ms279		mt35	ma65	raises Fetishes	FW	1							ms142	ms397	1	1	2	7	1	1		7	7	1	22	49	80	mo55	mo55	12	15	14	13				40	45	45		1	2	15	16	19	66	66	66	50	50	50																			1	1							1		1			1	1									sk178	A1	8	sk177	A1	2	sk327	mq9	1																100	100	100	-50	-40	-33													25	25	110	25		50	2				22	22	22	5	66	107	85	77										65	105	100	260										65	105	100	260																																																				Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A				1				0
ms280	280	ms278	ms281	2	FlayerShaman	ms280		mt35	ma65	raises Flayers	FW	1							ms143	ms398	1	1	2	7	1	1		8	8	1	23	50	81	mo55	mo55	12	15	14	13				40	45	45		2	2	15	17	20	66	66	66	50	50	50																			1	1							1		1			1	1									sk178	A1	9	sk177	A1	3	sk327	mq9	1																100	100	100	-50	-40	-33													25	25	115	25		50	2				23	23	23	5	65	107	85	76										65	105	100	260										65	105	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
ms281	281	ms278	ms282	3	SoulKillerShaman	ms281		mt35	ma65	raises Soul Killers	FW	1							ms144	ms399	1	1	2	7	1	1		9	9	1	24	51	82	mo55	mo55	12	15	14	13				40	45	45		2	3	15	17	21	66	66	66	50	50	50																			1	1							1		1			1	1									sk178	A1	10	sk177	A1	4	sk327	mq9	1																100	100	100	-50	-40	-33													25	25	120	25		50	2				24	24	24	5	65	107	85	77										65	105	100	260										65	105	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
ms282	282	ms278	ms662	4	StygianDollShaman	ms282		mt35	ma65	raises Stygian Dolls	FW	1							ms145	ms400	1	1	2	7	1	1		10	10	1	24	53	84	mo55	mo55	12	15	14	13				40	45	45		2	3	15	18	22	66	66	66	50	50	50																			1	1							1		1			1	1									sk178	A1	11	sk177	A1	5	sk327	mq9	1																100	100	100	-50	-40	-33													25	25	125	25		50	2				24	24	24	5	65	107	85	77										65	105	100	260										65	105	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
ms283	283	ms283			larva	ms283		mt0	ma1		LV	1													4	4		1	1					mo74	mo74		15	15	15																																					1	1												1	1																																																									2																																																																																																											0
ms284	284	ms284	ms285		SandMaggotQueen	ms284		mt20	ma66		MQ	1			ms68	8		S1							1	1		4	4	1	11	46	81	mo80	mo80	10	15	15	15				7	8	9	12	12	12																				ml70									1												1	1									sk161	mq13	1	sk162	mq14	1	sk163	mq15	1	sk216	mq39	1													100	75	50	-50	-40	-33													50					120	2				12	12	12	5	159	259	84	134										220	270	70	185										220	270	70	185																																																				Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
ms285	285	ms284	ms286	1	RockWormQueen	ms285		mt20	ma66		MQ	1			ms69	8		S1							1	1		4	4	1	14	47	82	mo80	mo80	10	15	15	15				8	9	10	10	10	10																				ml71									1												1	1									sk161	mq13	1	sk162	mq14	1	sk163	mq15	1	sk216	mq39	1													100	75	50	-50	-40	-33													50					120	2				15	15	15	5	161	261	84	134										220	270	70	185										220	270	70	185																																																				Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
ms286	286	ms284	ms287	2	DevourerQueen	ms286		mt20	ma66		MQ	1			ms70	8		S1							1	1		4	4	1	17	48	83	mo80	mo80	10	15	15	15				9	10	11	8	8	8																				ml72									1												1	1									sk161	mq13	1	sk162	mq14	1	sk163	mq15	1	sk216	mq39	1													100	75	50	-50	-40	-33													50					120	2				17	17	17	5	159	259	84	134										220	270	70	185										220	270	70	185																																																				Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B							1	0
ms287	287	ms284	ms288	3	GiantLampreyQueen	ms287		mt20	ma66		MQ	1			ms71	8		S1							1	1		4	4	1	21	49	84	mo80	mo80	10	15	15	15				10	11	12	6	6	6																				ml73									1												1	1									sk161	mq13	1	sk162	mq14	1	sk163	mq15	1	sk216	mq39	1													100	75	50	-50	-40	-33													50					120	2				21	21	21	5	160	257	85	134										220	270	70	185										220	270	70	185																																																				Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A							1	0
ms288	288	ms284		4	WorldKillerQueen	ms288		mt20	ma66		MQ	1			ms72	8		S1							1	1		4	4	1	29	50	85	mo80	mo80	10	15	15	15				11	12	13	4	4	4																				ml74									1												1	1									sk161	mq13	1	sk162	mq14	1	sk163	mq15	1	sk216	mq39	1													100	75	50	-50	-40	-33													50					120	2				29	29	29	5	157	257	84	153										220	270	70	185										220	270	70	185																																																				Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A							1	0
ms289	289	ms289			ClayGolem	ms289	mp14	mt42	ma67		G1	1													1	1		8	8					mo32	mo32	11	15	15	15				85	85	85																														1						1					1			1	1			1																																	-75	-75	-75	25		60	60	60	60	25		75	75	75	75	25		90	90	90	90	3		1		21	21	21	5	100	100	100		11	15	40	16	21	40				300	300	100		42	60	66	68	84	66				500	500	100		84	120	92	128	168	92																																																																0
ms290	290	ms290			BloodGolem	ms290		mt42	ma67		G2	1													1	1		9	9					mo18	mo18	11	15	15	15				90	90	90																														1						1					1			1	1			1						sk85	NU																							100	100	100	-75	-75	-75	10		60	60	60	60	10		75	75	75	75	10		90	90	90	90	3		1		31	31	31	5	201	201	120		27	48	60	36	72	60				388	388	120		27	96	118	51	130	104				637	637	120		60	188	148	120	242	148																																																																0
ms291	291	ms291			IronGolem	ms291		mt42	ma67		G4	1													1	1		9	9					mo70	mo70	11	15	15	15				90	90	90																														1					1	1					1			1	1			1																																	-75	-75	-75	10		60	60	60	100	10		75	75	75	100	10		90	90	90	100	3		1		41	41	41	5	306	306	140		7	19	80	15	29	80				595	595	140		11	30	138	23	45	138				980	980	140		12	33	197	25	49	197																																																																0
ms292	292	ms292			FireGolem	ms292		mt42	ma67		G3	1													1	1		10	10					mo57	mo57	11	15	15	15				90	90	90																														1						1					1			1	1			1																																	-50	-50	-50	10		90	60	60	60	10		90	75	75	75	10		90	90	90	90	3		1		50	50	50	5	157	157	200		10	27	120	21	41	120				257	257	200		15	39	209	30	60	209				407	407	200		18	47	298	35	71	298				A1	fire	80	5	10		80				80																																																		0
ms293	293	ms293			Dummy	ms293		mt0	ma1		FI														1	1		12	6					mo0	mo0		15	15	15				90	90	90																																				1								1				1																																																																																																																																																																	0
ms294	294	ms294			Dummy	ms294		mt4	ma41		N4	1													1	1		3	2					mo81	mo81		15	15	15																																				1	1	1	1			1									1																																																									2																																																																																																											0
ms295	295	ms295			NightMarauder	ms295	mp0	mt17	ma11		BB	1													2	3		10	16	1	24	59	85	mo11	mo11	10	15	14	13				33	33	33	20	30	35	50	50	50	50	50	50	1	2	3																			1	1									1			1	1																																				-50	-25														100				33	105	2				24	24	24	5	107	151	85	97	51	151	92	51	151	92				80	125	140	135	60	110	115	50	150	125				80	125	140	135	60	110	115	50	150	135				A1	cold	85	31	68	25	85	30	80	50	85	40	80	75																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
ms296	296	ms296			Dummy	ms296		mt4	ma41		N3	1													1	1		3	2					mo77	mo77		15	15	15																																				1		1	1			1									1																																																									2																																																																																																											0
ms297	297	ms297			Natalya	ms297		mt4	ma32		TZ	1													1	1		2	2					mo81	mo81		15	15	15																																				1		1	1	1		1									1			1																																																						2																																																																																																											0
ms298	298	ms298	ms299		FleshSpawner	ms298		mt43	ma68		VM	1			ms301			NU							1	2		7	7	1	24	56	82	mo130	mo130	10	15	14	13				16	17	20	5	5	6	30	35	40	80	85	90	70	60	50	30	30	30	10	8	7													1	1							1		1			1	1									sk167	mq7	1																						100	75	50	-50	-40	-33													66				140		2				24	24	24	5	229	295	63	142	82	182	92							200	250	80	130	80	130	110							200	250	80	130	80	130	110																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms299	299	ms298	ms300	1	StygianHag	ms299		mt43	ma68		VM	1			ms302			NU							1	3		7	7	1	27	57	84	mo130	mo130	10	15	14	13				16	18	21	5	5	6	30	35	40	80	90	95	70	60	50	30	30	30	10	8	7													1	1							1		1			1	1									sk167	mq7	1																						100	75	50	-50	-40	-33					25						50		66				150		2				27	27	27	5	229	295	63	154	89	189	93							200	250	80	130	80	130	110							200	250	80	130	80	130	110																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms300	300	ms298	ms675	2	Grotesque	ms300		mt43	ma68		VM	1			ms303			NU							2	3		7	7	1	30	57	85	mo130	mo130	10	15	14	13				16	19	22	5	6	6	30	35	40	80	90	95	70	60	50	30	30	30	10	8	7													1	1							1		1			1	1									sk167	mq7	1																						100	75	50	-50	-40	-33					40						70		66				160		2				29	29	29	5	228	294	63	168	90	190	92							200	250	80	130	80	130	110							200	250	80	130	80	130	110																																																	Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Cast B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms301	301	ms301	ms302		FleshBeast	ms301		mt43	ma69		VC	1													1	2		8	10	1	24	56	82	mo129	mo129	9	15	14	13				80	85	90	10	10	10	80	85	90																									1	1							1					1	1							1																										100	75	50	-50	-40	-33													25				140		2				38	38	38	5	57	85	85	76	44	76	152							50	70	70	40	40	70	85							50	70	70	40	40	70	85																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms302	302	ms301	ms303	1	StygianDog	ms302		mt43	ma69		VC	1													1	3		9	11	1	27	57	84	mo129	mo129	9	15	14	13				80	85	90	10	10	10	80	85	90																									1	1							1					1	1							1																										100	75	50	-50	-40	-33					25						50		25				150		2				43	43	43	5	56	84	84	82	48	77	151							50	70	70	40	40	70	85							50	70	70	40	40	70	85																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms303	303	ms301	ms677	2	GrotesqueWyrm	ms303		mt43	ma69		VC	1													2	3		10	12	1	30	57	85	mo129	mo129	9	15	14	13				80	85	90	10	10	10	80	85	90																									1	1							1					1	1							1																										100	75	50	-50	-40	-33					40						70		25				160		2				47	47	47	5	55	84	84	89	48	74	151							50	70	70	40	40	70	85							50	70	70	40	40	70	85																																																	Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms304	304	ms304	ms305		Groper	ms304		mt41	ma70	homing missiles	FR	1													1	2		10	16	1	24	56	82	mo56	mo56	10	15	14	13				40	40	40	40	60	70	50	50	50	30	30	30	15	20	26	5	5	5	40	40	40	12	10	8										1						1			1	1			1	1									sk196	S1	3																						100	66	33	-50	-40	-25			40	40					50	50			50			100			2				24	24	24	5	153	211	85	110	51	119	92							80	110	120	135	55	120	120							80	110	120	135	55	120	120																																																	Act 4 Wraith A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Wraith A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Wraith A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms305	305	ms304	ms306	1	Strangler	ms305		mt41	ma70	homing missiles	FR	1													1	3		10	16	1	27	57	84	mo56	mo56	10	15	14	13				60	60	60	60	75	85	60	60	60	40	40	40	15	20	26	5	5	5	40	40	40	12	10	8										1						1			1	1			1	1									sk196	S1	4																						100	66	33	-50	-40	-25			50	50					60	60			50			100			2				27	27	27	5	152	209	84	120	53	124	93							80	110	120	135	55	120	120							80	110	120	135	55	120	120																																																	Act 4 Wraith B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Wraith B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Wraith B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms306	306	ms304	ms692	2	StormCaster	ms306		mt41	ma70	homing missiles	FR	1													2	3		10	16	1	30	58	85	mo56	mo56	10	15	14	13				80	60	60	80	85	95	70	70	70	50	50	50	15	20	26	5	5	5	40	40	40	12	10	8										1						1			1	1			1	1									sk196	S1	5																						100	66	33	-50	-40	-25			60	60					75	75			50			100			2				29	29	29	5	152	209	84	130	53	122	92							80	110	120	135	55	120	120							80	110	120	135	55	120	120																																																	Act 4 Wraith B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Wraith B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Wraith B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms307	307	ms307	ms308		Corpulent	ms307		mt44	ma71	eats and spits corpses	CS	1													1	2		6	12	1	24	56	82	mo99	mo99	10	15	14	13				70	75	75	20	20	20	40	50	50	10	20	30	3	5	5	25	27	30								ml341								1	1							1					1	1							1		sk214	S1	1																						100	85	75	-50	-40	-33													50					100	2				24	24	24	5	211	285	85	138	82	138	92							240	320	95	140	85	145	105							240	320	95	140	85	145	105																																																	Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms308	308	ms307	ms309	1	CorpseSpitter	ms308		mt44	ma71	eats and spits corpses	CS	1													1	3		7	12	1	27	57	84	mo99	mo99	10	15	14	13				80	80	80	20	20	20	50	50	50	10	20	30	6	6	7	25	27	30								ml341								1	1							1					1	1							1		sk214	S1	2																						100	85	75	-50	-40	-33													50					105	2				27	27	27	5	209	283	84	150	89	148	93							240	320	95	140	85	145	105							240	320	95	140	85	145	105																																																	Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms309	309	ms307	ms694	2	MawFiend	ms309		mt44	ma71	eats and spits corpses	CS	1													2	3		8	12	1	30	57	85	mo99	mo99	10	15	14	13				90	90	90	20	20	20	60	60	60	10	20	30	9	9	9	25	27	30								ml341								1	1							1					1	1							1		sk214	S1	3																						100	85	75	-50	-40	-33													50					110	2				29	29	29	5	209	283	84	163	90	148	92							240	320	95	140	85	145	105							240	320	95	140	85	145	105																																																	Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms310	310	ms310	ms699		DoomKnight	ms310		mt45	ma72	Fighter	UM	1													2	3		6	7	1	24	56	82	mo44	mo44	10	15	14	13				90	95	100	10	5	5	80	85	90	10	10	10																						1	1					1				1			1	1							1																										100	75	33	-50	-33	-25			80	20	20	40			100	20	20	40	33		110	20	20	50	2			1	24	24	24	5	131	173	107	111	69	151	92							120	150	115	100	70	150	180							120	150	115	100	70	150	180							A1	rand	60	31	62	50	60	30	60	75	60	30	60	100																													Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
ms311	311	ms311			AbyssKnight	ms311		mt45	ma73	Fighter Mage	UM	1	1												1	3		7	7	1	27	57	84	mo44	mo44	10	15	14	13				40	75	100	80	80	80	90	94	97	10	5	5	6	6	5	1	1		70	65	50	40	40	40										1						1				1			1	1									sk335	S1	3	sk210	S1	5	sk211	S1	2																100	75	33	-50	-33	-25			40	80	40	40			40	80	40	40	33		40	100	40	50	2				27	27	27	5	129	172	107	121	71	153	93							120	150	115	140	90	140	170							120	150	115	140	90	140	170							A1	rand	40	29	58	50	40	30	60	75	40	30	60	100																													Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms312	312	ms312	ms701		OblivionKnight	ms312		mt45	ma74	Mage	UM	1	1						ms310				2	4	1	2		8	7	1	30	58	85	mo44	mo44	10	15	14	13				6	7	8	25	26	27	500	350	200	50	50	50	80	85	90	30	30	30	30	30	30	9	10	11										1						1				1			1										sk335	S1	3	sk210	S1	6	sk211	S1	2	sk87	S2	3	sk182	mq38	2	sk212	S2	3							100	75	33	-50	-33	-25			60	60	60	60			60	60	80	60	33	25	60	60	180	75	2				29	29	29	5	130	171	107	131	69	153	92							120	150	115	210	60	135	160							120	150	115	210	60	135	160																																																	Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
ms313	313	ms313	ms314		QuillBear	ms313		mt19	ma75		S7	1													1	1		4	4	1				mo0	mo0		15	15	15				60	70	80	50	60	60	16	12	10	15	15	15																						1	1												1	1																																																									2																																																																																																											0
ms314	314	ms313	ms315	1	SpikeGiant	ms314		mt19	ma75		S7	1													1	2		4	4	1				mo0	mo0		15	15	15				70	75	85	60	70	70	14	10	9	15	15	15																						1	1												1	1							1																																																		2																																																																																																											0
ms315	315	ms313	ms316	2	ThornBrute	ms315		mt19	ma75		S7	1													1	3		5	5	1				mo0	mo0		15	15	15				80	80	90	70	80	80	12	8	8	15	15	15																						1	1												1	1																																																									2																																																																																																											0
ms316	316	ms313	ms317	3	RazorBeast	ms316		mt19	ma75		S7	1													2	3		5	5	1				mo0	mo0		15	15	15				90	90	95	80	80	85	8	7	7	15	15	15																						1	1												1	1																																																									2																																																																																																											0
