Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
of the Vampire			1	1	20		15					29	pr65		9	12									1	cblu	mele														
of Defiance			1	1	25		18					30	pr88		75	75									1	dred	tors	helm	shld	amul											
of Amelioration			1	1	18		13					30	pr88		50	50											tors	helm	shld	amul											
of Remedy			1	1	7		5					30	pr88		25	25											armo	ring	amul												
																																									
of Simplicity			1	1	25		18					32	pr75		-40	-40											tors	helm	weap	shld				rod							
of Ease			1	1	15		11					32	pr75		-20	-20											tors	helm	weap	shld				rod							
																																									
of Strength			1	1	5		3					34	pr7		1	3											belt	ring	amul												
of Might			1	1	10		7					34	pr7		4	6											mele	shld	ring	amul				wand	staf						
of the Ox			1	1	18		13					34	pr7		7	10											mele	belt	ring	amul				wand	staf						
of the Ox			1	1	47		35					34	pr7		7	10											shld	boot	glov												
of the Giant			1	1	22		16					34	pr7		11	15									1	dgld	mele	belt	amul					wand	staf						
of the Giant			1	1	62		46					34	pr7		11	15									1	dgld	boot	glov	ring	shld											
of the Titan			1	1	30		22					34	pr7		16	20									1	dgld	boot	belt	amul												
of Pacing			1	1	2		1					35	pr76		10	10											boot														
of Haste			1	1	12		9					35	pr77		20	20											boot														
of Speed			1	1	22		16					35	pr78		30	30											boot														
Expansion																																									
of Health		1	1	1	7		5				4	1	pr3		1	1											tors	shld	ring	amul	circ										
of Protection		1	1	1	18		13				4	1	pr3		2	2											ring	amul	circ												
of Absorption		1	1	1	26		19				4	1	pr3		3	3											amul	circ													
of Life		1	1	1	35		26				4	1	pr3		4	4									1	dblu	amul	circ													
of Life Everlasting		100	1		45		37				4	1	pr3		10	25											amul	circ													
of Protection		1	1	1	24		18				4	1	pr3		2	2											tors	shld	circ												
of Absorption		1	1	1	32		24				4	1	pr3		3	3											tors	shld	circ												
of Life		1	1	1	41		33				4	1	pr3		4	7											tors	shld	circ												
of Anima		100	1		51		43				4	1	pr3		8	15											tors	shld	circ												
of Warding		1	1	1	7		5				4	2	pr6		1	1											tors	shld	ring	amul	orb	circ									
of the Sentinel		1	1	1	18		12				4	2	pr6		2	2											ring	amul	orb	circ											
of Guarding		1	1	1	26		19				4	2	pr6		3	3											amul	orb	circ												
of Negation		100	1		42		35				4	2	pr6		4	6											amul	orb	circ												
of the Sentinel		1	1	1	24		18				4	2	pr6		2	2											tors	shld	circ												
of Guarding		1	1	1	32		24				4	2	pr6		3	3											tors	shld	circ												
of Negation		100	1		41		33				4	2	pr6		4	6											tors	shld	circ												
of Coolness		100		1	11		8				1	3	pr44		2	2											tors	shld	boot	circ											
of Incombustibility		100		1	19		14				1	3	pr44		3	3											tors	shld	boot	circ											
of Amianthus		100		1	28		21				1	3	pr44		4	5											tors	shld	boot	circ											
of Fire Quenching		100			38		30				1	3	pr44		6	8											tors	shld	boot	circ											
of Coolness		100		1	13		9				1	3	pr44		2	2											ring	amul	orb	circ											
of Incombustibility		100		1	22		16				1	3	pr44		3	3											amul	orb	circ												
of Amianthus		100		1	33		25				1	3	pr44		4	5											amul	orb	circ												
of Fire Quenching		100			46		38				1	3	pr44		6	8											amul	orb	circ												
of Faith		100		1	23		17				1	3	pr44		1	2											jewl														
of Resistance		100		1	11		8				1	3	pr46		2	2											tors	shld	boot	circ											
of Insulation		100		1	19		14				1	3	pr46		3	3											tors	shld	boot	circ											
of Grounding		100		1	28		21				1	3	pr46		4	5											tors	shld	boot	circ											
of the Dynamo		100			38		30				1	3	pr46		6	8											tors	shld	boot	circ											
of Resistance		100		1	13		9				1	3	pr46		2	2											ring	amul	orb	circ											
of Insulation		100		1	22		16				1	3	pr46		3	3											amul	orb	circ												
of Grounding		100		1	33		25				1	3	pr46		4	5											amul	orb	circ												
of the Dynamo		100			46		38				1	3	pr46		6	8											amul	orb	circ												
of Stoicism		100		1	22		16				1	3	pr46		1	2											jewl														
of Warming		100		1	11		8				1	3	pr50		2	2											tors	shld	boot	circ											
of Thawing		100		1	19		14				1	3	pr50		3	3											tors	shld	boot	circ											
of the Dunes		100		1	28		21				1	3	pr50		4	5											tors	shld	boot	circ											
of the Sirocco		100			38		30				1	3	pr50		6	8											tors	shld	boot	circ											
of Warming		100		1	13		9				1	3	pr50		2	2											ring	amul	orb	circ											
of Thawing		100		1	22		16				1	3	pr50		3	3											amul	orb	circ												
of the Dunes		100		1	33		25				1	3	pr50		4	5											amul	orb	circ												
of the Sirocco		100			46		38				1	3	pr50		6	8											amul	orb	circ												
of Desire		100		1	23		17				1	3	pr50		1	2											jewl														
of Piercing		1	1	1	25		18				2	4	pr92		1	1											rod	knif	h2h												
of Bashing		100		1	16		12				4	5	pr97		-25	-40											blun							wand	staf	orb					
of Puncturing		100		1	6		4				4	5	pr97		-10	-20											spea	knif	h2h												
of Thorns		1	1	1	14		10				4	6	pr54		1	3											tors	shld	belt	circ											
of Spikes		1	1	1	21		15				4	6	pr54		4	6									1	oran	tors	shld	belt	circ											
of Razors		100	1	1	34		26				4	6	pr54		7	9									1	oran	tors	shld	circ												
of Swords		100	1		47		39				4	6	pr54		10	20									1	oran	tors	shld	circ												
of Malice		100	1	1	37		29				4	6	pr54		1	5											jewl														
of Readiness		1	1	1	5		3				6	7	pr55		10	10											weap							wand	orb						
of Alacrity		1	1	1	25		17				6	7	pr56		20	20											weap							wand	orb						
of Swiftness		1	1	1	34		26				6	7	pr56		30	30											mele							wand	staf	orb					
of Quickness		1	1	1	46		38				5	7	pr57		40	40									1	dyel	mele							wand	staf	orb					
of Alacrity		100	1	1	43		35				4	7	pr56		20	20									1	dyel	glov														
of Fervor		100	1		39		31				4	7	pr55		15	15											jewl														
of Blocking		1	1	1	1		1				7	8	pr16		10	10	pr83		15	15							shld														
of Deflecting		1	1	1	11		8				6	8	pr16		20	20	pr83		30	30							shld														
of the Apprentice		1	1	1	5		3				6	9	pr85		10	10											rod	ring	amul	orb	circ										
of the Magus		1	1	1	29		21				5	9	pr87		20	20											rod	orb	circ					scep							
of Frost		1	1	1	4		3				5	10	pr17		1	1	pr18		1	2	pr19		50	50			weap							wand	orb						
of the Icicle		100	1	1	13		9				4	10	pr17		1	1	pr18		3	4	pr19		75	75			weap							wand	orb						
of the Glacier		1	1	1	27		20				3	10	pr17		2	4	pr18		4	15	pr19		100	100	1	dblu	weap							wand	orb						
of Winter		100	1	1	45		37				2	10	pr17		5	9	pr18		16	50	pr19		150	150	1	dblu	mele							wand	orb						
of Frost		1	1	1	55		41				2	10	pr17		1	1	pr18		3	6	pr19		50	50			belt	amul													
of Frigidity		100	1	1	16		12				2	10	pr17		1	1	pr18		3	5	pr19		50	50	1	dblu	jewl														
of Warmth		1	1	1	10		7				4	11	pr95		1	1											shld	boot	glov	ring	amul	circ	orb								
of Flame		1	1	1	4		3				5	12	pr20		1	1	pr21		2	5							weap							wand	orb						
of Fire		1	1	1	15		11				4	12	pr20		1	4	pr21		6	11							weap							wand	orb						
of Burning		1	1	1	25		18				3	12	pr20		5	9	pr21		10	20					1	dred	weap							wand	orb						
of Incineration		100	1	1	43		35				2	12	pr20		10	20	pr21		21	75					1	dred	mele							wand	orb						
of Flame		100	1	1	40		30				2	12	pr20		1	1	pr21		2	6							glov	ring	amul												
of Passion		100	1	1	15		11				2	12	pr20		1	3	pr21		6	10					1	dred	jewl														
of Shock		1	1	1	4		3				5	13	pr22		1	1	pr23		6	8							weap							wand	orb						
of Lightning		1	1	1	15		11				4	13	pr22		1	1	pr23		9	16							weap							wand	orb						
of Thunder		1	1	1	25		18				3	13	pr22		1	1	pr23		17	40					1	dyel	weap							wand	orb						
of Storms		100	1	1	34		26				2	13	pr22		1	6	pr23		41	120					1	dyel	mele							wand	orb						
of Shock		100	1	1	50		37				2	13	pr22		1	1	pr23		11	23							boot	ring	amul												
of Ennui		100	1	1	15		11				2	13	pr22		1	1	pr23		10	20					1	dyel	jewl														
of Craftsmanship		1	1	1	1		1				8	14	pr28		1	1											weap	ring	amul					wand	staf	orb					
of Quality		1	1	1	4		3				8	14	pr28		2	2											weap							wand	staf	orb					
of Maiming		1	1	1	7		5				7	14	pr28		3	4											weap							wand	staf	orb					
of Slaying		1	1	1	11		8				7	14	pr28		5	7											weap							wand	staf	orb					
of Gore		1	1	1	14		10				6	14	pr28		8	10											weap							wand	staf	orb					
of Carnage		1	1	1	19		14				6	14	pr28		11	14									1	blac	weap							wand	staf	orb					
of Slaughter		1	1	1	25		18				5	14	pr28		15	20									1	blac	weap							wand	staf	orb					
of Butchery		100	1		35		27				5	14	pr28		21	40									1	blac	weap							wand	staf	orb					
of Evisceration		100	1		45		37				4	14	pr28		41	63									1	blac	weap							wand	staf	orb					
of Maiming		1	1	1	42		34				4	14	pr28		3	4											shld	ring	amul												
of Craftsmanship		100	1	1	1	7	1				4	14	pr28		1	2											circ														
of Craftsmanship		100	1	1	8	14	6				4	14	pr28		2	3											circ														
of Craftsmanship		100	1	1	15		11				4	14	pr28		4	5											circ														
of Quality		100	1	1	23	29	17				4	14	pr28		6	7											circ														
of Quality		100	1	1	30		22				4	14	pr28		7	8											circ														
of Maiming		100	1		37	44	29				4	14	pr28		9	10											circ														
of Maiming		100	1		45		37				4	14	pr28		11	12											circ														
of Craftsmanship		100		1	8	17	6				4	14	pr28		1	1											mcha														
of Craftsmanship		100		1	18		13				4	14	pr28		2	2											mcha														
of Quality		100		1	28	37	21				4	14	pr28		3	4											mcha														
of Quality		100		1	38		30				4	14	pr28		5	6											mcha														
of Maiming		100			48		40				4	14	pr28		7	8											mcha														
of Craftsmanship		100		1	21		15				4	14	pr28		1	1											scha														
of Quality		100		1	36		28				4	14	pr28		2	2											scha														
of Maiming		100			51		43				4	14	pr28		3	4											scha														
of Ire		100	1	1	4		3				4	14	pr28		2	5											jewl														
of Wrath		100	1	1	11		8				4	14	pr28		6	9									1	blac	jewl														
of Carnage		100	1		25		18				4	14	pr28		11	15									1	blac	jewl														
of Worth		1	1	1	1		1				8	15	pr27		1	2											weap							staf	wand	orb					
of Measure		1	1	1	12		9				7	15	pr27		3	4											weap							staf	wand	orb					
of Excellence		1	1	1	24		18				6	15	pr27		5	8											weap							staf	wand	orb					
of Performance		1	1	1	48		40				5	15	pr27		9	14									1	blac	weap							staf	wand	orb					
of Transcendence		100	1	1	76		68				4	15	pr27		15	20									1	blac	weap							staf	wand	orb					
of Worth		1	1	1	15		11				4	15	pr27		2	3											ring	amul	circ												
of Measure		1	1	1	37		29				4	15	pr27		4	5											ring	amul	circ												
of Excellence		1	1	1	59		51				4	15	pr27		6	9											ring	amul	circ												
of Performance		100	1		81		73				4	15	pr27		10	13											ring	amul	circ												
of Joyfulness		100	1	1	5		3				4	15	pr27		1	4									1	whit	jewl														
of Bliss		100	1	1	43		37				4	15	pr27		5	10									1	whit	jewl														
of Blight		1	1	1	5		3				5	16	pr138	75	24	24											weap	circ						rod	orb						
of Venom		1	1	1	15		11				4	16	pr138	100	54	54											weap	circ						rod	orb						
of Pestilence		1	1	1	25		18				3	16	pr138	125	103	103									1	dgrn	weap	circ						rod	orb						
of Anthrax		100	1	1	33		25				2	16	pr138	150	171	171									1	dgrn	weap							rod	orb						
of Blight		100	1	1	45		33				2	16	pr138	75	171	171											ring	amul													
of Envy		100	1	1	1		1				2	16	pr138	50	103	103									1	dgrn	jewl														
of Dexterity		1	1	1	1		1				4	17	pr8		1	2											amul	miss	circ												
of Skill		1	1	1	11		8				3	17	pr8		3	5											amul	miss	circ												
of Accuracy		1	1	1	27		20				3	17	pr8		6	9											amul	miss	circ												
of Precision		1	1	1	43		35				3	17	pr8		10	15											amul	miss	circ												
of Perfection		1	1	1	59		51				3	17	pr8		16	20									1	dgld	amul	miss	circ												
of Nirvana		100	1		72		64				3	17	pr8		21	30									1	dgld	amul	miss	circ												
of Dexterity		1	1	1	6		4				4	17	pr8		1	2											ring	glov													
of Skill		1	1	1	22		16				3	17	pr8		3	5											ring	glov													
of Accuracy		1	1	1	39		31				3	17	pr8		6	9											ring	glov													
of Precision		1	1	1	56		48				3	17	pr8		10	15											ring	glov													
of Perfection		100	1		75		67				3	17	pr8		16	20									1	dgld	ring	glov													
of Dexterity		1	1	1	13		9				3	17	pr8		2	3											tors	boot						glov							
of Skill		1	1	1	34		26				3	17	pr8		4	5											tors	boot						glov							
of Accuracy		1	1	1	46		38				3	17	pr8		6	9											tors	boot						glov							
of Precision		100	1		60		52				3	17	pr8		10	15									1	dgld	tors	boot						glov							
of Dexterity		100	1	1	1		1				4	31	pr8		3	4											lcha														
of Dexterity		100	1	1	3		2				4	31	pr8		2	3											mcha														
of Dexterity		100	1	1	7		5				4	31	pr8		1	1											scha														
of Dexterity		100	1	1	14		10				4	31	pr8		5	6											lcha														
of Dexterity		100	1	1	18		13				4	31	pr8		4	5											mcha														
of Dexterity		100	1	1	22		16				4	31	pr8		2	2											scha														
of Daring		100	1	1	7		5				3	17	pr8		1	3											jewl														
of Balance		1	1	1	5		3				4	18	pr79		10	10											armo							glov							
of Equilibrium		1	1	1	9		6				4	18	pr80		17	17											tors	belt	shld												
of Stability		1	1	1	18		13				4	18	pr81		24	24									1	dyel	tors	belt													
of Balance		100	1	1	1		1				4	18	pr81		12	12											lcha														
of Balance		100	1	1	19		14				4	18	pr80		8	8											mcha														
of Balance		100	1	1	37		29				4	18	pr79		5	5									1	dyel	scha														
of Truth		100	1	1	44		36				4	18	pr79		7	7											jewl														
of Regeneration		1	1	1	10		7				4	19	pr53		3	5											scep	belt	ring	amul	circ										
of Regeneration		1	1	1	40		30				4	19	pr53		3	5											shld	glov													
of Regeneration		1	1	1	70		52				4	19	pr53		3	5											tors	weap	boot					scep							
of Regrowth		1	1	1	17		12				4	19	pr53		6	10									1	cred	scep	amul	circ												
of Regrowth		1	1	1	55		41				4	19	pr53		6	9									1	cred	belt	ring													
of Revivification		100	1		38		30				4	19	pr53		11	15									1	cred	scep	amul	circ												
of Honor		100	1	1	47		35				4	19	pr53		1	4											jewl														
of Vileness		1	1	1	9		6				3	20	pr94		1	1											mele							rod	orb						
of Greed		1	1	1	1		1				4	21	pr58		25	40											ring	amul	circ												
of Wealth		1	1	1	17		12				4	21	pr58		41	80									1	lgld	boot	glov	belt	amul	circ										
of Greed		100	1	1	1		1				4	21	pr58		10	20											lcha														
of Greed		100	1	1	7		5				4	21	pr58		21	30											lcha														
of Greed		100	1	1	19		14				4	21	pr58		31	40											lcha														
of Greed		100	1	1	1		5				4	21	pr58		5	10											mcha														
of Greed		100	1	1	20		15				4	21	pr58		11	22											mcha														
of Greed		100	1	1	1		15				4	21	pr58		5	10											scha														
of Avarice		100	1	1	1		1				4	21	pr58		10	30											jewl														
of Chance		1	1	1	12		9				4	22	pr59		5	15											boot	glov	ring	amul	circ										
of Fortune		1	1	1	16		12				4	22	pr59		16	25									1	lgld	boot	glov	amul	circ											
of Fortune		1	1		42		31				4	22	pr59		16	25									1	lgld	ring														
of Luck		100	1		26		19				4	22	pr59		26	35									1	lgld	boot	amul	circ												
of Fortune		100	1	1	31		18				3	22	pr59		3	5											scha														
of Good Luck		100	1		47		33				2	22	pr59		6	7											scha														
of Prosperity		100	1	1	26		19				2	22	pr59		5	10											jewl														
of Energy		1	1	1	1		1				4	23	pr10		1	3											amul	orb	circ	wand	staf										
of the Mind		1	1	1	7		3				4	23	pr10		4	6											amul	orb	circ	wand	staf										
of Brilliance		1	1	1	13		9				3	23	pr10		7	10											amul	orb	circ	wand	staf										
of Sorcery		1	1	1	21		16				3	23	pr10		11	15											amul	orb	circ	wand	staf										
of Wizardry		1	1	1	31		23				3	23	pr10		16	20									1	dgld	amul	orb	circ	wand	staf										
of Enlightenment		100	1		41		33				3	23	pr10		21	30									1	dgld	amul	orb	circ	wand	staf										
of Energy		1	1	1	7		5				4	23	pr10		1	3											ring														
of the Mind		1	1	1	13		9				3	23	pr10		4	6											ring														
of Brilliance		1	1	1	21		16				3	23	pr10		7	10											ring														
of Sorcery		1	1	1	31		23				3	23	pr10		11	15											ring														
of Wizardry		100	1		41		33				3	23	pr10		16	20									1	dgld	ring														
of Energy		1	1	1	4		3				3	23	pr10		1	3											helm	scep													
of the Mind		1	1	1	10		7				3	23	pr10		4	6											helm	scep													
of Brilliance		1	1	1	16		12				3	23	pr10		7	10											helm	scep													
of Sorcery		100	1		26		21				3	23	pr10		11	15									1	dgld	helm	scep													
of Knowledge		100	1	1	9		6				3	23	pr10		1	5											jewl														
of the Bear		1	1	1	8		6				3	24	pr60		1	1											mele														
of Light		1	1	1	6		4				1	25	pr73		1	1	pr15		15	15							armo	rod	ring	amul											
of Radiance		1	1	1	15		11				1	25	pr73		3	3	pr15		30	30							rod	miss	ring	amul	helm										
of the Sun		1	1	1	17		12				1	25	pr73		5	5	pr96		5	5							rod	miss	glov	ring	amul	helm									
of the Jackal		1	1	1	1		1				3	26	pr13		1	5											tors	belt	amul	phlm	circ										
of the Fox		1	1	1	7		5				3	26	pr13		6	10											tors	belt	amul	phlm	circ										
of the Wolf		1	1	1	15		11				3	26	pr13		11	20											tors	belt	amul	phlm	circ										
of the Tiger		1	1	1	20		15				3	26	pr13		21	30											tors	belt	amul	phlm	circ										
of the Mammoth		1	1	1	25		18				3	26	pr13		31	40									1	cred	tors	belt	amul	phlm	circ										
of the Colosuss		1	1	1	30		22				3	26	pr13		41	60									1	cred	tors	belt	amul	phlm	circ										
of the Squid		100	1		40		30				3	26	pr13		61	80									1	cred	tors	belt	amul	phlm	circ										
of the Whale		100	1		50		37				3	26	pr13		81	100									1	cred	tors	belt	amul	phlm	circ										
of the Jackal		100	1	1	4		3				3	26	pr13		1	5											shld	pelt													
of the Fox		100	1	1	11		8				3	26	pr13		6	10											shld	pelt													
of the Wolf		100	1	1	27		20				3	26	pr13		11	20											shld	pelt													
of the Tiger		100	1	1	43		35				3	26	pr13		21	30											shld	pelt													
of the Mammoth		100	1	1	59		51				3	26	pr13		31	40									1	cred	shld	pelt													
of the Colosuss		100	1		75		67				3	26	pr13		41	60									1	cred	shld	pelt													
of the Jackal		1	1	1	8		6				3	26	pr13		1	5											club	hamm	mace	ring	helm										
of the Fox		1	1	1	17		13				3	26	pr13		6	10											club	hamm	mace	ring	helm										
of the Wolf		1	1	1	34		26				3	26	pr13		11	20											club	hamm	mace	ring	helm										
of the Tiger		1	1	1	51		43				3	26	pr13		21	30											club	hamm	mace	ring	helm										
of the Mammoth		1	1	1	68		60				3	26	pr13		31	40									1	cred	club	hamm	mace	ring	helm										
of Life		100	1	1	1		1				4	26	pr13		5	10											lcha														
of Life		100	1	1	9		6				4	26	pr13		11	15											lcha														
of Life		100	1	1	19		14				4	26	pr13		16	20											lcha														
of Substinence		100	1	1	31		23				4	26	pr13		21	25											lcha														
of Substinence		100	1	1	45		37				4	26	pr13		26	30											lcha														
of Substinence		100	1	1	61		53				4	26	pr13		31	35											lcha														
of Vita		100	1		77		69				4	26	pr13		36	40											lcha														
of Vita		100	1		91		83				4	26	pr13		41	45											lcha														
of Vita		100	1		110		97				4	26	pr13		46	50											lcha														
of Life		100	1	1	1		9				4	26	pr13		6	10											mcha														
of Life		100	1	1	12		9				4	26	pr13		11	15											mcha														
of Substinence		100	1	1	26		19				4	26	pr13		16	20											mcha														
of Substinence		100	1	1	42		34				4	26	pr13		21	25											mcha														
of Vita		100	1		58		50				4	26	pr13		26	30											mcha														
of Vita		100	1		74		66				4	26	pr13		31	35											mcha														
of Life		100	1	1	1		14				4	26	pr13		5	10											scha														
of Substinence		100	1	1	23		17				4	26	pr13		11	15											scha														
of Vita		100	1		47		39				4	26	pr13		16	20											scha														
of Spirit		100	1	1	1		1				4	26	pr13		3	8											jewl														
of Hope		100	1		45		37				4	26	pr13		9	20											jewl														
of the Leech		1	1	1	6		4				7	27	pr66		4	5											weap							orb							
of the Locust		1	1	1	20		15				7	27	pr66		6	7									1	cred	mele							orb							
of the Lamprey		100	1	1	55		43				7	27	pr66		8	9									1	cred	mele							orb							
of the Leech		1	1	1	14		10				4	27	pr66		3	4											ring	circ													
of the Locust		1	1	1	47		35				4	27	pr66		5	6											ring	circ													
of the Lamprey		100	1	1	77		65				4	27	pr66		7	8									1	cred	ring	circ													
of the Leech		1	1	1	34		26				4	27	pr66		3	3									1	cred	glov														
of the Bat		1	1	1	7		4				7	28	pr65		4	5											weap							orb							
of the Wraith		1	1	1	21		16				7	28	pr65		6	7									1	cred	mele														
of the Vampire		100	1	1	56		48				7	28	pr65		8	9									1	cred	mele														
of the Bat		1	1	1	15		11				4	28	pr65		3	4											amul	circ													
of the Wraith		1	1	1	58		40				4	28	pr65		5	6											amul	circ													
