skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk11	11	ama	sd11	4	8												ml40																																																												so0	so0			so0	so0	so0		so0		so0				11	17					ml40												1	4	1	rng		miss										A1	A1	xx				1																			so0			6	20					sk6								1		1					5	12	1	1										2+lvl/par2										4	extra arrows level									22	damage synergy ice aro	22	damage synergy	1	10	10						8	32														cold	14	4	10	30	60	90	20	8	12	32	64	96	skill('sk21'.blvl)*par7+skill('sk6'.blvl)*par8	100							384	40000
sk12	12	ama	sd12	4	8												ml213	ml214																																																											so0	so0			so0	so0	so0		so0		so0				11	17					ml213	ml214											1	7	1	rng		miss										A1	A1	xx				1													1						so0			6	20					sk6								1		1				1	5	12	1	1										min(24,ln12)	# missiles	par3	activation frame	2	triggered			3	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.			5	base dmg%	5	dmg% per level			8	damage synergy	1	8	6						8	128	1		1	2	3	4	2		1	2	3	4																							384	40000
sk13	13	ama	sd13																																											st65		is338	dm12	is339	dm34	is99	4+blvl																								so2236	so0			so0	so0	so0		so0		so0																						1			h2h												NU	NU	xx																							so0			18	20					sk29	sk17							1							8			1						1												5	min % dodge	40	max % dodge	8	min % avoid	45	max % avoid									1								8																																				384	40000
sk14	14	ama	sd14	10	14												ml692	ml692	ml692						20																																																				so0	so0			so0	so0	so0		so0		so0					22					ml692	ml692	ml692										1	4		h2h		spea										A1	A1	xx				1		1	1								1								so0			6	20					sk10								1						1	4	32	3	1										1000	radius	0	hits																			20	damage synergy	1	20	12						8	128														ltng	1						1	3	5	13	22	31	(skill('sk20'.blvl)+skill('sk34'.blvl))*par8						4		384	40000
sk15	15	ama	sd15	4										ml38																																																															so2232	so0	1		so0	so0	so0		so0		so0				11					ml38													1	2	1	rng		jave										TH	TH	xx				1																			so0			1	20													1						1	6	6	1	1																																25	damage synergy	1									128														pois	22	24	72	144	288	576	54	25	75	150	300	600	skill('sk25'.blvl)*par8+skill('sk19'.blvl)*par8	25							384	40000
sk16	16	ama	sd16	4										ml41											par1+blvl/4																																																				so0	so0			so0	so0	so0		so0		so0				11					ml41													1	5		rng		miss										A1	A1	xx				1																			so0			18	20					sk7								1		1				1	6	16	1	1										par1+blvl/4								3	radius											18	damage synergy2	18	damage synergy	1	20	10						8	128														fire	2	5	8	14	23	35	6	6	9	15	24	36	skill('sk27'.blvl)*par8+skill('sk6'.blvl)*par7								512	50000
sk17	17	ama	sd17		6																50563		st87	ln34	ln56	is161	max(ln12,25)	is67	-min(ln78,65)																																																so2246	so0			so0	so0	so0		so0		so0	ol49																					1	8		none												SC	SC	xx					4												1						so2246	ol49		12	20					sk8														1	7	10		1																		75	% velocity for missiles	-1	% velocity per level	125	duration		duration per level	18	radius of effect		radius per level	20	slow percent	1	slow percent per level	1								8															mag																					512	50000
sk18	18	ama	sd18																																											st66		is339	0																												so2236	so0			so0	so0	so0		so0		so0																						1			h2h												NU	NU	xx																							so0			12	20					sk13								1							8			1						1												15	min % avoid	75	max % avoid													1								8																																				512	50000
sk19	19	ama	sd19																																											st185	spea	is343	ln12	is344	dm56	is346	ln12	is347	dm56																						so0	so0			so0	so0	so0		so0		so0																						1			none		spea										SC	SC	xx				1																			so0			6	20					sk10															8			1		1				1												35	Damage % base	10	damage % per level						critical%	35	critical%					1								8																																				256	30000
sk20	20	ama	sd20	4										ml205																																																															so0	so0			so0	so0	so0		so0		so0				11					ml205													1	6	1	rng		jave										TH	TH	xx																							so0			12	20					sk15	sk14							1						1	6	16	1	1																																14	damage synergy	1								8	96														ltng	1						40	12	26	54	82	110	(skill('sk35'.blvl)+skill('sk14'.blvl))*par8								512	50000
sk21	21	ama	sd21	4										ml28																																																															so0	so0			so0	so0	so0		so0		so0				11					ml28													1	6	1	rng		miss										A1	A1	xx				1																			so0			12	20					sk11								1		1				1	8	3		1																												20	damage synergy two	5	length synergy	14	damage synergy	1	20	10						8	128														cold	22	10	14	24	34	44	36	11	16	26	36	46	(skill('sk11'.blvl)+skill('sk31'.blvl))*par8+skill('sk6'.blvl)*par6	25				(skill('sk31'.blvl)+skill('sk11'.blvl))*par7			640	60000
sk22	22	ama	sd22	4	10												ml86	ml86	ml86																																																										so0	so0			so0	so0	so0		so0		so0				11	18					ml86	ml86	ml86										1	4	1	rng		miss										A1	A1	xx				1																			so0			18	20					sk12								1		1				1	6	32	-1	1										ln34	+ dmg%												Damage percent	4	damage % per level									1								8	64														mag																					640	60000
sk23	23	ama	sd23																																											st67		is119	ln12	is116	par3+blvl																										so0	so0			so0	so0	so0		so0		so0																						1	1		rng		spea	miss											xx																							so0			24	20					sk33								1							8			1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level	5	base -def											1								8																																				640	60000
sk24	24	ama	sd24	6	11												ml215	ml215	ml215																																																										so0	so0			so0	so0	so0		so0		so0					19					ml215	ml215	ml215										1	5		h2h		spea										A1	A1	xx				1		1	1								1								so0			18	20					sk14								1						1	6	16	1	1										par1+lvl/par2	# bolts							2	Bolts to send out	5	Additional bolts per N levels									3	damage synergy2	5	damage synergy	1								8															ltng	1						40	12	16	20	24	28	(skill('sk34'.blvl)+skill('sk14'.blvl))*par8+skill('sk35'.blvl)*par8								640	60000
sk25	25	ama	sd25	4										ml43																																																															so2232	so0	1		so0	so0	so0		so0		so0				11					ml43													1	3	1	rng		jave										TH	TH	xx				1																			so0			18	20					sk20							25	1				1		1	7	14	1	1																																14	damage synergy	1	50	10						3	128														pois	10	6	12	20	40	80	16	6	12	20	40	80	skill('sk15'.blvl)*par8+skill('sk19'.blvl)*par8	75							640	60000
sk26	26	ama	sd26	8	12												ml682	ml683							par5																																																				so2236	so0			so0	so2376	so0		so0		so0				13	20					ml213	ml214											1		1	rng		miss										A1	A1	xx				1																			so0			24	20					sk22								1		1				1	8	11												min((par3+lvl)-1,par4)	#missiles	ln12	damage %	2+lvl/4	min # missiles			100	Damage increase	14	Damage increase per level	2	Base Shots to take (+1 per level)	5	Max shots to take	28	Radius	50	% frame rollback			12	damage synergy	1	80	6						8	128																																			768	70000
sk27	27	ama	sd27	4										ml85																																																															so0	so0			so0	so0	so0		so0		so0				11					ml85													1	6	1	rng		miss										A1	A1	xx				1																			so0			30	20					sk16								1		1				1	7	12	1	1										par1	fire disc radius	par2	damage radius					3	Fire disc radius	4	Radial Damage Radius											8	damage synergy	1	30	9						8	128														fire	12	12	23	34	36	38	23	12	23	34	36	38	(skill('sk16'.blvl)+skill('sk7'.blvl))*par8								768	70000
sk28	28	ama	sd28		15																	st63				is39	min(lvl*par7,85)	is41	min(lvl*par7,85)	is43	min(lvl*par7,85)	is45	min(lvl*par7,85)																											ms356	pt8	1	NU												ol171		so2275	so0			so0	so0	so0		so0		so0																						1	4		none												SC	SC	xx					4																		so0			18	20					sk17														1	6	76	-3	1										lvl*par4	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances			1								8															mag																					768	70000
sk29	29	ama	sd29																																											st68		is340	dm12	is67	min(9+lvl,45)																										so2236	so0			so0	so0	so0		so0		so0																						1			h2h												NU	NU	xx																							so0			6	20													1							8			1						1												5	min % evade	40	max % evade													1								8																																				768	70000
sk30	30	ama	sd30	9	13																																																																								so0	so2251	1		so0	so0	so0		so0		so0				14	21																	1			h2h		spea										A1	A1	xx						1	1								1								so0			18	20					sk19								1						1	8	5												3	max targets	ln34+skill('sk10'.blvl)*par8	damage %						additional target/level	60	% frame rollback	100	% damage percent	20	damage % per level							8	damage synergy	1	80	6						8	128																																			768	70000
sk31	31	ama	sd31	4										ml87											par1+blvl/4																																																				so0	so0			so0	so0	so0		so0		so0				11					ml87													1	7	1	rng		miss										A1	A1	xx				1																			so0			30	20					sk21								1		1				1	6	18	1	1										par1+blvl/4	damage radius							4	Radius of impact									6	damage synergy2		length synergy	6	damage synergy	1	40	10						8	128														cold	35	10	15	20	25	30	55	10	15	20	25	28	skill('sk21'.blvl)*par8+skill('sk11'.blvl)*par6	12							896	80000
sk32	32	ama	sd32		16																					is0	lvl*par2	is2	lvl*par4	is39	min(lvl*par7,20)	is41	min(lvl*par7,20)	is43	min(lvl*par7,20)	is45	min(lvl*par7,20)											is16	par3*(lvl-1)	is19	toht	is334	skill('sk33'.blvl)							ms357	pt2	((1+((lvl<20)?0:1))+((lvl<30)?0:1))+stat('is464'.accr)	NU	sk14	1+lvl/2	sk9	skill('sk9'.blvl)	sk20	skill('sk14'.blvl)								so2275	so0			so0	so0	so0		so0		so0																						1	6		none												SC	SC	xx					4												1						so0			30	20					sk28							max(112-blvl*5,0)							1	8	25	1	1	1									par1*(lvl-1)+skill('sk28'.blvl)*par8	bonus hp%	ln56	itemlevel					7	% hitpoints more per level	15	str per level	5	% AC increase per level	12	dex per level	25	Magic Item level	3	Magic Item level per level	3	resistances		hp synergy	1			40*lvl+40*skill('sk23'.blvl)					8															mag																			4		896	80000
sk33	33	ama	sd33																																											st69		is166	dm12																												so0	so0			so0	so0	so0		so0		so0																						1			rng		miss												xx																							so0			12	20					sk9								1							8			1	1					1												10	min % chance	100	max % chance													1								8																																				896	80000
sk34	34	ama	sd34	10	14												ml232	ml232	ml232						par1																																																				so0	so0			so0	so0	so0		so0		so0					22					ml232	ml232	ml232										1	8		h2h		spea										A1	A1	xx				1		1	1								1								so0			30	20					sk24								1						1	6	24	1	1										20	radius	min(ln34,12)	hits					20	radius of jump to next target			4	Target hits	1	Target hits per level							12	damage synergy	1								8															ltng	1						25	10	20	35	55	75	(skill('sk24'.blvl)+skill('sk14'.blvl))*par8								896	80000
sk35	35	ama	sd35	4										ml206							42371				par3																																																				so0	so0			so0	so0	so0		so0		so0				11					ml206													1	8	1	rng		jave										TH	TH	xx																							so0			30	20					sk25								1						1	6	20	1	1										10+lvl/10	num targets							10	lightning spells from target		extra spells/level	15	Target search radius							2	damage synergy2	2	damage synergy	1								8	128														ltng	1						40	15	16	17	18	19	skill('sk20'.blvl)*par8+skill('sk14'.blvl)*par8								896	80000
sk36	36	sor	sd36											ml58																																																															so2399	so0			so0	so0	so0		so0		so0	ol29								ml58													1	2		none												SC	SC	xx																	1						so2399			1	20													1						1	7	5		1																																20	damage synergy	1								7															fire	6	5	10	20	40	30	12	6	15	37	55	37	(skill('sk47'.blvl)+skill('sk376'.blvl))*par8								256	30000
sk37	37	sor	sd37																																											st70		is27	ln12	is119	toht																										so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx																							so0			1	20													1							8			1	1					1												30	increase in mana recovery	12	additional increase/level													1	20	10						8															fire																					256	30000
sk38	38	sor	sd38		17												ml56	ml56	ml56																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				23					ml56												1	1		none												SC	SC	xx																	1						so2398			1	20													1						1	5	24	4	1										min(24,ln12)	# bolts							3	Bolts to send out	1	Additional bolts per level											6	damage synergy	1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4	(skill('sk49'.blvl)+skill('sk43'.blvl))*par8								256	30000
sk39	39	sor	sd39											ml59																																																															so2397	so0			so0	so0	so0		so0		so0	ol31								ml59													1	5		none												SC	SC	xx																	1						so2397			1	20													1						1	6	8	1	1																																20	damage synergy	1								7															cold	6	4	9	18	36	54	10	6	14	35	52	69	(skill('sk45'.blvl)+skill('sk55'.blvl))*par8	150	10	10	10				256	30000
sk40	40	sor	sd229		25																73731	st188	st188	ln12	8	is54	edmn	is55	edmx	is56	25																																														so2397	so0			so2440	so0	so0		so0		so0	ol33																					1	4		none												SC	SC	xx																	1			1			so2403			1	20																			1	8	25	1	1																		3600	duration	600	duration per level	33	missile pct	8	range							20	damage synergy	1								7															cold	6	3	9	18	30	42	8	5	11	20	32	44	skill('sk60'.blvl)*par8								640	60000
sk41	41	sor	sd41	11	19												ml60	ml60	ml60						ln12/4-2																																																				so0	so0			so0	so0	so0		so0		so0				15	24					ml60	ml61											1	7		rng												SQ	SQ	xx	6	10																					so0			1	20													1	1				4		3	4	1	1										ln12/2	range	20	frames if monster					12	base ranged (doubled)	3	level range (doubled)	4	Min Mana to start casting									20	damage synergy	1								2															fire	20	23	46	92	138	138	34	24	48	96	144	144	(skill('sk51'.blvl)+skill('sk46'.blvl))*par8								384	40000
sk42	42	sor	sd42		160																34691		st194	125+5*skill('sk63'.blvl)	min(ln12/2,14)	is41	-min(par5+((lvl<22)?lvl:(22+(lvl-22)/2)),40)																																																		so2398	so0			so0	so0	so0		so0		so0	ol34																					1	10		none												SC	SC	xx					4												1						so2398			1	20													1						1	8	9		1										par4	damage %	par3	min damage					8	Base radius of effect.	1	Level radius bonus.		Minimum Damage.	25	Percent Damage.	1	base -lite res							1								8															ltng																					384	40000
sk43	43	sor	sd43	12	21																				par1																																																				so2398	so0			so2442	so0	so0		so0		so0	ol186																					1	10		none												SC	SC	xx														1									so2442			1	20													1						1	8	7		1	1																	25	On-screen cast range.	35	Chance to knockback/stun.											14	damage synergy	1				5	2	109		8															ltng	1						7	3	6	12	12	12	(skill('sk38'.blvl)+skill('sk48'.blvl))*par8								384	40000
sk44	44	sor	sd44		22												ml119	ml119	ml119																																																										so2397	so0			so0	so0	so0		so0		so0	ol32				25					ml119												1	6		none												SC	SC	SC																	36	10					so2397			6	20													1						1	7	18	1	1																		9	radius of freeze	3	additional radius/level											9	damage synergy	1								7															cold	3	4	14	24	34	44	8	5	15	25	35	45	(skill('sk39'.blvl)+skill('sk50'.blvl))*par8	200	5	5	5				384	40000
sk45	45	sor	sd45											ml91																																																															so2397	so0			so0	so0	so0		so0		so0	ol31								ml91													1	6		none												SC	SC	xx																	1						so2397			6	20					sk39								1						1	7	12	1	1																		50	Duration of freeze		additional duration/level										freeze synergy	6	damage synergy	1								7															cold	10	12	24	42	56	70	16	14	28	43	57	71	(skill('sk39'.blvl)+skill('sk55'.blvl))*par8	50							384	40000
sk46	46	sor	sd46		23												ml67	ml67	ml67			st13		ln12		is96	ln34																																																		so2399	so0			so0	so0	so0		so0		so0	ol30								ml67	ml69	ml104	ml105										1	3		none												SC	SC	xx																	1						so0			6	20					sk41														1	7	22	1	1																		100	Min Frames	25	frames per level	5	frw base	1	frw per level					1	damage synergy	4	damage synergy	1								4															fire	4	2	3	4	6	9	8	2	3	4	6	9	skill('sk37'.blvl)*par8+skill('sk51'.blvl)*par7								512	50000
sk47	47	sor	sd47											ml62											4+blvl/5																																																				so2399	so0			so0	so0	so0		so0		so0	ol30								ml62													1	5		none												SC	SC	xx																	1						so2399			12	20					sk36								1						1	7	10	1	1																																16	damage synergy	1								7															fire	12	13	23	28	33	33	28	15	25	30	35	35	(skill('sk36'.blvl)+skill('sk376'.blvl))*par8								512	50000
sk48	48	sor	sd48		22												ml90	ml90	ml90																																																										so2398	so0			so0	so0	so0		so0		so0	ol34				25					ml90												1	2		none												SC	SC	xx																	36	10					so2398			12	20					sk38								1						1	7	16	1	1																		12	number of missiles	4	additional missiles per level											3	damage synergy	1								8															ltng	1	5	7	8	10	12	22	7	9	11	13	15	(skill('sk38'.blvl)+skill('sk43'.blvl))*par8								512	50000
sk49	49	sor	sd49											ml98																																																															so2398	so0			so0	so0	so0		so0		so0	ol34								ml98													1	6		none												SQ	SC	xx	12			1													1						so2398			12	20					sk38								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	1								8															ltng	1						30	12	16	20	24	28	(skill('sk53'.blvl)+skill('sk38'.blvl))*par8								512	50000
sk50	50	sor	sd50		18																	st88		ln34+skill('sk50'.blvl)		is171	ln12											ev3	3																																						so2397	so0			so2440	so0	so0		so0		so0	ol32	ol43								ml212				10	sparkle delay	5	sparkle radius	3	sparkle height			1			none												SC	SC	xx																							so2397	ol33		12	20					sk45	sk40													1	8	11		1	1																	45	% AC base	6	% AC per level	4500	Duration	75	duration per level						duration synergy	20	damage synergy	1								7															cold	16	5	8	11	14	17	20	6	9	12	15	18	skill('sk40'.blvl)*par8	100	5	5	5				512	50000
sk51	51	sor	sd51		24												ml68	ml69																																																											so2399	so0			so0	so0	so0		so0		so0	ol30				26					ml68												1	4		none												SC	SC	SC					4				1								1						so2399			12	20					sk46							13							1	8	22	1	1																														1	damage synergy	4	damage synergy	1								4															fire	15	9	14	21	21	21	20	9	14	21	21	21	(skill('sk37'.blvl)*par8+skill('sk41'.blvl)*par7								640	60000
sk52	52	sor	sd52		25																73731	st16	st16	ln12	8	is48	edmn	is49	edmx	is119	toht																																														so2403	so0			so0	so0	so0		so0		so0	ol30																					1	4		none												SC	SC	xx																	1			1			so2403			18	20					sk383	sk47													1	8	25	1	1																		3600	duration	600	duration per level	33	missile pct	8	range							16	damage synergy	1	20	9						7															fire	16	5	11	18	26	35	20	7	13	20	28	37	skill('sk37'.blvl)*par8								640	60000
sk53	53	sor	sd53		26												ml93	ml93	ml93						par1																																																				so2398	so0			so0	so0	so0		so0		so0	ol34				27					ml93	ml93	ml93										1	2		none												SQ	SC	SC	12			1													151	96					so2398			24	20					sk49								1						1	7	8	1	1										min(ln34/5,14)	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					7	damage synergy	1								8															ltng	1						40	13	14	15	16	17	(skill('sk38'.blvl)+skill('sk49'.blvl))*par8								640	60000
sk54	54	sor	sd54		155																	st186		par1		is330	-((par2-blvl)+stat('is330'.accr)/(100/(par2-blvl)))	is329	-((par2-blvl)+stat('is329'.accr)/(100/(par2-blvl)))	is331	-((par2-blvl)+stat('is331'.accr)/(100/(par2-blvl)))	is357	-((par2-blvl)+stat('is357'.accr)/(100/(par2-blvl)))	is332	-((par2-blvl)+stat('is332'.accr)/(100/(par2-blvl)))																																										so2441	so0			so0	so0	so0		so0		so0	ol45																			1		1			none												SQ	SC	xx	12			1													1		1	2			so2441	ol45		18	20					sk43								1						1	8	24	-1	1																		25	debuff frames	50	base dmg reduction													1								8															ltng																					640	60000
sk55	55	sor	sd55											ml96										(ln34*(100+skill('sk59'.blvl)*par7))/100	ln12																																																				so2397	so0			so0	so0	so0		so0		so0	ol32								ml96													1	7		none												SC	SC	SC																	1						so2397			18	20					sk45								1						1	7	20	1	1																		5	radius		radius per level	50	freeze frames		freeze frames per level					5	freeze synergy	5	damage synergy	1								7															cold	40	14	26	28	30	32	56	15	27	29	31	33	((skill('sk369'.blvl)+skill('sk45'.blvl))+skill('sk59'.blvl))*par8								640	60000
